"acc","locus_tag","gene_name","length_nt","start","end","type","annotation"
"NP_010612.2","YDR325W","YCG1",3108,1117126,1120233,"protein_coding","condensin subunit YCG1"
"NP_010613.1","YDR326C","YSP2",4317,1120609,1124925,"protein_coding","Ysp2p"
"NP_010615.3","YDR328C","SKP1",585,1125434,1126018,"protein_coding","SCF ubiquitin ligase subunit SKP1"
"NP_010616.3","YDR329C","PEX3",1326,1126270,1127595,"protein_coding","Pex3p"
"NP_010617.1","YDR330W","UBX5",1503,1127872,1129374,"protein_coding","Ubx5p"
"NP_010618.1","YDR331W","GPI8",1236,1129588,1130823,"protein_coding","GPI-anchor transamidase"
"NP_010619.3","YDR332W","IRC3",2070,1131001,1133070,"protein_coding","double-stranded DNA-dependent ATPase"
"NP_010620.3","YDR333C","RQC1",2172,1133260,1135431,"protein_coding","Rqc1p"
"NP_010621.1","YDR334W","SWR1",4545,1135932,1140476,"protein_coding","chromatin-remodeling protein SWR1"
"NP_010622.1","YDR335W","MSN5",3675,1141168,1144842,"protein_coding","karyopherin MSN5"
"NP_010623.3","YDR336W","MRX8",945,1145092,1146036,"protein_coding","Mrx8p"
"NP_010624.3","YDR337W","MRPS28",861,1146319,1147179,"protein_coding","mitochondrial 37S ribosomal protein MRPS28"
"NP_010625.1","YDR338C",NA,2088,1147379,1149466,"protein_coding","hypothetical protein"
"NP_010626.1","YDR339C","FCF1",570,1149951,1150520,"protein_coding","rRNA-processing protein FCF1"
"NP_010628.3","YDR341C","RRS1",1824,1151803,1153626,"protein_coding","arginine--tRNA ligase"
"NP_010629.3","YDR342C","HXT7",1713,1154216,1155928,"protein_coding","hexose transporter HXT7"
"NP_010630.1","YDR343C","HXT6",1713,1159608,1161320,"protein_coding","hexose transporter HXT6"
"NP_001335762.1","YDR344C",NA,444,1162006,1162449,"protein_coding","hypothetical protein"
"NP_010632.1","YDR345C","HXT3",1704,1162957,1164660,"protein_coding","hexose transporter HXT3"
"NP_010633.3","YDR346C","SVF1",1446,1167214,1168659,"protein_coding","Svf1p"
"NP_010634.3","YDR347W","MRP1",966,1169178,1170143,"protein_coding","mitochondrial 37S ribosomal protein MRP1"
"NP_010635.1","YDR348C","PAL1",1500,1170326,1171825,"protein_coding","Pal1p"
"NP_010636.1","YDR349C","YPS7",1791,1172386,1174176,"protein_coding","putative aspartic endopeptidase"
"NP_010637.4","YDR350C","ATP22",2055,1176120,1178174,"protein_coding","Atp22p"
"NP_010638.3","YDR351W","SBE2",2595,1178666,1181260,"protein_coding","Sbe2p"
"NP_010639.1","YDR352W","YPQ2",954,1181801,1182754,"protein_coding","Ypq2p"
"NP_010640.1","YDR353W","TRR1",960,1183299,1184258,"protein_coding","thioredoxin-disulfide reductase TRR1"
"NP_010641.3","YDR354W","TRP4",1143,1184747,1185889,"protein_coding","anthranilate phosphoribosyltransferase"
"NP_010643.3","YDR356W","SPC110",2835,1186107,1188941,"protein_coding","Spc110p"
"NP_010644.1","YDR357C","CNL1",369,1189199,1189567,"protein_coding","Cnl1p"
"NP_010645.1","YDR358W","GGA1",1674,1190059,1191732,"protein_coding","ubiquitin-binding protein"
"NP_010646.4","YDR359C","EAF1",2949,1191936,1194884,"protein_coding","Eaf1p"
"NP_010648.3","YDR361C","BCP1",852,1195412,1196263,"protein_coding","protein-transporting protein BCP1"
"NP_010649.1","YDR362C","TFC6",2019,1196679,1198697,"protein_coding","transcription factor TFIIIC subunit TFC6"
"NP_010650.1","YDR363W","ESC2",1371,1199183,1200553,"protein_coding","Esc2p"
"NP_010651.3","YDR363W-A","SEM1",270,1202128,1202397,"protein_coding","proteasome regulatory particle lid subunit SEM1"
"NP_010652.3","YDR364C","CDC40",1368,1202843,1204210,"protein_coding","Cdc40p"
"NP_010653.1","YDR365C","ESF1",1887,1204497,1206383,"protein_coding","Esf1p"
"NP_058153.3","YDR365W-A",NA,1323,1206997,1208319,"protein_coding","gag protein"
"NP_010654.3","YDR366C",NA,399,1212438,1212836,"protein_coding","hypothetical protein"
"NP_010656.1","YDR368W","YPR1",939,1213904,1214842,"protein_coding","trifunctional aldehyde reductase/carbonyl reductase (NADPH)/glucose 1-dehydrogenase (NADP(+)) YPR1"
"NP_010657.3","YDR369C","XRS2",2565,1215016,1217580,"protein_coding","Xrs2p"
"NP_010658.3","YDR370C","DXO1",1329,1217782,1219110,"protein_coding","Dxo1p"
"NP_010659.1","YDR371W","CTS2",1536,1219413,1220948,"protein_coding","putative chitinase"
"NP_010660.1","YDR372C","VPS74",1038,1221112,1222149,"protein_coding","Vps74p"
"NP_010661.3","YDR373W","FRQ1",573,1222759,1223331,"protein_coding","frequenin"
"NP_010662.3","YDR374C","PHO92",921,1223474,1224394,"protein_coding","mRNA-binding phosphate metabolism regulator"
"NP_001032576.1","YDR374W-A","WIP1",270,1224757,1225026,"protein_coding","Wip1p"
"NP_010663.1","YDR375C","BCS1",1371,1225166,1226536,"protein_coding","bifunctional AAA family ATPase chaperone/translocase BCS1"
"NP_010664.3","YDR376W","ARH1",1482,1226822,1228303,"protein_coding","NADPH-adrenodoxin reductase"
"NP_010665.3","YDR377W","ATP17",306,1228611,1228916,"protein_coding","F1F0 ATP synthase subunit f"
"NP_010666.2","YDR378C","LSM6",261,1229349,1229609,"protein_coding","U4/U6-U5 snRNP complex subunit LSM6"
"NP_010667.1","YDR379W","RGA2",3030,1230167,1233196,"protein_coding","Rga2p"
"NP_076888.3","YDR379C-A","SDH6",240,1233278,1233517,"protein_coding","Sdh6p"
"NP_010668.3","YDR380W","ARO10",1908,1234218,1236125,"protein_coding","phenylpyruvate decarboxylase ARO10"
"NP_010670.3","YDR382W","RPP2B",333,1239492,1239824,"protein_coding","ribosomal protein P2B"
"NP_010671.4","YDR383C","NKP1",717,1239960,1240676,"protein_coding","Nkp1p"
"NP_010672.1","YDR384C","ATO3",828,1241204,1242031,"protein_coding","putative ammonium permease ATO3"
"NP_010673.1","YDR385W","EFT2",2529,1243230,1245758,"protein_coding","elongation factor 2"
"NP_010674.3","YDR386W","MUS81",1899,1246084,1247982,"protein_coding","Mus81p"
"NP_010675.3","YDR387C","CIN10",1668,1248154,1249821,"protein_coding","Cin10p"
"NP_010676.1","YDR388W","RVS167",1449,1250186,1251634,"protein_coding","amphiphysin"
"NP_010677.1","YDR389W","SAC7",1965,1252537,1254501,"protein_coding","Sac7p"
"NP_010678.3","YDR390C","UBA2",1911,1254937,1256847,"protein_coding","E1 ubiquitin-activating protein UBA2"
"NP_010679.3","YDR391C",NA,699,1257358,1258056,"protein_coding","hypothetical protein"
"NP_010680.1","YDR392W","SPT3",1014,1258696,1259709,"protein_coding","transcriptional regulator SPT3"
"NP_010681.1","YDR393W","SHE9",1371,1259901,1261271,"protein_coding","She9p"
"NP_010682.3","YDR394W","RPT3",1287,1261681,1262967,"protein_coding","proteasome regulatory particle base subunit RPT3"
"NP_010683.3","YDR395W","SXM1",2835,1263324,1266158,"protein_coding","Sxm1p"
"NP_010686.1","YDR398W","UTP5",1932,1267471,1269402,"protein_coding","Utp5p"
"NP_010687.3","YDR399W","HPT1",666,1270068,1270733,"protein_coding","hypoxanthine phosphoribosyltransferase"
"NP_010688.4","YDR400W","URH1",1023,1271063,1272085,"protein_coding","trifunctional uridine nucleosidase/nicotinamide riboside hydrolase/nicotinic acid riboside hydrolase"
"NP_010690.1","YDR402C","DIT2",1470,1272234,1273703,"protein_coding","putative cytochrome P450"
"NP_010691.1","YDR403W","DIT1",1611,1274602,1276212,"protein_coding","Dit1p"
"NP_010692.3","YDR404C","RPB7",516,1276654,1277169,"protein_coding","DNA-directed RNA polymerase II subunit RPB7"
"NP_010693.3","YDR405W","MRP20",792,1277646,1278437,"protein_coding","mitochondrial 54S ribosomal protein YmL41"
"NP_010694.1","YDR406W","PDR15",4590,1279210,1283799,"protein_coding","ATP-binding cassette multidrug transporter PDR15"
"NP_010695.1","YDR407C","TRS120",3870,1284069,1287938,"protein_coding","Trs120p"
"NP_010696.3","YDR408C","ADE8",645,1288215,1288859,"protein_coding","phosphoribosylglycinamide formyltransferase"
"NP_010697.3","YDR409W","SIZ1",2715,1289406,1292120,"protein_coding","SUMO ligase SIZ1"
"NP_010698.1","YDR410C","STE14",720,1292372,1293091,"protein_coding","protein-S-isoprenylcysteine carboxyl O-methyltransferase"
"NP_010699.1","YDR411C","DFM1",1026,1293369,1294394,"protein_coding","Dfm1p"
"NP_010700.3","YDR412W","RRP17",708,1294693,1295400,"protein_coding","Rrp17p"
"NP_010702.4","YDR414C","ERD1",1089,1295598,1296686,"protein_coding","Erd1p"
"NP_010703.1","YDR415C",NA,1125,1297037,1298161,"protein_coding","putative aminopeptidase"
"NP_010704.1","YDR416W","SYF1",2580,1298432,1301011,"protein_coding","mRNA splicing protein SYF1"
"NP_010706.3","YDR418W","RPL12B",498,1301616,1302113,"protein_coding","ribosomal 60S subunit protein L12B"
"NP_010707.3","YDR419W","RAD30",1899,1303174,1305072,"protein_coding","DNA-directed DNA polymerase eta"
"NP_010708.1","YDR420W","HKR1",5409,1306267,1311675,"protein_coding","Hkr1p"
"NP_010709.1","YDR421W","ARO80",2853,1312040,1314892,"protein_coding","Aro80p"
"NP_010710.4","YDR422C","SIP1",2448,1315326,1317773,"protein_coding","Sip1p"
"NP_010711.3","YDR423C","CAD1",1230,1318046,1319275,"protein_coding","Cad1p"
"NP_010713.1","YDR425W","SNX41",1878,1320064,1321941,"protein_coding","Snx41p"
"NP_010715.3","YDR427W","RPN9",1182,1322205,1323386,"protein_coding","proteasome regulatory particle lid subunit RPN9"
"NP_010716.3","YDR428C","BNA7",786,1323454,1324239,"protein_coding","arylformamidase"
"NP_010717.1","YDR429C","TIF35",825,1324477,1325301,"protein_coding","translation initiation factor eIF3 core subunit g"
"NP_010718.1","YDR430C","CYM1",2970,1325501,1328470,"protein_coding","Cym1p"
"NP_010720.3","YDR432W","NPL3",1245,1328783,1330027,"protein_coding","mRNA-binding protein NPL3"
"NP_010722.3","YDR434W","GPI17",1605,1331237,1332841,"protein_coding","GPI-anchor transamidase GPI17"
"NP_010723.1","YDR435C","PPM1",987,1332983,1333969,"protein_coding","leucine carboxy methyltransferase"
"NP_010724.1","YDR436W","PPZ2",2133,1334821,1336953,"protein_coding","salt homeostasis regulator"
"NP_010725.3","YDR437W","GPI19",423,1337352,1337774,"protein_coding","phosphatidylinositol N-acetylglucosaminyltransferase GPI19"
"NP_010726.3","YDR438W","THI74",1113,1338274,1339386,"protein_coding","Thi74p"
"NP_010727.1","YDR439W","LRS4",1044,1339676,1340719,"protein_coding","Lrs4p"
"NP_010728.1","YDR440W","DOT1",1749,1342493,1344241,"protein_coding","histone methyltransferase DOT1"
"NP_010729.3","YDR441C","APT2",546,1344517,1345062,"protein_coding","adenine phosphoribosyltransferase APT2"
"NP_010731.3","YDR443C","SSN2",4263,1345676,1349938,"protein_coding","Ssn2p"
"NP_010732.1","YDR444W",NA,2064,1350290,1352353,"protein_coding","putative hydrolase"
"NP_010734.1","YDR446W","ECM11",909,1353725,1354633,"protein_coding","Ecm11p"
"NP_010736.3","YDR448W","ADA2",1305,1356065,1357369,"protein_coding","chromatin-binding transcription regulator ADA2"
"NP_010737.1","YDR449C","UTP6",1323,1357580,1358902,"protein_coding","snoRNA-binding rRNA-processing protein UTP6"
"NP_010739.3","YDR451C","YHP1",1062,1361120,1362181,"protein_coding","Yhp1p"
"NP_010740.3","YDR452W","PPN1",2025,1362878,1364902,"protein_coding","endopolyphosphatase"
"NP_010741.1","YDR453C","TSA2",591,1365072,1365662,"protein_coding","thioredoxin peroxidase TSA2"
"NP_010742.1","YDR454C","GUK1",564,1366264,1366827,"protein_coding","guanylate kinase"
"NP_010744.3","YDR456W","NHX1",1902,1367485,1369386,"protein_coding","bifunctional K:H/Na:H antiporter NHX1"
"NP_010745.3","YDR457W","TOM1",9807,1369790,1379596,"protein_coding","E3 ubiquitin-protein ligase TOM1"
"NP_010746.1","YDR458C","HEH2",1992,1380055,1382046,"protein_coding","Heh2p"
"NP_010747.1","YDR459C","PFA5",1125,1382319,1383443,"protein_coding","palmitoyltransferase PFA5"
"NP_010748.3","YDR460W","TFB3",966,1383811,1384776,"protein_coding","TFIIH/NER complex subunit TFB3"
"NP_010749.3","YDR461W","MFA1",111,1385176,1385286,"protein_coding","mating pheromone a"
"NP_001032577.1","YDR461C-A",NA,243,1385524,1385766,"protein_coding","hypothetical protein"
"NP_010750.1","YDR462W","MRPL28",444,1386073,1386516,"protein_coding","mitochondrial 54S ribosomal protein YmL28"
"NP_010751.4","YDR463W","STP1",1560,1386816,1388375,"protein_coding","Stp1p"
"NP_010752.3","YDR464W","SPP41",4308,1388872,1393179,"protein_coding","Spp41p"
"NP_010753.1","YDR465C","RMT2",1239,1393336,1394574,"protein_coding","protein-arginine N5-methyltransferase"
"NP_010754.1","YDR466W","PKH3",2697,1395121,1397817,"protein_coding","protein kinase PKH3"
"NP_010756.3","YDR468C","TLG1",675,1398026,1398700,"protein_coding","Tlg1p"
"NP_010757.3","YDR469W","SDC1",528,1399015,1399542,"protein_coding","Sdc1p"
"NP_010758.3","YDR470C","UGO1",1509,1399706,1401214,"protein_coding","Ugo1p"
"NP_010760.3","YDR472W","TRS31",852,1403322,1404173,"protein_coding","TRAPP subunit TRS31"
"NP_010761.3","YDR473C","PRP3",1410,1404445,1405854,"protein_coding","U4/U6-U5 snRNP complex subunit PRP3"
"NP_010763.2","YDR475C","JIP4",2631,1407464,1410094,"protein_coding","Jip4p"
"NP_010764.1","YDR476C",NA,675,1410453,1411127,"protein_coding","hypothetical protein"
"NP_010765.3","YDR477W","SNF1",1902,1412373,1414274,"protein_coding","AMP-activated serine/threonine-protein kinase catalytic subunit SNF1"
"NP_010766.3","YDR478W","SNM1",597,1414575,1415171,"protein_coding","Snm1p"
"NP_010767.1","YDR479C","PEX29",1665,1415210,1416874,"protein_coding","Pex29p"
"NP_010768.1","YDR480W","DIG2",972,1417399,1418370,"protein_coding","Dig2p"
"NP_010769.3","YDR481C","PHO8",1701,1418550,1420250,"protein_coding","alkaline phosphatase PHO8"
"NP_010770.3","YDR482C","CWC21",408,1420431,1420838,"protein_coding","U2-type spliceosomal complex subunit CWC21"
"NP_010771.1","YDR483W","KRE2",1329,1421157,1422485,"protein_coding","alpha-1,2-mannosyltransferase KRE2"
"NP_010772.1","YDR484W","VPS52",1926,1422763,1424688,"protein_coding","Vps52p"
"NP_010773.4","YDR485C","VPS72",2388,1424820,1427207,"protein_coding","Vps72p"
"NP_010774.4","YDR486C","VPS60",690,1427431,1428120,"protein_coding","Vps60p"
"NP_010775.1","YDR487C","RIB3",627,1428354,1428980,"protein_coding","3,4-dihydroxy-2-butanone-4-phosphate synthase RIB3"
"NP_010776.1","YDR488C","PAC11",1602,1429188,1430789,"protein_coding","dynein intermediate chain"
"NP_010777.3","YDR489W","SLD5",885,1431012,1431896,"protein_coding","DNA replication protein SLD5"
"NP_010778.3","YDR490C","PKH1",2301,1431968,1434268,"protein_coding","serine/threonine protein kinase PKH1"
"NP_010780.1","YDR492W","IZH1",951,1434924,1435874,"protein_coding","PAQR-type receptor"
"NP_010781.1","YDR493W","MZM1",372,1436217,1436588,"protein_coding","Mzm1p"
"NP_010782.4","YDR494W","RSM28",1086,1436930,1438015,"protein_coding","mitochondrial 37S ribosomal protein RSM28"
"NP_010783.3","YDR495C","VPS3",3036,1438115,1441150,"protein_coding","CORVET complex subunit VPS3"
"NP_010784.1","YDR496C","PUF6",1971,1441433,1443403,"protein_coding","Puf6p"
"NP_010785.1","YDR497C","ITR1",1755,1443713,1445467,"protein_coding","myo-inositol transporter ITR1"
"NP_010786.3","YDR498C","SEC20",1152,1445843,1446994,"protein_coding","Sec20p"
"NP_010787.3","YDR499W","LCD1",2244,1447830,1450073,"protein_coding","Lcd1p"
"NP_010789.1","YDR501W","PLM2",1566,1451353,1452918,"protein_coding","Plm2p"
"NP_010790.3","YDR502C","SAM2",1155,1453310,1454464,"protein_coding","methionine adenosyltransferase SAM2"
"NP_010791.3","YDR503C","LPP1",825,1455042,1455866,"protein_coding","phosphatidate phosphatase LPP1"
"NP_010792.1","YDR504C","SPG3",384,1456311,1456694,"protein_coding","Spg3p"
"NP_010793.2","YDR505C","PSP1",2526,1456695,1459220,"protein_coding","Psp1p"
"NP_010794.3","YDR506C","GMC1",1827,1459728,1461554,"protein_coding","putative oxidoreductase"
"NP_010795.3","YDR507C","GIN4",3429,1462358,1465786,"protein_coding","protein kinase GIN4"
"NP_010796.1","YDR508C","GNP1",1992,1466453,1468444,"protein_coding","glutamine permease GNP1"
"NP_010798.1","YDR510W","SMT3",306,1469400,1469705,"protein_coding","SUMO family protein SMT3"
"NP_010799.3","YDR511W","SDH7",402,1470017,1470418,"protein_coding","Sdh7p"
"NP_010800.3","YDR512C","EMI1",564,1470500,1471063,"protein_coding","Emi1p"
"NP_010801.1","YDR513W","GRX2",432,1471017,1471448,"protein_coding","dithiol glutaredoxin GRX2"
"NP_010802.1","YDR514C",NA,1452,1471548,1472999,"protein_coding","hypothetical protein"
"NP_010803.3","YDR515W","SLF1",1344,1473429,1474772,"protein_coding","Slf1p"
"NP_010804.3","YDR516C","EMI2",1503,1474974,1476476,"protein_coding","putative glucokinase"
"NP_010805.1","YDR517W","GRH1",1119,1477239,1478357,"protein_coding","Grh1p"
"NP_010806.1","YDR518W","EUG1",1554,1478608,1480161,"protein_coding","protein disulfide isomerase EUG1"
"NP_010807.3","YDR519W","FPR2",408,1480425,1480832,"protein_coding","peptidylprolyl isomerase family protein FPR2"
"NP_010808.3","YDR520C","URC2",2319,1481085,1483403,"protein_coding","Urc2p"
"NP_010810.1","YDR522C","SPS2",1509,1483795,1485303,"protein_coding","Sps2p"
"NP_010811.1","YDR523C","SPS1",1473,1485566,1487038,"protein_coding","putative serine/threonine protein kinase SPS1"
"NP_010812.3","YDR524C","AGE1",1449,1487542,1488990,"protein_coding","Age1p"
"NP_878066.3","YDR524W-C","YDR524W-A",90,1489403,1489492,"protein_coding","hypothetical protein"
"NP_878067.1","YDR524C-B",NA,201,1489598,1489798,"protein_coding","hypothetical protein"
"NP_001335763.1","YDR525W","API2",330,1489905,1490234,"protein_coding","Api2p"
"NP_010814.1","YDR525W-A","SNA2",240,1490596,1490835,"protein_coding","Sna2p"
"NP_010816.4","YDR527W","RBA50",1320,1491094,1492413,"protein_coding","Rba50p"
"NP_010817.3","YDR528W","HLR1",1272,1494586,1495857,"protein_coding","Hlr1p"
"NP_010818.1","YDR529C","QCR7",384,1496165,1496548,"protein_coding","ubiquinol--cytochrome-c reductase subunit 7"
"NP_010819.1","YDR530C","APA2",978,1496791,1497768,"protein_coding","bifunctional AP-4-A phosphorylase/ADP sulfurylase"
"NP_010820.3","YDR531W","CAB1",1104,1498232,1499335,"protein_coding","pantothenate kinase"
"NP_010821.3","YDR532C","KRE28",1158,1499396,1500553,"protein_coding","Kre28p"
"NP_010822.1","YDR533C","HSP31",714,1501447,1502160,"protein_coding","glutathione-independent methylglyoxalase"
"NP_010823.1","YDR534C","FIT1",1587,1503314,1504900,"protein_coding","Fit1p"
"NP_010825.3","YDR536W","STL1",1710,1508005,1509714,"protein_coding","glucose-inactivated glycerol proton symporter STL1"
"NP_010827.3","YDR538W","PAD1",729,1510902,1511630,"protein_coding","phenylacrylic acid decarboxylase PAD1"
"NP_010828.1","YDR539W","FDC1",1512,1512094,1513605,"protein_coding","putative phenylacrylic acid decarboxylase FDC1"
"NP_010829.1","YDR540C","IRC4",540,1517136,1517675,"protein_coding","Irc4p"
"NP_010830.4","YDR541C",NA,1035,1519664,1520698,"protein_coding","carbonyl reductase (NADPH-dependent)"
"NP_010831.3","YDR542W","PAU10",363,1523249,1523611,"protein_coding","seripauperin PAU10"
"NP_010834.1","YDR545W","YRF1-1",5391,1526321,1531711,"protein_coding","Y' element ATP-dependent helicase protein 1 copy 1"
"NP_010835.1","YEL077C",NA,3834,264,4097,"protein_coding","Y' element ATP-dependent helicase"
"NP_010837.1","YEL076C",NA,651,4464,5114,"protein_coding","hypothetical protein"
"NP_010839.1","YEL075C",NA,369,5345,5713,"protein_coding","hypothetical protein"
"NP_010841.1","YEL073C",NA,324,7230,7553,"protein_coding","hypothetical protein"
"NP_010842.1","YEL072W","RMD6",696,13720,14415,"protein_coding","Rmd6p"
"NP_010843.1","YEL071W","DLD3",1491,16355,17845,"protein_coding","D-lactate dehydrogenase"
"NP_010844.1","YEL070W","DSF1",1509,19589,21097,"protein_coding","mannitol dehydrogenase DSF1"
"NP_010845.1","YEL069C","HXT13",1695,21537,23231,"protein_coding","hexose transporter HXT13"
"NP_001257672.1","YEL068C",NA,333,25646,25978,"protein_coding","hypothetical protein"
"NP_010847.1","YEL067C",NA,588,26189,26776,"protein_coding","hypothetical protein"
"NP_010848.1","YEL066W","HPA3",540,26667,27206,"protein_coding","D-amino-acid N-acetyltransferase"
"NP_010849.3","YEL065W","SIT1",1887,27657,29543,"protein_coding","siderophore transporter"
"NP_010850.1","YEL064C","AVT2",1443,29797,31239,"protein_coding","Avt2p"
"NP_010851.1","YEL063C","CAN1",1773,31694,33466,"protein_coding","arginine permease CAN1"
"NP_010852.4","YEL062W","NPR2",1848,34407,36254,"protein_coding","nitrogen permease regulating protein NPR2"
"NP_010853.2","YEL061C","CIN8",3003,36535,39537,"protein_coding","kinesin motor protein CIN8"
"NP_010854.1","YEL060C","PRB1",1908,40046,41953,"protein_coding","proteinase B"
"NP_058154.3","YEL059C-A","SOM1",225,42400,42624,"protein_coding","Som1p"
"NP_010856.1","YEL058W","PCM1",1674,43252,44925,"protein_coding","phosphoacetylglucosamine mutase PCM1"
"NP_010857.1","YEL057C","SDD1",702,45020,45721,"protein_coding","Sdd1p"
"NP_010858.3","YEL056W","HAT2",1206,47168,48373,"protein_coding","Hat2p"
"NP_010859.1","YEL055C","POL5",3069,48471,51539,"protein_coding","DNA-directed DNA polymerase"
"NP_010860.1","YEL054C","RPL12A",498,52721,53218,"protein_coding","ribosomal 60S subunit protein L12A"
"NP_010861.3","YEL053C","MAK10",2202,53901,56102,"protein_coding","Mak10p"
"NP_010862.1","YEL052W","AFG1",1530,56571,58100,"protein_coding","Afg1p"
"NP_010863.1","YEL051W","VMA8",771,58378,59148,"protein_coding","H(+)-transporting V1 sector ATPase subunit D"
"NP_010864.3","YEL050C","RML2",1182,59670,60851,"protein_coding","mitochondrial 54S ribosomal protein RML2"
"NP_010865.1","YEL049W","PAU2",363,63728,64090,"protein_coding","seripauperin PAU2"
"NP_010866.1","YEL048C","TCA17",459,64709,65167,"protein_coding","Tca17p"
"NP_010867.3","YEL047C","FRD1",1413,65385,66797,"protein_coding","fumarate reductase"
"NP_010868.1","YEL046C","GLY1",1164,67629,68792,"protein_coding","threonine aldolase GLY1"
"NP_010870.1","YEL044W","IES6",501,69757,70257,"protein_coding","Ies6p"
"NP_010871.3","YEL043W",NA,2871,70478,73348,"protein_coding","hypothetical protein"
"NP_010872.1","YEL042W","GDA1",1557,73771,75327,"protein_coding","guanosine diphosphatase"
"NP_010873.1","YEL041W","YEF1",1488,75944,77431,"protein_coding","NADH/NAD(+) kinase"
"NP_010874.3","YEL040W","UTR2",1404,78053,79456,"protein_coding","Utr2p"
"NP_010875.1","YEL039C","CYC7",342,79636,79977,"protein_coding","cytochrome c isoform 2"
"NP_010876.2","YEL038W","UTR4",684,80462,81145,"protein_coding","putative acireductone synthase UTR4"
"NP_010877.3","YEL037C","RAD23",1197,81407,82603,"protein_coding","Rad23p"
"NP_010878.1","YEL036C","ANP1",1503,83050,84552,"protein_coding","Anp1p"
"NP_010879.1","YEL035C","UTR5",501,85045,85545,"protein_coding","Utr5p"
"NP_010880.3","YEL034W","HYP2",474,85676,86149,"protein_coding","translation elongation factor eIF-5A"
"NP_010881.1","YEL033W","MTC7",420,86179,86598,"protein_coding","Mtc7p"
"NP_010882.1","YEL032W","MCM3",2916,86937,89852,"protein_coding","MCM DNA helicase complex subunit MCM3"
"NP_010883.3","YEL031W","SPF1",3648,90258,93905,"protein_coding","ion-transporting P-type ATPase SPF1"
"NP_010884.1","YEL030W","ECM10",1935,94644,96578,"protein_coding","Hsp70 family ATPase ECM10"
"NP_010885.1","YEL029C","BUD16",939,96858,97796,"protein_coding","putative pyridoxal kinase BUD16"
"NP_001335764.1","YEL028W",NA,462,98668,99129,"protein_coding","hypothetical protein"
"NP_010887.3","YEL027W","VMA3",483,100769,101251,"protein_coding","H(+)-transporting V0 sector ATPase subunit c"
"NP_010888.1","YEL026W","SNU13",381,101943,102323,"protein_coding","RNA binding protein SNU13"
"NP_010889.1","YEL025C",NA,3567,102581,106147,"protein_coding","hypothetical protein"
"NP_010890.3","YEL024W","RIP1",648,107260,107907,"protein_coding","ubiquinol--cytochrome-c reductase catalytic subunit RIP1"
"NP_010891.1","YEL023C",NA,2049,108504,110552,"protein_coding","hypothetical protein"
"NP_010892.1","YEL022W","GEA2",4380,111421,115800,"protein_coding","Arf family guanine nucleotide exchange factor GEA2"
"NP_010893.3","YEL021W","URA3",804,116167,116970,"protein_coding","orotidine-5'-phosphate decarboxylase"
"NP_010894.1","YEL020W-A","TIM9",264,117211,117474,"protein_coding","protein transporter TIM9"
"NP_010895.1","YEL020C","PXP1",1683,118617,120299,"protein_coding","putative indolepyruvate decarboxylase family protein"
"NP_010896.3","YEL019C","MMS21",804,120498,121301,"protein_coding","SUMO ligase MMS21"
"NP_010897.1","YEL018W","EAF5",840,121471,122310,"protein_coding","Eaf5p"
"NP_010898.1","YEL017C-A","PMP2",132,122798,122929,"protein_coding","proteolipid ATPase"
"NP_010899.3","YEL017W","GTT3",1014,123657,124670,"protein_coding","Gtt3p"
"NP_010900.1","YEL016C","NPP2",1482,124737,126218,"protein_coding","nucleotide diphosphatase/phosphodiesterase NPP2"
"NP_010901.1","YEL015W","EDC3",1656,126629,128284,"protein_coding","Edc3p"
"NP_001335765.1","YEL014C",NA,306,128303,128608,"protein_coding","hypothetical protein"
"NP_010903.3","YEL013W","VAC8",1737,128825,130561,"protein_coding","protein anchor VAC8"
"NP_010905.1","YEL011W","GLC3",2115,133120,135234,"protein_coding","1,4-alpha-glucan branching enzyme"
"NP_001335766.1","YEL009C-A",NA,408,136371,136778,"protein_coding","hypothetical protein"
"NP_010907.3","YEL009C","GCN4",846,138918,139763,"protein_coding","amino acid starvation-responsive transcription factor GCN4"
"NP_001335767.1","YEL008W",NA,381,140512,140892,"protein_coding","hypothetical protein"
"NP_010909.1","YEL007W","MIT1",2001,141892,143892,"protein_coding","Mit1p"
"NP_010910.1","YEL006W","YEA6",1008,144327,145334,"protein_coding","NAD+ transporter"
"NP_010911.3","YEL005C","VAB2",849,145907,146755,"protein_coding","Vab2p"
"NP_010912.1","YEL004W","YEA4",1029,146951,147979,"protein_coding","Yea4p"
"NP_010914.3","YEL002C","WBP1",1293,148722,150014,"protein_coding","dolichyl-diphosphooligosaccharide-protein glycotransferase"
"NP_010915.1","YEL001C","IRC22",678,150301,150978,"protein_coding","Irc22p"
"NP_010916.1","YER001W","MNN1",2289,153520,155808,"protein_coding","alpha-1,3-mannosyltransferase MNN1"
"NP_010917.3","YER002W","NOP16",696,156803,157498,"protein_coding","Nop16p"
"NP_010919.1","YER004W","FMP52",696,159580,160275,"protein_coding","Fmp52p"
"NP_010920.3","YER005W","YND1",1893,160550,162442,"protein_coding","apyrase"
"NP_010921.1","YER006W","NUG1",1563,162723,164285,"protein_coding","RNA-binding GTPase NUG1"
"NP_010922.1","YER007W","PAC2",1557,164527,166083,"protein_coding","Pac2p"
"NP_010924.1","YER008C","SEC3",4011,167808,171818,"protein_coding","GTP-Rho binding exocyst subunit SEC3"
"NP_010925.1","YER009W","NTF2",378,172115,172492,"protein_coding","Ran GTPase-binding protein NTF2"
