Entry,Protein names,Gene names  (ordered locus ),Gene ontology (biological process)
P39743,Reduced viability upon starvation protein 167,YDR388W,actin cortical patch localization [GO:0051666]; endocytosis [GO:0006897]; lipid tube assembly [GO:0060988]; plasma membrane tubulation [GO:0097320]; vesicle-mediated transport [GO:0016192]
P20840,Alpha-agglutinin (AG-alpha-1),YJR004C,agglutination involved in conjugation with cellular fusion [GO:0000752]; cell-cell adhesion [GO:0098609]
P89114,Pachytene arrest protein SAE3 (Sporulation in the absence of SPO11 protein 3),YHR079C-A,cellular response to ionizing radiation [GO:0071479]; DNA recombinase assembly [GO:0000730]; meiotic DNA recombinase assembly [GO:0000707]; reciprocal meiotic recombination [GO:0007131]
Q08985,Homocysteine S-methyltransferase 2 (EC 2.1.1.10) (S-adenosylmethionine metabolism protein 4) (S-methylmethionine:homocysteine methyltransferase 2) (SMM:Hcy S-methyltransferase 2),YPL273W,homocysteine metabolic process [GO:0050667]; L-methionine salvage from S-adenosylmethionine [GO:0019284]; S-adenosylhomocysteine metabolic process [GO:0046498]
P53969,Sorting assembly machinery 50 kDa subunit (TOB complex 55 kDa subunit),YNL026W,cellular protein-containing complex assembly [GO:0034622]; protein-containing complex assembly [GO:0065003]; protein insertion into mitochondrial outer membrane [GO:0045040]
P40963,Histone acetyltransferase SAS2 (EC 2.3.1.48) (Something about silencing protein 2),YMR127C,"chromatin silencing at telomere [GO:0006348]; histone acetylation [GO:0016573]; histone exchange [GO:0043486]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of transcription by RNA polymerase II [GO:0045944]"
P28707,Co-chaperone protein SBA1,YKL117W,chaperone-mediated protein complex assembly [GO:0051131]; negative regulation of DNA binding [GO:0043392]; positive regulation of telomere maintenance via telomerase [GO:0032212]; protein folding [GO:0006457]; regulation of telomerase activity [GO:0051972]
P40045,Topoisomerase I damage affected protein 2,YER071C,negative regulation of actin filament polymerization [GO:0030837]
P32915,Protein transport protein SEC61 (Sec61 complex subunit SEC61) (Sec61 complex subunit alpha),YLR378C,"misfolded protein transport [GO:0070843]; posttranslational protein targeting to endoplasmic reticulum membrane [GO:0006620]; posttranslational protein targeting to membrane, translocation [GO:0031204]; protein transmembrane import into intracellular organelle [GO:0044743]; retrograde protein transport, ER to cytosol [GO:0030970]; SRP-dependent cotranslational protein targeting to membrane, translocation [GO:0006616]; ubiquitin-dependent ERAD pathway [GO:0030433]"
P35179,Protein transport protein SSS1 (Sec61 complex subunit SSS1) (Sec61 complex subunit gamma) (Ssh1 complex subunit SSS1) (Ssh1 complex subunit gamma),YDR086C,"posttranslational protein targeting to membrane, translocation [GO:0031204]; SRP-dependent cotranslational protein targeting to membrane, translocation [GO:0006616]"
P11792,Serine/threonine-protein kinase SCH9 (EC 2.7.11.1),YHR205W,age-dependent response to oxidative stress involved in chronological cell aging [GO:0001324]; intracellular signal transduction [GO:0035556]; peptidyl-serine phosphorylation [GO:0018105]; positive regulation of ribosomal protein gene transcription by RNA polymerase II [GO:0060963]; positive regulation of transcription by RNA polymerase I [GO:0045943]; positive regulation of transcription by RNA polymerase III [GO:0045945]; protein phosphorylation [GO:0006468]; regulation of cell size [GO:0008361]; regulation of protein localization [GO:0032880]; regulation of response to osmotic stress [GO:0047484]; regulation of sphingolipid biosynthetic process [GO:0090153]; regulation of transcription from RNA polymerase II promoter in response to oxidative stress [GO:0043619]; replicative cell aging [GO:0001302]
Q07953,Ribosome maturation protein SDO1,YLR022C,mature ribosome assembly [GO:0042256]
P17121,GTPase-activating protein SAC7,YDR389W,negative regulation of protein kinase C signaling [GO:0090038]; negative regulation of Rho protein signal transduction [GO:0035024]; positive regulation of GTPase activity [GO:0043547]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of fungal-type cell wall organization [GO:0060237]; signal transduction [GO:0007165]
P50110,Sorting assembly machinery 37 kDa subunit (MAS37 protein) (Mitochondrial 37 kDa outer membrane protein),YMR060C,mitochondrial outer membrane translocase complex assembly [GO:0070096]; phospholipid transport [GO:0015914]; protein insertion into mitochondrial outer membrane [GO:0045040]
P38314,Protein SDS24,YBR214W,cellular response to glucose starvation [GO:0042149]; endocytosis [GO:0006897]; regulation of mitotic metaphase/anaphase transition [GO:0030071]; septum digestion after cytokinesis [GO:0000920]
P36047,Protein phosphatase 1 regulatory subunit SDS22,YKL193C,cell cycle [GO:0007049]; cell division [GO:0051301]; chromosome segregation [GO:0007059]; maintenance of protein location in nucleus [GO:0051457]
P11655,Guanine nucleotide-exchange factor SEC12 (Protein transport protein SEC12),YNR026C,protein secretion [GO:0009306]; regulation of COPII vesicle coating [GO:0003400]; vesicle-mediated transport [GO:0016192]
P48415,COPII coat assembly protein SEC16 (Protein transport protein SEC16),YPL085W,COPII vesicle coating [GO:0048208]; endoplasmic reticulum organization [GO:0007029]; Golgi organization [GO:0007030]; macroautophagy [GO:0016236]; positive regulation of protein exit from endoplasmic reticulum [GO:0070863]; protein localization to endoplasmic reticulum exit site [GO:0070973]; protein transport [GO:0015031]
Q12745,Protein transport protein SEC39 (Dependent on SLY1-20 protein 3),YLR440C,"ER-dependent peroxisome organization [GO:0032581]; protein transport [GO:0015031]; retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum [GO:0006890]; vesicle-mediated transport [GO:0016192]"
P33332,Exocyst complex component SEC3 (Protein PSL1),YER008C,endoplasmic reticulum inheritance [GO:0048309]; exocyst assembly [GO:0001927]; exocyst localization [GO:0051601]; exocytosis [GO:0006887]; Golgi to plasma membrane transport [GO:0006893]; protein transport [GO:0015031]; vesicle tethering involved in exocytosis [GO:0090522]
Q3E754,40S ribosomal protein S21-B (S26) (Small ribosomal subunit protein eS21-B) (YS25),YJL136C,"cytoplasmic translation [GO:0002181]; endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000461]"
P0CX29,40S ribosomal protein S23-A (RP37) (S28) (Small ribosomal subunit protein uS12-A) (YS14),YGR118W,"maintenance of translational fidelity [GO:1990145]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; regulation of translational fidelity [GO:0006450]; translation [GO:0006412]"
P0CX30,40S ribosomal protein S23-B (RP37) (S28) (Small ribosomal subunit protein uS12-B) (YS14),YPR132W,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; regulation of translational fidelity [GO:0006450]; translation [GO:0006412]"
Q03124,Chromatin structure-remodeling complex subunit RSC9 (RSC complex subunit RSC9) (Remodel the structure of chromatin complex subunit 9),YML127W,"ATP-dependent chromatin remodeling [GO:0043044]; cellular response to hydrogen peroxide [GO:0070301]; nucleosome disassembly [GO:0006337]; regulation of transcription, DNA-templated [GO:0006355]; regulation of transcription by RNA polymerase II [GO:0006357]; rRNA processing [GO:0006364]; rRNA transcription [GO:0009303]; transcription elongation from RNA polymerase II promoter [GO:0006368]; transfer RNA gene-mediated silencing [GO:0061587]"
P39940,E3 ubiquitin-protein ligase RSP5 (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase RSP5) (Reverses SPT-phenotype protein 5),YER125W,cellular response to UV [GO:0034644]; chromatin assembly or disassembly [GO:0006333]; late endosome to vacuole transport via multivesicular body sorting pathway [GO:0032511]; mitochondria-associated ubiquitin-dependent protein catabolic process [GO:0072671]; mitochondrion organization [GO:0007005]; poly(A)+ mRNA export from nucleus [GO:0016973]; positive regulation of endocytosis [GO:0045807]; positive regulation of fatty acid biosynthetic process [GO:0045723]; positive regulation of proteasomal ubiquitin-dependent protein catabolic process [GO:0032436]; positive regulation of protein catabolic process [GO:0045732]; positive regulation of receptor-mediated endocytosis [GO:0048260]; positive regulation of transcription by RNA polymerase II [GO:0045944]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein autoubiquitination [GO:0051865]; protein monoubiquitination [GO:0006513]; protein polyubiquitination [GO:0000209]; protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043328]; protein ubiquitination [GO:0016567]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of dolichol biosynthetic process [GO:0010794]; regulation of ergosterol biosynthetic process [GO:0032443]; regulation of initiation of mating projection growth [GO:0031384]; regulation of mRNA export from nucleus [GO:0010793]; regulation of multivesicular body size [GO:0010796]; regulation of nitrogen utilization [GO:0006808]; regulation of phosphate metabolic process [GO:0019220]; regulation of protein localization [GO:0032880]; regulation of ribosomal large subunit export from nucleus [GO:2000203]; regulation of rRNA processing [GO:2000232]; regulation of tRNA export from nucleus [GO:2000238]; regulation of tRNA processing [GO:2000235]; regulation of ubiquinone biosynthetic process [GO:0010795]; response to drug [GO:0042493]; ribophagy [GO:0034517]; ubiquitin-dependent endocytosis [GO:0070086]; ubiquitin-dependent protein catabolic process [GO:0006511]; ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway [GO:0043162]
P53733,"37S ribosomal protein S19, mitochondrial (Mitochondrial small ribosomal subunit protein uS19m)",YNR037C,mitochondrial translation [GO:0032543]; ribosomal small subunit assembly [GO:0000028]
P47150,"37S ribosomal protein S7, mitochondrial (Mitochondrial small ribosomal subunit protein uS7m)",YJR113C,mitochondrial translation [GO:0032543]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]
P40893,Regulation of enolase protein 1,YJL217W,
P0C0W9,60S ribosomal protein L11-A (L16) (Large ribosomal subunit protein uL5-A) (RP39) (YL22),YPR102C,cytoplasmic translation [GO:0002181]; ribosomal large subunit assembly [GO:0000027]
P40470,Regulator of rDNA transcription protein 14,YIL127C,
P56628,60S ribosomal protein L22-B (L1c) (Large ribosomal subunit protein eL22-B) (RP4) (YL31),YFL034C-A,cytoplasmic translation [GO:0002181]
P0CX56,40S ribosomal protein S18-B (Small ribosomal subunit protein uS13-B),YML026C,"cytoplasmic translation [GO:0002181]; endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447]; rRNA export from nucleus [GO:0006407]"
P38061,60S ribosomal protein L32 (Large ribosomal subunit protein eL32),YBL092W,cytoplasmic translation [GO:0002181]
P0CX82,60S ribosomal protein L19-A (L23) (Large ribosomal subunit protein eL19-A) (RP15L) (RP33) (YL14),YBR084C-A,cytoplasmic translation [GO:0002181]
P0CX83,60S ribosomal protein L19-B (L23) (Large ribosomal subunit protein eL19) (RP15L) (RP33) (YL14),YBL027W,cytoplasmic translation [GO:0002181]
Q12672,60S ribosomal protein L21-B (Large ribosomal subunit protein eL21-B),YPL079W,cytoplasmic translation [GO:0002181]
P05749,60S ribosomal protein L22-A (L1c) (Large ribosomal subunit protein eL22-A) (RP4) (YL31),YLR061W,cytoplasmic translation [GO:0002181]
P04449,60S ribosomal protein L24-A (L30) (Large ribosomal subunit protein eL24-A) (RP29) (YL21),YGL031C,assembly of large subunit precursor of preribosome [GO:1902626]; cytoplasmic translation [GO:0002181]; ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412]
P12687,"54S ribosomal protein L2, mitochondrial (Mitochondrial large ribosomal subunit protein bL27m) (YMR6) (YmL2)",YNL005C,mitochondrial translation [GO:0032543]
P36516,"54S ribosomal protein L3, mitochondrial (Mitochondrial large ribosomal subunit protein mL44) (YmL3)",YMR024W,mitochondrial translation [GO:0032543]; pre-miRNA processing [GO:0031054]; primary miRNA processing [GO:0031053]; production of siRNA involved in RNA interference [GO:0030422]; RNA processing [GO:0006396]
P25348,"54S ribosomal protein L32, mitochondrial (Mitochondrial large ribosomal subunit protein bL32m) (YmL32)",YCR003W,mitochondrial translation [GO:0032543]
P20084,"54S ribosomal protein L33, mitochondrial (Mitochondrial large ribosomal subunit protein uL30m) (YmL33)",YMR286W,mitochondrial translation [GO:0032543]
Q02933,Ribonuclease T2-like (RNase T2-like) (EC 3.1.27.1),YPL123C,apoptotic process [GO:0006915]; cell morphogenesis [GO:0000902]; RNA catabolic process [GO:0006401]
P36159,Ribonuclease Z (RNase Z) (EC 3.1.26.11) (tRNA 3 endonuclease) (tRNase Z),YKR079C,"mitochondrial tRNA 3'-end processing [GO:1990180]; mitochondrial tRNA 3'-trailer cleavage, endonucleolytic [GO:0072684]; tRNA 3'-end processing [GO:0042780]; tRNA 3'-trailer cleavage, endonucleolytic [GO:0034414]"
P46669,DNA-directed RNA polymerase I subunit RPA43 (A43) (DNA-directed DNA-dependent RNA polymerase 36 kDa polypeptide),YOR340C,nucleolar large rRNA transcription by RNA polymerase I [GO:0042790]; ribosome biogenesis [GO:0042254]; transcription by RNA polymerase I [GO:0006360]
P20434,"DNA-directed RNA polymerases I, II, and III subunit RPABC1 (RNA polymerases I, II, and III subunit ABC1) (ABC27) (DNA-directed RNA polymerases I, II, and III 27 kDa polypeptide)",YBR154C,"ribosome biogenesis [GO:0042254]; termination of RNA polymerase III transcription [GO:0006386]; transcription, RNA-templated [GO:0001172]; transcription by RNA polymerase I [GO:0006360]; transcription by RNA polymerase II [GO:0006366]; transcription by RNA polymerase III [GO:0006383]; tRNA transcription by RNA polymerase III [GO:0042797]"
P20436,"DNA-directed RNA polymerases I, II, and III subunit RPABC3 (RNA polymerases I, II, and III subunit ABC3) (ABC14.4) (ABC14.5) (DNA-directed RNA polymerases I, II, and III 14.5 kDa polypeptide)",YOR224C,"ribosome biogenesis [GO:0042254]; termination of RNA polymerase III transcription [GO:0006386]; transcription, RNA-templated [GO:0001172]; transcription by RNA polymerase I [GO:0006360]; transcription by RNA polymerase II [GO:0006366]; transcription by RNA polymerase III [GO:0006383]; tRNA transcription by RNA polymerase III [GO:0042797]"
P32385,Ribonucleoprotein 1,YLL046C,ribosome biogenesis [GO:0042254]
P21825,Translocation protein SEC62 (Sec62/63 complex 30 kDa subunit),YPL094C,"posttranslational protein targeting to membrane, translocation [GO:0031204]"
P53118,Putative lipase ROG1 (EC 3.1.-.-) (Revertant of glycogen synthase kinase mutation protein 1),YGL144C,cellular lipid metabolic process [GO:0044255]; lipid catabolic process [GO:0016042]
Q02805,Protein ROD1 (Resistance to o-dinitrobenzene protein 1),YOR018W,adaptation of signaling pathway by response to pheromone involved in conjugation with cellular fusion [GO:0000754]; cellular response to glucose stimulus [GO:0071333]; positive regulation of receptor internalization [GO:0002092]; response to drug [GO:0042493]; ubiquitin-dependent endocytosis [GO:0070086]
P22139,"DNA-directed RNA polymerases I, II, and III subunit RPABC5 (RNA polymerases I, II, and III subunit ABC5) (ABC10-beta) (ABC8) (DNA-directed RNA polymerases I, II, and III 8.3 kDa polypeptide)",YOR210W,"ribosome biogenesis [GO:0042254]; termination of RNA polymerase III transcription [GO:0006386]; transcription, RNA-templated [GO:0001172]; transcription by RNA polymerase I [GO:0006360]; transcription by RNA polymerase II [GO:0006366]; transcription by RNA polymerase III [GO:0006383]; tRNA transcription by RNA polymerase III [GO:0042797]"
P32561,Histone deacetylase RPD3 (EC 3.5.1.98) (Transcriptional regulatory protein RPD3),YNL330C,histone H3 deacetylation [GO:0070932]; histone H4 deacetylation [GO:0070933]; negative regulation of chromatin silencing at rDNA [GO:0061188]; negative regulation of chromatin silencing at silent mating-type cassette [GO:0061186]; negative regulation of chromatin silencing at telomere [GO:0031939]; negative regulation of reciprocal meiotic recombination [GO:0045128]; negative regulation of transcription by RNA polymerase I [GO:0016479]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription involved in meiotic cell cycle [GO:0051038]; positive regulation of macroautophagy [GO:0016239]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein localization to nucleolar rDNA repeats [GO:0034503]; regulation of DNA-dependent DNA replication initiation [GO:0030174]; regulation of transcription involved in G1/S transition of mitotic cell cycle [GO:0000083]; regulation of transcription involved in G2/M transition of mitotic cell cycle [GO:0000117]; replicative cell aging [GO:0001302]; transcription elongation from RNA polymerase II promoter [GO:0006368]; transfer RNA gene-mediated silencing [GO:0061587]
P32910,DNA-directed RNA polymerase III subunit RPC6 (RNA polymerase III subunit C6) (C34) (DNA-directed RNA polymerase III 36 kDa polypeptide),YNR003C,termination of RNA polymerase III transcription [GO:0006386]; tRNA transcription by RNA polymerase III [GO:0042797]
P39956,DNA damage-responsive transcriptional repressor RPH1,YER169W,chromatin remodeling [GO:0006338]; histone demethylation [GO:0016577]; negative regulation of autophagy [GO:0010507]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of transcription elongation from RNA polymerase II promoter [GO:0032968]
P46995,"Histone-lysine N-methyltransferase, H3 lysine-36 specific (EC 2.1.1.43) (Lysine N-methyltransferase 3) (SET domain-containing protein 2)",YJL168C,"ascospore formation [GO:0030437]; DNA-templated transcription, elongation [GO:0006354]; DNA-templated transcription, termination [GO:0006353]; histone deacetylation [GO:0016575]; histone methylation [GO:0016571]; negative regulation of antisense RNA transcription [GO:0060195]; negative regulation of histone H3-K14 acetylation [GO:0071441]; negative regulation of histone H3-K9 acetylation [GO:2000616]; negative regulation of reciprocal meiotic recombination [GO:0045128]; positive regulation of histone acetylation [GO:0035066]; regulation of DNA-dependent DNA replication initiation [GO:0030174]; regulation of histone exchange [GO:1900049]; regulation of transcription, DNA-templated [GO:0006355]"
P36124,SET domain-containing protein 3,YKR029C,"histone deacetylation [GO:0016575]; meiotic cell cycle [GO:0051321]; negative regulation of meiotic nuclear division [GO:0045835]; regulation of transcription, DNA-templated [GO:0006355]"
P42948,SET domain-containing protein 4,YJL105W,chromatin organization [GO:0006325]
P38890,Putative protein lysine methyltransferase SET5 (EC 2.1.1.-) (SET domain-containing protein 5),YHR207C,histone lysine methylation [GO:0034968]
Q12529,Potential protein lysine methyltransferase SET6 (EC 2.1.1.-) (SET domain-containing protein 6),YPL165C,
P43607,Regulator of rDNA transcription protein 5,YFR032C,
P53117,Regulator of rDNA transcription protein 6,YGL146C,
Q08219,Outer spore wall protein RRT8 (Regulator of rDNA transcription protein 8),YOL048C,ascospore wall assembly [GO:0030476]
P0CX50,60S ribosomal protein L18-B (Large ribosomal subunit protein eL18-B) (RP28),YNL301C,cytoplasmic translation [GO:0002181]
Q08745,40S ribosomal protein S10-A (Small ribosomal subunit protein eS10-A),YOR293W,cellular response to amino acid starvation [GO:0034198]; cytoplasmic translation [GO:0002181]; positive regulation of protein kinase activity [GO:0045860]; ribosomal small subunit assembly [GO:0000028]; rRNA export from nucleus [GO:0006407]
Q04307,DNA-directed RNA polymerase III subunit RPC10 (RNA polymerase III subunit C10) (DNA-directed RNA polymerases III 12.5 kDa polypeptide) (RNA polymerase III subunit C11),YDR045C,termination of RNA polymerase III transcription [GO:0006386]; tRNA 3'-trailer cleavage [GO:0042779]; tRNA transcription by RNA polymerase III [GO:0042797]
P22138,DNA-directed RNA polymerase I subunit RPA135 (EC 2.7.7.6) (DNA-directed RNA polymerase I 135 kDa polypeptide) (A135) (DNA-directed RNA polymerase I polypeptide 2) (RNA polymerase I subunit 2),YPR010C,nucleolar large rRNA transcription by RNA polymerase I [GO:0042790]; ribosome biogenesis [GO:0042254]; transcription by RNA polymerase I [GO:0006360]
P38902,DNA-directed RNA polymerase II subunit RPB11 (RNA polymerase II subunit B11) (B13.6) (DNA-directed RNA polymerase II 13.6 kDa polypeptide),YOL005C,"termination of RNA polymerase II transcription [GO:0006369]; transcription, RNA-templated [GO:0001172]; transcription by RNA polymerase II [GO:0006366]"
P28000,DNA-directed RNA polymerases I and III subunit RPAC2 (RNA polymerases I and III subunit AC2) (AC19) (DNA-directed RNA polymerases I and III 16 kDa polypeptide) (RPA19),YNL113W,ribosome biogenesis [GO:0042254]; termination of RNA polymerase III transcription [GO:0006386]; transcription by RNA polymerase I [GO:0006360]; tRNA transcription by RNA polymerase III [GO:0042797]
P20433,DNA-directed RNA polymerase II subunit RPB4 (RNA polymerase II subunit B4) (B32) (DNA-directed RNA polymerase II 32 kDa polypeptide),YJL140W,"mRNA export from nucleus in response to heat stress [GO:0031990]; nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay [GO:0000288]; positive regulation of translational initiation [GO:0045948]; recruitment of 3'-end processing factors to RNA polymerase II holoenzyme complex [GO:0034402]; transcription, RNA-templated [GO:0001172]; transcription by RNA polymerase II [GO:0006366]; transcription initiation from RNA polymerase II promoter [GO:0006367]"
P25441,DNA-directed RNA polymerase III subunit RPC4 (RNA polymerase III subunit C4) (C53) (DNA-directed RNA polymerase III 47 kDa polypeptide),YDL150W,termination of RNA polymerase III transcription [GO:0006386]; tRNA transcription by RNA polymerase III [GO:0042797]
P36121,DNA-directed RNA polymerase III subunit RPC5 (RNA polymerase III subunit C5) (DNA-directed RNA polymerase III 37 kDa polypeptide) (RNA polymerase III subunit C37),YKR025W,tRNA transcription by RNA polymerase III [GO:0042797]
P47076,DNA-directed RNA polymerase III subunit RPC9 (RNA polymerase III subunit C9) (RNA polymerase III subunit C17),YJL011C,termination of RNA polymerase III transcription [GO:0006386]; transcription initiation from RNA polymerase III promoter [GO:0006384]; tRNA transcription by RNA polymerase III [GO:0042797]
Q02773,"Ribonuclease P protein component, mitochondrial (RNase P) (EC 3.1.26.5)",YML091C,cytoplasmic translation [GO:0002181]; mitochondrion organization [GO:0007005]; mRNA processing [GO:0006397]; positive regulation of transcription by RNA polymerase II [GO:0045944]; RNA processing [GO:0006396]; tRNA 5'-leader removal [GO:0001682]
P32496,26S proteasome regulatory subunit RPN12 (Nuclear integrity protein 1),YFR052W,proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; ubiquitin-dependent protein catabolic process [GO:0006511]
P53196,26S proteasome regulatory subunit RPN14 (Proteasome non-ATPase subunit 14),YGL004C,proteasome regulatory particle assembly [GO:0070682]; ubiquitin-dependent protein catabolic process [GO:0006511]
P38764,26S proteasome regulatory subunit RPN1 (HMG-CoA reductase degradation protein 2) (Proteasome non-ATPase subunit 1),YHR027C,proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of protein catabolic process [GO:0042176]; ubiquitin-dependent protein catabolic process [GO:0006511]
P40016,26S proteasome regulatory subunit RPN3,YER021W,regulation of protein catabolic process [GO:0042176]; ubiquitin-dependent protein catabolic process [GO:0006511]
Q12377,26S proteasome regulatory subunit RPN6 (Proteasome non-ATPase subunit 4),YDL097C,proteasome assembly [GO:0043248]; ubiquitin-dependent protein catabolic process [GO:0006511]
Q08723,26S proteasome regulatory subunit RPN8,YOR261C,proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; ubiquitin-dependent protein catabolic process [GO:0006511]
Q04062,26S proteasome regulatory subunit RPN9 (Proteasome non-ATPase subunit 7),YDR427W,proteasome assembly [GO:0043248]; ubiquitin-dependent protein catabolic process [GO:0006511]
Q01080,DNA-directed RNA polymerase I subunit RPA49 (A49) (DNA-directed RNA polymerase I 49 kDa polypeptide),YNL248C,nucleolar large rRNA transcription by RNA polymerase I [GO:0042790]; regulation of cell size [GO:0008361]; ribosome biogenesis [GO:0042254]; transcription by RNA polymerase I [GO:0006360]; transcription elongation from RNA polymerase I promoter [GO:0006362]
P38805,Ribosome production factor 1 (Ribosome biogenesis protein RPF1),YHR088W,"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000466]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; ribosomal large subunit assembly [GO:0000027]; ribosomal large subunit export from nucleus [GO:0000055]; rRNA processing [GO:0006364]"
P36160,Ribosome biogenesis protein RPF2,YKR081C,"assembly of large subunit precursor of preribosome [GO:1902626]; maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000466]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; ribosomal large subunit assembly [GO:0000027]"
Q06103,26S proteasome regulatory subunit RPN7,YPR108W,proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; ubiquitin-dependent protein catabolic process [GO:0006511]
P40693,Ribosome biogenesis protein RLP7 (Ribosomal protein L7-like),YNL002C,"exonucleolytic trimming to generate mature 5'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000465]; maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000463]; ribosomal large subunit biogenesis [GO:0042273]"
P53881,"54S ribosomal protein L22, mitochondrial (Mitochondrial large ribosomal subunit protein uL22m)",YNL177C,mitochondrial translation [GO:0032543]; ribosome assembly [GO:0042255]
P32388,"54S ribosomal protein MRP49, mitochondrial (Mitochondrial large ribosomal subunit protein mL61)",YKL167C,mitochondrial translation [GO:0032543]
P39742,Translocation protein SEC72 (Sec62/63 complex 23 kDa subunit) (p23),YLR292C,"posttranslational protein targeting to membrane, translocation [GO:0031204]"
P11075,Protein transport protein SEC7,YDR170C,autophagosome assembly [GO:0000045]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; intra-Golgi vesicle-mediated transport [GO:0006891]; protein transport [GO:0015031]; regulation of ARF protein signal transduction [GO:0032012]; vesicle-mediated transport [GO:0016192]
Q12189,Ribose-5-phosphate isomerase (EC 5.3.1.6) (D-ribose-5-phosphate ketol-isomerase) (Phosphoriboisomerase),YOR095C,"D-ribose metabolic process [GO:0006014]; pentose-phosphate shunt [GO:0006098]; pentose-phosphate shunt, non-oxidative branch [GO:0009052]; pyridoxine biosynthetic process [GO:0008615]"
P38886,26S proteasome regulatory subunit RPN10,YHR200W,proteasome assembly [GO:0043248]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; ubiquitin-dependent protein catabolic process [GO:0006511]
P43588,Ubiquitin carboxyl-terminal hydrolase RPN11 (EC 3.4.19.12) (26S proteasome regulatory subunit RPN11) (Protein MPR1),YFR004W,mitochondrial fission [GO:0000266]; peroxisome fission [GO:0016559]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; proteasome storage granule assembly [GO:1902906]; protein deubiquitination [GO:0016579]
O13563,26S proteasome regulatory subunit RPN13 (Proteasome non-ATPase subunit 13),YLR421C,ubiquitin-dependent protein catabolic process [GO:0006511]
P32565,26S proteasome regulatory subunit RPN2,YIL075C,proteasome assembly [GO:0043248]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; regulation of protein catabolic process [GO:0042176]; ubiquitin-dependent protein catabolic process [GO:0006511]
Q03465,Protein RPN4 (Nuclear protein SON1) (Ubiquitin fusion degradation protein 5),YDL020C,negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription from RNA polymerase II promoter in response to stress [GO:0097201]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription from RNA polymerase II promoter in response to arsenic-containing substance [GO:0061395]; positive regulation of transcription from RNA polymerase II promoter in response to stress [GO:0036003]; regulation of DNA repair [GO:0006282]
Q12250,26S proteasome regulatory subunit RPN5 (Proteasome non-ATPase subunit 5),YDL147W,proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]; protein deneddylation [GO:0000338]
P36523,"54S ribosomal protein L15, mitochondrial (Mitochondrial large ribosomal subunit protein mL57) (YmL15)",YLR312W-A,mitochondrial translation [GO:0032543]; RNA processing [GO:0006396]
,,,
