acc,locus_tag,old_locus_tag,length_nt,start,end,type,annotation
WP_010902532.1,VNG_RS02995,VNG0763G,627,576121,576747,protein_coding,undecaprenyl-diphosphatase
WP_010902533.1,VNG_RS03000,VNG0764C,1077,576838,577914,protein_coding,N-acetylglucosamine-1-phosphate uridyltransferase
WP_012289220.1,VNG_RS03005,VNG0765H,171,577924,578094,protein_coding,hypothetical protein
WP_010902535.1,VNG_RS03010,VNG0766G,1029,578203,579231,protein_coding,phosphate uptake regulator PhoU
WP_010902536.1,VNG_RS03015,VNG0767H,180,579298,579477,protein_coding,hypothetical protein
WP_010902537.1,VNG_RS03020,VNG0768H,225,579518,579742,protein_coding,hypothetical protein
WP_010902538.1,VNG_RS03025,VNG0769H,411,579788,580198,protein_coding,polyketide cyclase
WP_010902539.1,VNG_RS03030,VNG0771G,1512,580451,581962,protein_coding,hypothetical protein
WP_012289221.1,VNG_RS03035,VNG0772a,849,582038,582886,protein_coding,aminoglycoside phosphotransferase
WP_010902541.1,VNG_RS03040,VNG0775G,1140,583046,584185,protein_coding,acyl-CoA dehydrogese
WP_010902542.1,VNG_RS03045,VNG0777G,441,584205,584645,protein_coding,FAD synthase
WP_010902543.1,VNG_RS03050,VNG0778C,486,584642,585127,protein_coding,hypothetical protein
WP_012289223.1,VNG_RS03060,,1527,587125,588651,protein_coding,phospholipase
WP_010902546.1,VNG_RS03065,VNG0782H,1302,588702,590003,protein_coding,hypothetical protein
WP_010902547.1,VNG_RS03070,VNG0784G,678,590056,590733,protein_coding,phosphatidylcholine/phosphatidylserine synthase
WP_010902548.1,VNG_RS03075,VNG0786G,450,590830,591279,protein_coding,halocyanin
WP_010902549.1,VNG_RS03080,VNG0787G,621,591340,591960,protein_coding,30S ribosomal protein S3ae
WP_012289224.1,VNG_RS03085,VNG0788H,246,591957,592202,protein_coding,hypothetical protein
WP_010902551.1,VNG_RS03090,VNG0789C,1104,592199,593302,protein_coding,hypothetical protein
WP_010902552.1,VNG_RS03095,VNG0790G,468,593307,593774,protein_coding,30S ribosomal protein S15
WP_010902553.1,VNG_RS03105,VNG0793G,2370,594361,596730,protein_coding,chemotaxis protein
WP_012289225.1,VNG_RS03110,VNG0794G,1140,596727,597866,protein_coding,BMP family ABC transporter substrate-binding protein
WP_012289226.1,VNG_RS03115,VNG0795G,507,598238,598744,protein_coding,halocyanin
WP_010902556.1,VNG_RS03120,VNG0796G,1218,598879,600096,protein_coding,cystathionine gamma-synthase
WP_010902557.1,VNG_RS03125,VNG0798H,1269,600156,601424,protein_coding,Tat pathway sigl protein
WP_010902558.1,VNG_RS03130,VNG0799C,702,601488,602189,protein_coding,ABC transporter ATP-binding protein
WP_010902559.1,VNG_RS03135,VNG0800H,597,602186,602782,protein_coding,ABC transporter permease
WP_010902560.1,VNG_RS03145,VNG0801C,291,603037,603327,protein_coding,twin-arginine translocase TatA/TatE family subunit
WP_012289227.1,VNG_RS03150,VNG0804C,813,603534,604346,protein_coding,HD domain-containing protein
WP_010902562.1,VNG_RS03155,VNG0806G,2337,604372,606708,protein_coding,methyl-accepting chemotaxis protein
WP_010902563.1,VNG_RS03160,VNG0808G,1362,606864,608225,protein_coding,D-dependent succite-semialdehyde dehydrogese
WP_010902564.1,VNG_RS03165,VNG0810H,681,608215,608895,protein_coding,hypothetical protein
WP_010902565.1,VNG_RS03170,VNG0811H,393,608896,609288,protein_coding,hypothetical protein
WP_012289229.1,VNG_RS03175,VNG0812G,2451,609510,611960,protein_coding,methyl-accepting chemotaxis protein
WP_010902567.1,VNG_RS03180,VNG0813G,1251,611957,613207,protein_coding,spermidine/putrescine ABC transporter substrate-binding protein
WP_010902568.1,VNG_RS03185,VNG0814C,633,613227,613859,protein_coding,D(P)-dependent oxidoreductase
WP_012289230.1,VNG_RS03190,VNG0815G,1011,613996,615006,protein_coding,DP-dependent oxidoreductase
WP_010902570.1,VNG_RS03195,VNG0816G,1641,615200,616840,protein_coding,PKD domain-containing protein
WP_010902571.1,VNG_RS03200,VNG0818C,1719,616933,618651,protein_coding,PKD domain-containing protein
WP_010902572.1,VNG_RS03205,VNG0819C,1686,618648,620333,protein_coding,PKD domain-containing protein
WP_010902573.1,VNG_RS03215,VNG0821C,654,620587,621240,protein_coding,class I SAM-dependent methyltransferase
WP_012289231.1,VNG_RS03220,VNG0822C,2079,621237,623315,protein_coding,type II secretion protein F
WP_012289232.1,VNG_RS03225,VNG0823G,1653,623369,625021,protein_coding,type II secretion system protein
WP_010902576.1,VNG_RS03230,VNG0824G,702,625085,625786,protein_coding,molybdenum cofactor guanylyltransferase
WP_010902577.1,VNG_RS03235,VNG0825C,447,625866,626312,protein_coding,molybdopterin-guanine dinucleotide biosynthesis protein B
WP_010902578.1,VNG_RS03240,VNG0826C,675,626458,627132,protein_coding,helix-turn-helix domain-containing protein
WP_010902579.1,VNG_RS03245,VNG0828H,240,627213,627452,protein_coding,hypothetical protein
WP_010902580.1,VNG_RS03250,VNG0829G,2514,627445,629958,protein_coding,dimethylsulfoxide reductase
WP_010902581.1,VNG_RS03255,VNG0830G,789,629955,630743,protein_coding,4Fe-4S ferredoxin
WP_010902582.1,VNG_RS03260,VNG0831G,1308,630743,632050,protein_coding,molybdopterin oxidoreductase
WP_010902583.1,VNG_RS03265,VNG0832C,579,632047,632625,protein_coding,chaperone TorD
WP_010902584.1,VNG_RS03270,VNG0834C,891,632698,633588,protein_coding,DUF106 domain-containing protein
WP_010902585.1,VNG_RS03275,VNG0835G,363,633600,633962,protein_coding,metal-dependent transcriptiol regulator
WP_012289233.1,VNG_RS03280,,765,634311,635075,protein_coding,hypothetical protein
WP_012289234.1,VNG_RS03285,,213,635084,635296,protein_coding,hypothetical protein
WP_010902586.1,VNG_RS13290,VNG0836H,381,635667,636047,protein_coding,hypothetical protein
WP_012289235.1,VNG_RS03290,VNG0837H,378,636822,637199,protein_coding,hypothetical protein
WP_010902588.1,VNG_RS03295,VNG0838G,1074,637192,638265,protein_coding,integrase
WP_049892495.1,VNG_RS03305,VNG0841G,684,638908,639591,protein_coding,IcfA
WP_010902591.1,VNG_RS03310,VNG0845C,810,639672,640481,protein_coding,methyltransferase domain-containing protein
WP_010902592.1,VNG_RS03315,VNG0846C,1476,640617,642092,protein_coding,HTTM domain-containing protein
WP_010902593.1,VNG_RS03320,VNG0847H,906,642117,643022,protein_coding,hypothetical protein
WP_010902594.1,VNG_RS03325,VNG0849C,1350,643071,644420,protein_coding,hypothetical protein
WP_049892496.1,VNG_RS03330,VNG0851C,837,644507,645343,protein_coding,MBL fold metallo-hydrolase
WP_010902596.1,VNG_RS03335,VNG0852C,651,645426,646076,protein_coding,bacteriocin
WP_010902597.1,VNG_RS03340,VNG0853C,399,646085,646483,protein_coding,YlbF family regulator
WP_010902598.1,VNG_RS03345,VNG0854C,1035,646591,647625,protein_coding,diphthamide biosynthesis enzyme Dph2
WP_010902599.1,VNG_RS03350,VNG0857C,621,647674,648294,protein_coding,methyltransferase domain-containing protein
WP_010902600.1,VNG_RS03355,VNG0858C,1797,648285,650081,protein_coding,rhomboid family intramembrane serine protease
WP_010902601.1,VNG_RS03360,VNG0860G,285,650181,650465,protein_coding,D-directed R polymerase subunit L
WP_010902602.1,VNG_RS03365,VNG0862G,822,650472,651293,protein_coding,imidazole glycerol phosphate synthase cyclase subunit
WP_012289240.1,VNG_RS03370,VNG0861H,471,651366,651836,protein_coding,hypothetical protein
WP_010902605.1,VNG_RS03375,VNG0864G,2103,652034,654136,protein_coding,phosphoribosylformylglycimidine synthase
WP_012289241.1,VNG_RS03380,VNG0865C,684,654252,654935,protein_coding,PHP domain-containing protein
WP_010902607.1,VNG_RS03385,VNG0867G,1083,654935,656017,protein_coding,asparagine synthetase B
WP_010902608.1,VNG_RS03390,VNG0868H,474,656033,656506,protein_coding,NUDIX domain-containing protein
WP_010902609.1,VNG_RS03395,VNG0869G,987,656539,657525,protein_coding,transcription initiation factor IIB 2
WP_012289242.1,VNG_RS03400,VNG0870G,276,657686,657961,protein_coding,Asp-tR(Asn)/Glu-tR(Gln) amidotransferase GatCAB subunit C
WP_010902611.1,VNG_RS03405,VNG0872G,1272,657961,659232,protein_coding,Asp-tR(Asn)/Glu-tR(Gln) amidotransferase GatCAB subunit A
WP_010902612.1,VNG_RS03410,VNG0873G,468,659240,659707,protein_coding,acyl-CoA thioesterase
WP_010902613.1,VNG_RS03415,VNG0874G,1515,659810,661324,protein_coding,conjugal transfer protein TraB
WP_010902614.1,VNG_RS03420,VNG0875C,594,661336,661929,protein_coding,Zn-dependent protease
WP_010902615.1,VNG_RS03425,VNG0876G,996,661987,662982,protein_coding,phosphoribosylformylglycimidine cyclo-ligase
WP_010902616.1,VNG_RS03430,VNG0878G,540,663068,663607,protein_coding,CBS domain-containing protein
WP_010902617.1,VNG_RS03435,VNG0879C,366,663648,664013,protein_coding,DUF555 domain-containing protein
WP_012289244.1,VNG_RS03440,VNG0880G,732,664248,664979,protein_coding,proteasome subunit beta
WP_010902619.1,VNG_RS03445,VNG0881G,1686,665121,666806,protein_coding,D ligase
WP_010902620.1,VNG_RS03450,VNG0882G,774,666861,667634,protein_coding,haloacid dehalogese
WP_010902621.1,VNG_RS03455,VNG0883H,795,667700,668494,protein_coding,MBL fold metallo-hydrolase
WP_010902622.1,VNG_RS03460,VNG0884G,1101,668445,669545,protein_coding,D topoisomerase VI subunit A
WP_010902623.1,VNG_RS03465,VNG0885G,2415,669542,671956,protein_coding,D topoisomerase VI subunit B
WP_049928262.1,VNG_RS03470,VNG0887G,1914,672098,674011,protein_coding,D topoisomerase (ATP-hydrolyzing) subunit B
WP_010902625.1,VNG_RS03475,VNG0889G,2475,674013,676487,protein_coding,D gyrase subunit A
WP_010902626.1,VNG_RS03480,VNG0890G,534,676676,677209,protein_coding,HTH domain-containing protein
WP_010902627.1,VNG_RS03485,VNG0891G,1170,677255,678424,protein_coding,D(P)/FAD-dependent oxidoreductase
WP_010902629.1,VNG_RS03490,VNG0892a,525,678619,679143,protein_coding,hypothetical protein
WP_010902630.1,VNG_RS03495,VNG0893G,822,679140,679961,protein_coding,uridine phosphorylase
WP_010902631.1,VNG_RS03500,VNG0896G,405,680015,680419,protein_coding,cytidine deamise
WP_010902632.1,VNG_RS03505,VNG0897G,1086,680470,681555,protein_coding,ABC transporter permease
WP_010902633.1,VNG_RS03510,VNG0898G,1224,681548,682771,protein_coding,ABC transporter permease
WP_010902634.1,VNG_RS03515,VNG0901G,1521,682768,684288,protein_coding,ABC transporter ATP-binding protein
WP_010902635.1,VNG_RS03520,VNG0903C,1050,684313,685362,protein_coding,BMP family ABC transporter substrate-binding protein
WP_010902636.1,VNG_RS03525,VNG0905G,1383,685465,686847,protein_coding,phosphomannomutase
WP_010902637.1,VNG_RS03530,VNG0906H,480,686893,687372,protein_coding,hypothetical protein
WP_010902639.1,VNG_RS03535,VNG0908G,1569,687787,689355,protein_coding,sodium/proline symporter
WP_010902640.1,VNG_RS03540,VNG0909H,522,689345,689866,protein_coding,hypothetical protein
WP_010902641.1,VNG_RS03545,VNG0911H,273,689936,690208,protein_coding,hypothetical protein
WP_010902642.1,VNG_RS03550,VNG0913H,1452,690192,691643,protein_coding,hypothetical protein
WP_010902643.1,VNG_RS03555,VNG0914H,1101,691613,692713,protein_coding,iron transporter
WP_010902644.1,VNG_RS03560,VNG0915G,1194,692869,694062,protein_coding,aminotransferase class V-fold PLP-dependent enzyme
WP_010902645.1,VNG_RS03565,VNG0916G,2298,694068,696365,protein_coding,PAS domain-containing sensor histidine kise
WP_012289247.1,VNG_RS03570,VNG0917G,615,696355,696969,protein_coding,D-binding protein
WP_010890474.1,VNG_RS03575,VNG0918H,885,697055,697939,protein_coding,IS1595 family transposase ISH4
WP_010902647.1,VNG_RS03580,VNG0919G,690,698097,698786,protein_coding,glycosyltransferase family 2 protein
WP_010902648.1,VNG_RS03585,VNG0920H,2067,698755,700821,protein_coding,hypothetical protein
WP_010902649.1,VNG_RS03590,VNG0921G,1134,700821,701954,protein_coding,ABC transporter ATP-binding protein
WP_010902650.1,VNG_RS03595,VNG0923G,1614,701947,703560,protein_coding,iron ABC transporter permease
WP_010902651.1,VNG_RS03600,VNG0924G,1152,703563,704714,protein_coding,iron ABC transporter substrate-binding protein
WP_012289248.1,VNG_RS03605,VNG0925C,1149,704811,705959,protein_coding,hypothetical protein
WP_010902654.1,VNG_RS03610,VNG0927C,720,706028,706747,protein_coding,hypothetical protein
WP_010902655.1,VNG_RS03615,VNG0928G,1566,706744,708309,protein_coding,MAPK-activated protein kise
WP_010902656.1,VNG_RS03620,VNG0930G,1017,708396,709412,protein_coding,LLM class flavin-dependent oxidoreductase
WP_010902657.1,VNG_RS03625,VNG0931G,1152,709490,710641,protein_coding,3-ketoacyl-CoA thiolase
WP_010902658.1,VNG_RS03630,VNG0932C,393,710638,711030,protein_coding,hypothetical protein
WP_010902659.1,VNG_RS03635,VNG0933G,1101,711047,712147,protein_coding,DH:flavin oxidoreductase/DH oxidase
WP_010902661.1,VNG_RS03640,VNG0935G,642,712502,713143,protein_coding,nitroreductase family protein
WP_012289249.1,VNG_RS03645,VNG0936C,786,713283,714068,protein_coding,hydrolase
WP_010902663.1,VNG_RS03650,VNG0937G,1443,714164,715606,protein_coding,aldehyde dehydrogese
WP_010902664.1,VNG_RS03655,VNG0938G,801,715619,716419,protein_coding,ZIP family metal transporter
WP_010902665.1,VNG_RS03660,VNG0940G,2103,716669,718771,protein_coding,CoA-binding protein
WP_010902666.1,VNG_RS03665,VNG0941C,1065,718768,719832,protein_coding,hypothetical protein
WP_010902667.1,VNG_RS03670,VNG0942G,399,719845,720243,protein_coding,chemotaxis protein CheW
WP_010902668.1,VNG_RS03675,VNG0943C,348,720331,720678,protein_coding,ArsR family transcriptiol regulator
WP_010902669.1,VNG_RS03680,VNG0945H,282,720747,721028,protein_coding,hypothetical protein
WP_010902670.1,VNG_RS03685,VNG0946G,972,721030,722001,protein_coding,MinD/ParA family protein
WP_010902671.1,VNG_RS03690,VNG0947G,1746,722046,723791,protein_coding,flagellar assembly protein J
WP_010902672.1,VNG_RS03695,VNG0949G,1890,723798,725687,protein_coding,hypothetical protein
WP_010902673.1,VNG_RS03700,VNG0950G,771,725699,726469,protein_coding,ATPase
WP_010902674.1,VNG_RS03705,VNG0950a,456,726466,726921,protein_coding,flagellar protein G
WP_010902675.1,VNG_RS03710,VNG0953C,438,726922,727359,protein_coding,hypothetical protein
WP_010902676.1,VNG_RS03715,VNG0954C,1515,727343,728857,protein_coding,hypothetical protein
WP_010902677.1,VNG_RS03720,VNG0955G,471,728962,729432,protein_coding,flagella E
WP_010902678.1,VNG_RS03725,VNG0958G,1911,729429,731339,protein_coding,PAS domain-containing protein
WP_010902679.1,VNG_RS03730,VNG0959H,240,731395,731634,protein_coding,hypothetical protein
WP_010902680.1,VNG_RS03735,VNG0960G,582,731799,732380,protein_coding,flagellin
WP_012289250.1,VNG_RS03740,VNG0961G,591,732392,732982,protein_coding,flagellin
WP_012289251.1,VNG_RS03745,VNG0962G,582,732994,733575,protein_coding,flagellin
WP_012289252.1,VNG_RS03750,VNG0963G,1221,733645,734865,protein_coding,phycocyanobilin lyase
WP_010902684.1,VNG_RS03755,VNG0964C,873,735009,735881,protein_coding,hypothetical protein
WP_010902685.1,VNG_RS03760,VNG0965C,864,735910,736773,protein_coding,hypothetical protein
WP_012289253.1,VNG_RS03765,VNG0966G,807,736840,737646,protein_coding,chemotaxis protein CheR
WP_010902687.1,VNG_RS03770,VNG0967G,468,737643,738110,protein_coding,chemotaxis protein CheD
WP_010902688.1,VNG_RS03775,VNG0969H,1140,738107,739246,protein_coding,chemotaxis protein CheC
WP_010902689.1,VNG_RS03780,VNG0970G,588,739248,739835,protein_coding,chemotaxis protein
WP_010902690.1,VNG_RS03785,VNG0971G,2007,739838,741844,protein_coding,chemotaxis protein CheA
WP_010902691.1,VNG_RS03790,VNG0973G,1044,741846,742889,protein_coding,chemotaxis response regulator protein-glutamate methylesterase
WP_010902692.1,VNG_RS03795,VNG0974G,363,742886,743248,protein_coding,response regulator
WP_010902693.1,VNG_RS03800,VNG0976G,537,743295,743831,protein_coding,chemotaxis protein CheW
WP_010902694.1,VNG_RS03805,VNG0978H,594,743896,744489,protein_coding,hypothetical protein
WP_010902695.1,VNG_RS03810,VNG0979H,906,744606,745511,protein_coding,hypothetical protein
WP_010902696.1,VNG_RS03815,VNG0981C,1116,745648,746763,protein_coding,pyridoxal phosphate-dependent aminotransferase
WP_010902697.1,VNG_RS03820,VNG0982C,291,746843,747133,protein_coding,photosystem reaction center subunit H
WP_010902698.1,VNG_RS03825,VNG0983C,1455,747151,748605,protein_coding,DHH family phosphoesterase
WP_010902699.1,VNG_RS03835,VNG0985H,2007,749392,751398,protein_coding,hypothetical protein
WP_049892499.1,VNG_RS03840,,204,751903,752106,protein_coding,hypothetical protein
WP_010902700.1,VNG_RS03845,VNG0986H,528,752276,752803,protein_coding,hypothetical protein
WP_010902701.1,VNG_RS13295,VNG0987H,417,753131,753547,protein_coding,hypothetical protein
WP_012289258.1,VNG_RS13300,,378,754014,754391,protein_coding,DUF2085 domain-containing protein
WP_010902703.1,VNG_RS03850,VNG0989C,1023,754459,755481,protein_coding,integrase
WP_010902705.1,VNG_RS03855,VNG0991H,342,756675,757016,protein_coding,hypothetical protein
WP_010902706.1,VNG_RS03860,VNG0992H,711,757409,758119,protein_coding,hypothetical protein
WP_010902707.1,VNG_RS03865,VNG0993H,813,758465,759277,protein_coding,hypothetical protein
WP_010902708.1,VNG_RS03870,VNG0995H,189,760365,760553,protein_coding,hypothetical protein
WP_010902709.1,VNG_RS03875,VNG0996G,1806,760682,762487,protein_coding,XRE family transcriptiol regulator
WP_010902710.1,VNG_RS03880,VNG0997G,2004,762609,764612,protein_coding,acetate--CoA ligase
WP_010902711.1,VNG_RS03885,VNG0998G,1011,764619,765629,protein_coding,aldo/keto reductase
WP_010902712.1,VNG_RS03890,VNG0999H,270,765775,766044,protein_coding,hypothetical protein
WP_049892500.1,VNG_RS03895,,201,766395,766595,protein_coding,hypothetical protein
WP_010902713.1,VNG_RS03900,VNG1000H,210,766603,766812,protein_coding,DUF2061 domain-containing protein
WP_012289261.1,VNG_RS03905,VNG1001G,1500,766955,768454,protein_coding,IMP dehydrogese
WP_010902715.1,VNG_RS03910,VNG1002H,918,768965,769882,protein_coding,hypothetical protein
WP_010902716.1,VNG_RS03915,VNG1003H,225,769965,770189,protein_coding,hypothetical protein
WP_010902717.1,VNG_RS03920,VNG1005H,213,770194,770406,protein_coding,hypothetical protein
WP_010902718.1,VNG_RS13310,VNG1006H,720,770827,771546,protein_coding,hypothetical protein
WP_081422748.1,VNG_RS13315,,249,771995,772243,protein_coding,hypothetical protein
WP_010902719.1,VNG_RS03935,VNG1008G,591,773360,773950,protein_coding,flagellin
WP_012289264.1,VNG_RS03940,VNG1009G,585,773962,774546,protein_coding,flagellin
WP_010902721.1,VNG_RS03945,VNG1011C,768,774736,775503,protein_coding,GTP cyclohydrolase IIa
WP_010902722.1,VNG_RS03950,VNG1012H,273,775533,775805,protein_coding,glutaredoxin
WP_010902723.1,VNG_RS03955,VNG1013G,1272,775802,777073,protein_coding,chemotaxis protein
WP_012289265.1,VNG_RS03960,VNG1014G,1236,777218,778453,protein_coding,D polymerase IV
WP_010902725.1,VNG_RS03965,VNG1015H,375,778446,778820,protein_coding,hypothetical protein
WP_010902726.1,VNG_RS03970,VNG1017H,1104,778857,779960,protein_coding,hypothetical protein
WP_081422749.1,VNG_RS03975,VNG1018G,1998,780051,782048,protein_coding,alcohol dehydrogese
WP_010902728.1,VNG_RS03980,VNG1020C,852,782045,782896,protein_coding,CDP-alcohol phosphatidyltransferase family protein
WP_010902729.1,VNG_RS03985,VNG1021C,762,782934,783695,protein_coding,GTP cyclohydrolase IIa
WP_010902730.1,VNG_RS03990,VNG1023C,1017,783700,784716,protein_coding,oxidoreductase
WP_010902731.1,VNG_RS03995,VNG1024C,408,784713,785120,protein_coding,6-carboxytetrahydropterin synthase
WP_010902732.1,VNG_RS04000,VNG1025H,846,785117,785962,protein_coding,methyltransferase domain-containing protein
WP_010902733.1,VNG_RS04005,VNG1026H,555,785972,786526,protein_coding,hypothetical protein
WP_010902734.1,VNG_RS04010,VNG1027G,645,786530,787174,protein_coding,triose-phosphate isomerase
WP_010902735.1,VNG_RS04015,VNG1029C,540,787221,787760,protein_coding,TIGR00270 family protein
WP_010902736.1,VNG_RS04020,VNG1030G,600,787803,788402,protein_coding,CDP-alcohol phosphatidyltransferase family protein
WP_010902737.1,VNG_RS04025,VNG1031C,510,788399,788908,protein_coding,adenylate kise
WP_012289267.1,VNG_RS04030,VNG1033G,1101,788905,790005,protein_coding,histidinol-phosphate aminotransferase
WP_010902739.1,VNG_RS04035,VNG1034H,441,790091,790531,protein_coding,hypothetical protein
WP_010902740.1,VNG_RS04040,VNG1035C,1590,790599,792188,protein_coding,GMC family oxidoreductase
WP_010902741.1,VNG_RS04045,VNG1036H,519,792185,792703,protein_coding,hypothetical protein
WP_012289269.1,VNG_RS04050,VNG1037G,744,792760,793503,protein_coding,FAA hydrolase family protein
WP_010902743.1,VNG_RS04055,VNG1038C,723,793607,794329,protein_coding,hydrolase
WP_010902744.1,VNG_RS04060,VNG1039H,543,794483,795025,protein_coding,hypothetical protein
WP_012289270.1,VNG_RS04065,,396,795292,795687,protein_coding,OsmC family peroxiredoxin
WP_010902746.1,VNG_RS04070,VNG1042H,453,795777,796229,protein_coding,hypothetical protein
WP_010902748.1,VNG_RS04075,VNG1046H,294,796466,796759,protein_coding,hypothetical protein
WP_010902749.1,VNG_RS04080,VNG1048G,1281,796773,798053,protein_coding,UDP-glucose/GDP-mannose dehydrogese family protein
WP_010902750.1,VNG_RS04085,VNG1050H,351,798126,798476,protein_coding,hypothetical protein
WP_010902751.1,VNG_RS04090,VNG1052H,687,798683,799369,protein_coding,hypothetical protein
WP_010902752.1,VNG_RS04095,VNG1053G,918,799383,800300,protein_coding,TIGR04182 family glycosyltransferase
WP_010902753.1,VNG_RS04100,VNG1054G,1428,800415,801842,protein_coding,polysaccharide biosynthesis protein
WP_010902754.1,VNG_RS04105,VNG1055G,723,801935,802657,protein_coding,UTP--glucose-1-phosphate uridylyltransferase
WP_010902755.1,VNG_RS04110,VNG1056C,981,802721,803701,protein_coding,hypothetical protein
WP_010902756.1,VNG_RS04115,VNG1057C,1359,803726,805084,protein_coding,hypothetical protein
WP_010902757.1,VNG_RS04120,VNG1058H,1119,805308,806426,protein_coding,hypothetical protein
WP_010902758.1,VNG_RS04125,VNG1059C,1197,806499,807695,protein_coding,colanic acid biosynthesis glycosyltransferase WcaL
WP_010902759.1,VNG_RS04130,VNG1060H,786,807925,808710,protein_coding,hypothetical protein
WP_010902760.1,VNG_RS04135,VNG1062G,900,808831,809730,protein_coding,glycosyltransferase family 2 protein
WP_010902761.1,VNG_RS04140,VNG1063H,1017,809745,810761,protein_coding,hypothetical protein
WP_010902762.1,VNG_RS04145,VNG1064H,1341,811152,812492,protein_coding,ISH6 family transposase ISH6
WP_010902763.1,VNG_RS04150,VNG1065C,762,812621,813382,protein_coding,FkbM family methyltransferase
WP_010902764.1,VNG_RS04155,VNG1066C,909,813372,814280,protein_coding,glycosyl transferase
WP_012289272.1,VNG_RS04160,VNG1067G,939,814270,815208,protein_coding,glycosyltransferase family 2 protein
WP_010902766.1,VNG_RS04165,VNG1068G,3264,815317,818580,protein_coding,"oligosaccharyl transferase, archaeosortase A system-associated"
WP_010902767.1,VNG_RS04170,VNG1069C,891,818634,819524,protein_coding,DUF368 domain-containing protein
WP_010902768.1,VNG_RS04175,VNG1070G,1212,819545,820756,protein_coding,FAD-dependent oxidoreductase
WP_010902769.1,VNG_RS04180,VNG1071G,357,820841,821197,protein_coding,transcription factor
WP_010902770.1,VNG_RS04185,VNG1073G,1482,821245,822726,protein_coding,2-succinylbenzoate--CoA ligase
WP_012289275.1,VNG_RS04190,VNG1074G,996,822719,823714,protein_coding,chloromucote cycloisomerase
WP_010902772.1,VNG_RS04195,VNG1075G,936,823711,824646,protein_coding,"1,4-dihydroxy-2-phthoate polyprenyltransferase"
WP_010902773.1,VNG_RS04200,VNG1077G,1635,824703,826337,protein_coding,BCCT family transporter
WP_010902774.1,VNG_RS04205,VNG1079G,915,826509,827423,protein_coding,"1,4-dihydroxy-2-phthoyl-CoA synthase"
WP_010902775.1,VNG_RS04210,VNG1081G,1755,827496,829250,protein_coding,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
WP_010902776.1,VNG_RS04215,VNG1083G,1326,829247,830572,protein_coding,isochorismate synthase
WP_010902777.1,VNG_RS04220,VNG1084G,597,830618,831214,protein_coding,sulfite oxidase-like oxidoreductase
WP_010902778.1,VNG_RS04225,VNG1085H,219,831377,831595,protein_coding,hypothetical protein
WP_010902779.1,VNG_RS04230,VNG1086C,279,831651,831929,protein_coding,hypothetical protein
WP_010902780.1,VNG_RS04235,VNG1087C,1944,832010,833953,protein_coding,hypothetical protein
WP_012289276.1,VNG_RS04240,VNG1088C,303,833972,834274,protein_coding,hypothetical protein
WP_010902782.1,VNG_RS04245,VNG1089G,1323,834481,835803,protein_coding,adenylosuccite synthetase
WP_010902783.1,VNG_RS04250,VNG1090H,204,835854,836057,protein_coding,hypothetical protein
WP_012289277.1,VNG_RS04255,,561,836099,836659,protein_coding,hypothetical protein
WP_010902784.1,VNG_RS04260,VNG1092C,1101,836666,837766,protein_coding,hypothetical protein
WP_010902785.1,VNG_RS04265,VNG1093C,879,837766,838644,protein_coding,hypothetical protein
WP_010902786.1,VNG_RS04270,VNG1094H,1185,838735,839919,protein_coding,outer membrane lipoprotein carrier protein LolA
WP_012289278.1,VNG_RS04275,,300,839927,840226,protein_coding,hypothetical protein
WP_049892503.1,VNG_RS04280,VNG1096H,345,840223,840567,protein_coding,ArsR family transcriptiol regulator
WP_010902789.1,VNG_RS04285,VNG1097G,1485,840757,842241,protein_coding,cysteine--tR ligase
WP_010902790.1,VNG_RS04290,VNG1099C,837,842300,843136,protein_coding,hypothetical protein
WP_010902791.1,VNG_RS04295,VNG1100C,552,843129,843680,protein_coding,cysteine hydrolase
WP_010902792.1,VNG_RS04300,VNG1101C,1245,843690,844934,protein_coding,hypothetical protein
WP_010902793.1,VNG_RS04305,VNG1103G,345,845055,845399,protein_coding,50S ribosomal protein P1
WP_010902794.1,VNG_RS04310,VNG1104G,1059,845405,846463,protein_coding,50S ribosomal protein L10
WP_010902795.1,VNG_RS04315,VNG1105G,639,846465,847103,protein_coding,50S ribosomal protein L1
WP_010902796.1,VNG_RS04320,VNG1108G,492,847304,847795,protein_coding,50S ribosomal protein L11
WP_010902797.1,VNG_RS04325,VNG1110C,207,847866,848072,protein_coding,hypothetical protein
WP_010902798.1,VNG_RS04330,VNG1111G,1113,848173,849285,protein_coding,GTP-binding protein
WP_010902799.1,VNG_RS04335,VNG1112H,411,849289,849699,protein_coding,TIGR04206 family protein
WP_010902800.1,VNG_RS04340,VNG1114G,786,849749,850534,protein_coding,glyoxalase
WP_010902801.1,VNG_RS04345,VNG1115H,375,850650,851024,protein_coding,hypothetical protein
WP_012289280.1,VNG_RS04350,VNG1118G,783,851026,851808,protein_coding,diphthine synthase
WP_010902803.1,VNG_RS04355,VNG1117C,984,851896,852879,protein_coding,class I SAM-dependent methyltransferase family protein
WP_010902804.1,VNG_RS04365,VNG1119H,252,853114,853365,protein_coding,hypothetical protein
WP_010902805.1,VNG_RS04370,VNG1120H,477,853418,853894,protein_coding,cyclase
WP_010902806.1,VNG_RS04375,VNG1121G,1176,853986,855161,protein_coding,aspartate aminotransferase
