P0DMG4,Glutamate dehydrogenase B (GDH B) (EC 1.4.1.-),VNG_0161G,cellular amino acid metabolic process [GO:0006520]
Q9HMF3,Probable deoxyuridine 5'-triphosphate nucleotidohydrolase (dUTPase) (EC 3.6.1.23) (dUTP pyrophosphatase),VNG_2570G,dUMP biosynthetic process [GO:0006226]
Q9HP80,GTP cyclohydrolase 1 type 2 homolog,VNG_1766C,
Q9HQS9,GTP cyclohydrolase III 2 (EC 3.5.4.29),VNG_1021C,biosynthetic process [GO:0009058]
Q9HPZ9,Glutamate--cysteine ligase (EC 6.3.2.2) (Gamma-glutamylcysteine synthetase) (GCS) (Gamma-GCS),VNG_1397C,cellular modified amino acid biosynthetic process [GO:0042398]
Q9HSB6,3-dehydroquinate synthase (DHQ synthase) (EC 1.4.1.24) (3-dehydroquinate synthase II),VNG_0310C,aromatic amino acid family biosynthetic process [GO:0009073]
Q9HQT4,DNA polymerase IV (Pol IV) (EC 2.7.7.7),VNG_1014G,DNA-dependent DNA replication [GO:0006261]; error-prone translesion synthesis [GO:0042276]; translesion synthesis [GO:0019985]
Q9HQT7,GTP cyclohydrolase III 1 (EC 3.5.4.29),VNG_1011C,biosynthetic process [GO:0009058]
Q9HM89,Elongation factor 1-alpha (EF-1-alpha) (Elongation factor Tu) (EF-Tu),VNG_2649G,
Q9HQG6,Elongation factor 1-beta (EF-1-beta) (aEF-1beta),VNG_1173G,
Q9HM85,Elongation factor 2 (EF-2),VNG_2654G,translational elongation [GO:0006414]
Q9HQI9,Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase),VNG_1142G,glycolytic process [GO:0006096]
Q9HMY8,"Glutamate-1-semialdehyde 2,1-aminomutase (GSA) (EC 5.4.3.8) (Glutamate-1-semialdehyde aminotransferase) (GSA-AT)",VNG_2326G,protoporphyrinogen IX biosynthetic process [GO:0006782]
Q9HRI1,"Fructose-1,6-bisphosphatase class 1 (FBPase class 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 1)",VNG_0684G,"fructose 1,6-bisphosphate metabolic process [GO:0030388]; fructose 6-phosphate metabolic process [GO:0006002]; fructose metabolic process [GO:0006000]; gluconeogenesis [GO:0006094]; sucrose biosynthetic process [GO:0005986]"
Q9HRY0,Protein GrpE (HSP-70 cofactor),VNG_0494G,protein folding [GO:0006457]
P84699,Protein VNG_0358C,VNG_0358C,
Q9HML8,Phosphate import ATP-binding protein PstB 2 (EC 7.3.2.1) (ABC phosphate transporter 2) (Phosphate-transporting ATPase 2),VNG_2482G,
Q9HNX6,GTP cyclohydrolase MptA (EC 3.5.4.39) (GTP cyclohydrolase IV),VNG_1901C,
P0CW99,Probable transcription termination protein NusA,VNG_2661G,"DNA-templated transcription, termination [GO:0006353]; transcription antitermination [GO:0031564]"
Q9HS13,Phosphate import ATP-binding protein PstB 1 (EC 7.3.2.1) (ABC phosphate transporter 1) (Phosphate-transporting ATPase 1),VNG_0452G,
Q9HR36,Proteasome subunit beta (EC 3.4.25.1) (20S proteasome beta subunit) (Proteasome core protein PsmB),VNG_0880G,proteasomal protein catabolic process [GO:0010498]; proteasomal ubiquitin-independent protein catabolic process [GO:0010499]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]
Q9HRF0,Putative 2-dehydropantoate 2-reductase (EC 1.1.1.169) (Ketopantoate reductase) (KPA reductase) (KPR),VNG_0730C,pantothenate biosynthetic process [GO:0015940]
Q9HPT6,3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) (Ketopantoate hydroxymethyltransferase) (KPHMT),VNG_1478G,pantothenate biosynthetic process [GO:0015940]
Q9HRW6,Proteasome-activating nucleotidase 1 (PAN 1) (Proteasomal ATPase 1) (Proteasome regulatory ATPase 1) (Proteasome regulatory particle 1),VNG_0510G,proteasomal protein catabolic process [GO:0010498]; protein unfolding [GO:0043335]
Q9HNP9,Proteasome-activating nucleotidase 2 (PAN 2) (Proteasomal ATPase 2) (Proteasome regulatory ATPase 2) (Proteasome regulatory particle 2),VNG_2000G,proteasomal protein catabolic process [GO:0010498]; protein unfolding [GO:0043335]
Q9HNQ6,Probable glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI),VNG_1992G,gluconeogenesis [GO:0006094]; glucose 6-phosphate metabolic process [GO:0051156]; glycolytic process [GO:0006096]
Q9HN20,Glutamate mutase epsilon subunit (EC 5.4.99.1) (Glutamate mutase E chain) (Glutamate mutase large subunit) (Methylaspartate mutase),VNG_2288G,anaerobic glutamate catabolic process [GO:0019670]; glutamate catabolic process via L-citramalate [GO:0019553]
Q9HN21,Glutamate mutase sigma subunit (EC 5.4.99.1) (Glutamate mutase S chain) (Glutamate mutase small subunit) (Methylaspartate mutase),VNG_2286G,anaerobic glutamate catabolic process [GO:0019670]; glutamate catabolic process via L-citramalate [GO:0019553]
Q9HNS5,Glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Glycerokinase) (GK),VNG_1967G,glycerol-3-phosphate metabolic process [GO:0006072]; glycerol catabolic process [GO:0019563]; glycerol metabolic process [GO:0006071]
P0DMR7,Cell division protein FtsZ 2,VNG_0192G,cell division [GO:0051301]; division septum assembly [GO:0000917]; FtsZ-dependent cytokinesis [GO:0043093]; protein polymerization [GO:0051258]
Q9HP78,Translation initiation factor 5A (Hypusine-containing protein) (eIF-5A),VNG_1768G,positive regulation of translational elongation [GO:0045901]; positive regulation of translational termination [GO:0045905]; translational frameshifting [GO:0006452]
Q9HNI2,Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Glutamine synthetase I alpha) (GSI alpha),VNG_2093G,glutamine biosynthetic process [GO:0006542]; polyamine catabolic process [GO:0006598]
Q9HP33,GMP synthase [glutamine-hydrolyzing] subunit B (EC 6.3.5.2) (GMP synthetase),VNG_1829G,GMP biosynthetic process [GO:0006177]
Q9HI24,Protein GvpI 1,VNG_5023G; VNG_6023G,
P33956,Gas vesicle protein GvpJ 2,VNG_6232G,
P08958,Gas vesicle structural protein 1 (GVP) (P-VAC),VNG_5030G; VNG_6029G,
Q9HS17,Glucose 1-dehydrogenase (GDH) (GlcDH) (EC 1.1.1.47),VNG_0446G,non-phosphorylated glucose catabolic process [GO:0019595]
Q9HNS3,Probable anaerobic glycerol-3-phosphate dehydrogenase subunit B (Anaerobic G-3-P dehydrogenase subunit B) (Anaerobic G3Pdhase B) (EC 1.1.5.3),VNG_1971G,glycerol catabolic process [GO:0019563]
Q9HHT0,Gas vesicle protein C 2,VNG_6242G,gas vesicle organization [GO:0031412]
O51968,Protein GvpO 1,VNG_5034G; VNG_6033G,gas vesicle organization [GO:0031412]
Q9HP72,Glutamyl-tRNA reductase (GluTR) (EC 1.2.1.70),VNG_1774G,protoporphyrinogen IX biosynthetic process [GO:0006782]
Q9HQ89,Probable cyclic pyranopterin monophosphate synthase (EC 4.6.1.17) (Molybdenum cofactor biosynthesis protein C),VNG_1273G,Mo-molybdopterin cofactor biosynthetic process [GO:0006777]
Q9HST4,"Probable GTP 3',8-cyclase (EC 4.1.99.22) (Molybdenum cofactor biosynthesis protein A)",VNG_0085G,Mo-molybdopterin cofactor biosynthetic process [GO:0006777]
Q9HRW4,DNA double-strand break repair protein Mre11 (EC 3.1.-.-),VNG_0512G,double-strand break repair [GO:0006302]
Q9HN51,5-methylthioadenosine/S-adenosylhomocysteine deaminase (MTA/SAH deaminase) (EC 3.5.4.28) (EC 3.5.4.31),VNG_2249G,
Q9HQG0,Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase),VNG_1180G,cellular protein modification process [GO:0006464]
Q9HRT9,Ribosome biogenesis protein Nop10,VNG_0548C,pseudouridine synthesis [GO:0001522]; rRNA processing [GO:0006364]
P57697,Proteasome subunit alpha (EC 3.4.25.1) (20S proteasome alpha subunit) (Proteasome core protein PsmA),VNG_0166G,proteasomal protein catabolic process [GO:0010498]; proteasomal ubiquitin-independent protein catabolic process [GO:0010499]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]
Q9HSN7,Putative nickel-responsive regulator,VNG_0147C,response to nickel cation [GO:0010045]
Q9HN47,DNA primase large subunit PriL,VNG_2254C,
Q9HPU3,DNA primase small subunit PriS (EC 2.7.7.-),VNG_1470G,"DNA replication, synthesis of RNA primer [GO:0006269]"
Q9HSM6,DNA mismatch repair protein MutL,VNG_0159G,mismatch repair [GO:0006298]
Q9HS36,Nascent polypeptide-associated complex protein,VNG_0424C,protein transport [GO:0015031]
Q9HSM2,DNA mismatch repair protein MutS 1,VNG_0163G,mismatch repair [GO:0006298]
Q9HSL6,DNA mismatch repair protein MutS 2,VNG_0172G,mismatch repair [GO:0006298]
Q9HPI4,Replication factor C large subunit (RFC large subunit) (Clamp loader large subunit),VNG_1622G,DNA replication [GO:0006260]
Q9HRB2,FAD synthase (EC 2.7.7.2) (FMN adenylyltransferase) (Flavin adenine dinucleotide synthase),VNG_0777G,FAD biosynthetic process [GO:0006747]; FMN metabolic process [GO:0046444]
Q9HN45,DNA polymerase sliding clamp (Proliferating cell nuclear antigen homolog) (PCNA),VNG_2256G,leading strand elongation [GO:0006272]; regulation of DNA replication [GO:0006275]
Q9HNN8,Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK),VNG_2015C,'de novo' CTP biosynthetic process [GO:0044210]; UDP biosynthetic process [GO:0006225]
Q9HP57,Pyridoxal 5'-phosphate synthase subunit PdxS (PLP synthase subunit PdxS) (EC 4.3.3.6) (Pdx1),VNG_1793C,cellular amino acid metabolic process [GO:0006520]; pyridoxal phosphate biosynthetic process [GO:0042823]; pyridoxine biosynthetic process [GO:0008615]
Q9HPR5,Protein pelota homolog (EC 3.1.-.-),VNG_1506G,"nonfunctional rRNA decay [GO:0070651]; nuclear-transcribed mRNA catabolic process, no-go decay [GO:0070966]; nuclear-transcribed mRNA catabolic process, non-stop decay [GO:0070481]; ribosome disassembly [GO:0032790]; RNA surveillance [GO:0071025]"
Q9HMN2,Prefoldin subunit alpha (GimC subunit alpha),VNG_2465C,protein folding [GO:0006457]
Q9HRF9,Phosphoglycolate phosphatase (PGP) (PGPase) (EC 3.1.3.18),VNG_0718C,carbohydrate metabolic process [GO:0005975]
Q9HNI8,Phosphonates import ATP-binding protein PhnC (EC 7.3.2.2),VNG_2085G,
Q9HNZ0,L-aspartate oxidase (LASPO) (EC 1.4.3.16) (Quinolinate synthase B),VNG_1883G,NAD biosynthetic process [GO:0009435]
Q9HNM7,NH(3)-dependent NAD(+) synthetase (EC 6.3.1.5),VNG_2031G,NAD biosynthetic process [GO:0009435]
Q9HNX7,NAD kinase (EC 2.7.1.23) (ATP-dependent NAD kinase),VNG_1900C,NAD metabolic process [GO:0019674]; NADP biosynthetic process [GO:0006741]
Q9HNZ1,Quinolinate synthase A (EC 2.5.1.72),VNG_1882G,'de novo' NAD biosynthetic process from aspartate [GO:0034628]
Q9HSC4,Nicotinamide-nucleotide adenylyltransferase (EC 2.7.7.1) (NAD(+) diphosphorylase) (NAD(+) pyrophosphorylase) (NMN adenylyltransferase),VNG_0301C,NAD biosynthetic process [GO:0009435]
P61136,Nucleoside diphosphate kinase (NDK) (NDP kinase) (EC 2.7.4.6) (Nucleoside-2-P kinase),VNG_1160G,CTP biosynthetic process [GO:0006241]; GTP biosynthetic process [GO:0006183]; UTP biosynthetic process [GO:0006228]
Q9HNQ0,Pyruvoyl-dependent arginine decarboxylase (PvlArgDC) (EC 4.1.1.19) [Cleaved into: Pyruvoyl-dependent arginine decarboxylase subunit beta; Pyruvoyl-dependent arginine decarboxylase subunit alpha],VNG_1999H,arginine catabolic process [GO:0006527]
Q9HQD1,Phosphoglycerate kinase (EC 2.7.2.3),VNG_1216G,gluconeogenesis [GO:0006094]; glycolytic process [GO:0006096]; positive regulation of oxidative phosphorylation [GO:1903862]
Q9HP73,Putative pterin-4-alpha-carbinolamine dehydratase (PHS) (EC 4.2.1.96) (4-alpha-hydroxy-tetrahydropterin dehydratase) (Pterin carbinolamine dehydratase) (PCD),VNG_1773G,tetrahydrobiopterin biosynthetic process [GO:0006729]
Q9HSH0,Prefoldin subunit beta (GimC subunit beta),VNG_0234C,protein folding [GO:0006457]
P57684,Potassium-transporting ATPase potassium-binding subunit (ATP phosphohydrolase [potassium-transporting] A chain) (Potassium-binding and translocating subunit A) (Potassium-translocating ATPase A chain),VNG_6176G,potassium ion transmembrane transport [GO:0071805]
Q9HQS1,Putative adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase),VNG_1031C,
Q9HPA5,Cytidylate kinase (CK) (EC 2.7.4.25) (Cytidine monophosphate kinase) (CMP kinase),VNG_1727G,pyrimidine nucleotide metabolic process [GO:0006220]
Q9HSF3,Inorganic pyrophosphatase (EC 3.6.1.1) (Pyrophosphate phospho-hydrolase) (PPase),VNG_0259G,phosphate-containing compound metabolic process [GO:0006796]
Q9HPD7,Methenyltetrahydromethanopterin cyclohydrolase (EC 3.5.4.27) (Methenyl-H4MPT cyclohydrolase),VNG_1686G,one-carbon metabolic process [GO:0006730]
Q9HPQ9,Thymidine kinase (EC 2.7.1.21),VNG_1515G,DNA biosynthetic process [GO:0071897]; DNA metabolic process [GO:0006259]; thymidine metabolic process [GO:0046104]
Q9HHY8,ORC1-type DNA replication protein 2,VNG_6164G,DNA replication [GO:0006260]; mitotic cell cycle [GO:0000278]; mitotic DNA replication checkpoint [GO:0033314]
Q9HHR1,ORC1-type DNA replication protein 5,VNG_6272G,DNA replication [GO:0006260]; mitotic cell cycle [GO:0000278]; mitotic DNA replication checkpoint [GO:0033314]
Q9HHZ9,ORC1-type DNA replication protein 1,VNG_6150G,DNA replication [GO:0006260]; mitotic cell cycle [GO:0000278]; mitotic DNA replication checkpoint [GO:0033314]
Q9HN74,Dihydrolipoyl dehydrogenase (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase),VNG_2220G,cell redox homeostasis [GO:0045454]; glycolytic process [GO:0006096]
Q9HME0,Probable GTP-binding protein EngB,VNG_2587C,division septum assembly [GO:0000917]
Q9HRJ8,Protoheme IX farnesyltransferase (EC 2.5.1.141) (Heme B farnesyltransferase) (Heme O synthase),VNG_0666G,cellular respiration [GO:0045333]; heme O biosynthetic process [GO:0048034]
Q9HNE5,Lycopene beta-cyclase (EC 5.5.1.19),VNG_2137G,carotenoid biosynthetic process [GO:0016117]
Q9HMM6,Probable cysteine desulfurase (EC 2.8.1.7),VNG_2471G,cysteine metabolic process [GO:0006534]
Q9HSK7,Probable endonuclease 4 (EC 3.1.21.2) (Endodeoxyribonuclease IV) (Endonuclease IV),VNG_0183G,base-excision repair [GO:0006284]
Q9HN82,tRNA-splicing endonuclease (EC 4.6.1.16) (tRNA-intron endonuclease),VNG_2210G,tRNA-type intron splice site recognition and cleavage [GO:0000379]
Q9HR35,DNA ligase (EC 6.5.1.1) (Polydeoxyribonucleotide synthase [ATP]),VNG_0881G,cell cycle [GO:0007049]; cell division [GO:0051301]; DNA biosynthetic process [GO:0071897]; DNA ligation involved in DNA repair [GO:0051103]; DNA recombination [GO:0006310]; lagging strand elongation [GO:0006273]
Q9HRT8,Translation initiation factor 2 subunit alpha (aIF2-alpha) (eIF-2-alpha),VNG_0549G,
Q9HNQ2,Probable translation initiation factor IF-2,VNG_1997G,
Q9HPD9,Lycopene elongase (EC 2.5.1.-),VNG_1682C,
Q9HMV8,Malate dehydrogenase (EC 1.1.1.37),VNG_2367G,carbohydrate metabolic process [GO:0005975]; tricarboxylic acid cycle [GO:0006099]
Q9HQN3,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase (SEPHCHC synthase) (EC 2.2.1.9) (Menaquinone biosynthesis protein MenD),VNG_1081G,menaquinone biosynthetic process [GO:0009234]
Q9HNV4,Probable thymidylate kinase (EC 2.7.4.9) (dTMP kinase),VNG_1929G,dTDP biosynthetic process [GO:0006233]; dTTP biosynthetic process [GO:0006235]; dUDP biosynthetic process [GO:0006227]
Q9HP55,Homoserine kinase (HK) (HSK) (EC 2.7.1.39),VNG_1797G,threonine biosynthetic process [GO:0009088]
Q9HS70,D-aminoacyl-tRNA deacylase (EC 3.1.1.96) (D-tyrosyl-tRNA(Tyr) deacylase),VNG_0378C,D-amino acid catabolic process [GO:0019478]
Q9HR44,Glutamyl-tRNA(Gln) amidotransferase subunit C (Glu-ADT subunit C) (EC 6.3.5.-),VNG_0870G,regulation of translational fidelity [GO:0006450]; translation [GO:0006412]
Q9HP20,Glutamyl-tRNA(Gln) amidotransferase subunit D (Glu-ADT subunit D) (EC 6.3.5.-),VNG_1844G,cellular amino acid metabolic process [GO:0006520]; regulation of translational fidelity [GO:0006450]; translation [GO:0006412]
Q9HQE1,Glutamate dehydrogenase A2 (EC 1.4.1.-),VNG_1204G,cellular amino acid metabolic process [GO:0006520]
Q9HQK6,Diphthine synthase (EC 2.1.1.98) (Diphthamide biosynthesis methyltransferase),VNG_1118G,peptidyl-diphthamide biosynthetic process from peptidyl-histidine [GO:0017183]
Q9HN64,Translation initiation factor 1A 1 (aIF-1A 1),VNG_2234G,
Q9HPR6,Heme-based aerotactic transducer HemAT,VNG_1505G,aerotaxis [GO:0009454]; signal transduction [GO:0007165]
Q9HP40,Isopentenyl-diphosphate Delta-isomerase (IPP isomerase) (EC 5.3.3.2) (IPP:DMAPP isomerase) (Isopentenyl pyrophosphate isomerase),VNG_1818G,dimethylallyl diphosphate biosynthetic process [GO:0050992]; isopentenyl diphosphate biosynthetic process [GO:0009240]
Q9HP87,Translation initiation factor 1A 2 (aIF-1A 2),VNG_1756G,
Q9HNK9,Translation initiation factor 2 subunit gamma (aIF2-gamma) (eIF-2-gamma),VNG_2056G,formation of translation preinitiation complex [GO:0001731]
Q9HT00,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (GFAT) (Glucosamine-6-phosphate synthase) (Hexosephosphate aminotransferase) (L-glutamine--D-fructose-6-phosphate amidotransferase),VNG_0006G,carbohydrate metabolic process [GO:0005975]; fructose 6-phosphate metabolic process [GO:0006002]; glutamine metabolic process [GO:0006541]; protein N-linked glycosylation [GO:0006487]; UDP-N-acetylglucosamine metabolic process [GO:0006047]
Q9HMV6,ATP-dependent DNA helicase Hel308 (EC 3.6.4.12),VNG_2368G,DNA repair [GO:0006281]
P57699,Potassium-transporting ATPase ATP-binding subunit (EC 7.2.2.6) (ATP phosphohydrolase [potassium-transporting] B chain) (Potassium-binding and translocating subunit B) (Potassium-translocating ATPase B chain),VNG_6177G,
P57687,Potassium-transporting ATPase KdpC subunit (ATP phosphohydrolase [potassium-transporting] C chain) (Potassium-binding and translocating subunit C) (Potassium-translocating ATPase C chain),VNG_6178G,potassium ion transmembrane transport [GO:0071805]
Q9HHT6,Protein GvpH 2,VNG_6235G,
Q9HHT7,Protein GvpI 2,VNG_6233G,
P24574,Gas vesicle protein C 1,VNG_5032G; VNG_6031G,"gas vesicle organization [GO:0031412]; regulation of transcription, DNA-templated [GO:0006355]"
Q9HHS8,Protein GvpO 2,VNG_6246G,gas vesicle organization [GO:0031412]
P13044,Protein GvpE 1,VNG_5028G; VNG_6027G,
P24375,Protein GvpK 1,VNG_5021G; VNG_6021G,gas vesicle organization [GO:0031412]
P33963,Protein GvpK 2,VNG_6230G,gas vesicle organization [GO:0031412]
P24377,Gas vesicle protein GvpM 1,VNG_5019G; VNG_6019G,
Q48311,Protein GvpE 2,VNG_6239G,
P33959,Protein GvpF 2,VNG_6237G,gas vesicle organization [GO:0031412]
P24374,Gas vesicle protein GvpJ 1,VNG_5022G; VNG_6022G,
P08959,Gas vesicle structural protein 2 (GVP) (C-VAC),VNG_6241G,
P24371,Protein GvpG 1,VNG_5026G; VNG_6025G,
P33960,Protein GvpG 2,VNG_6236G,
Q9HMY5,Probable porphobilinogen deaminase (PBG) (EC 2.5.1.61) (Hydroxymethylbilane synthase) (HMBS) (Pre-uroporphyrinogen synthase),VNG_2330G,heme biosynthetic process [GO:0006783]; peptidyl-pyrromethane cofactor linkage [GO:0018160]; protoporphyrinogen IX biosynthetic process [GO:0006782]
Q9HSH4,GMP synthase [glutamine-hydrolyzing] subunit A (EC 6.3.5.2) (Glutamine amidotransferase),VNG_0228G,glutamine metabolic process [GO:0006541]; GMP biosynthetic process [GO:0006177]
Q9HHS9,Gas vesicle protein GvpN 2,VNG_6244G,gas vesicle organization [GO:0031412]
P13043,Protein GvpD 1,VNG_5029G; VNG_6028G,
Q9HI21,Protein GvpF 1,VNG_5027G; VNG_6026G,gas vesicle organization [GO:0031412]
P24372,Protein GvpH 1,VNG_5025G; VNG_6024G,
Q9HI27,Protein GvpL 1,VNG_5020G; VNG_6020G,gas vesicle organization [GO:0031412]
Q9HHU0,Protein GvpL 2,VNG_6229G,gas vesicle organization [GO:0031412]
Q9HI16,Gas vesicle protein GvpN 1,VNG_5033G; VNG_6032G,gas vesicle organization [GO:0031412]
Q9HHT2,Protein GvpD 2,VNG_6240G,
Q9HS81,Endonuclease V (EC 3.1.21.7) (Deoxyinosine 3'endonuclease) (Deoxyribonuclease V) (DNase V),VNG_0363G,DNA repair [GO:0006281]
Q9HSL7,Endonuclease NucS 1 (EC 3.1.-.-),VNG_0171C,
Q9HNR1,Endonuclease NucS 2 (EC 3.1.-.-),VNG_1986C,
Q9HQ73,S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (Methionine adenosyltransferase),VNG_1297C,one-carbon metabolic process [GO:0006730]; S-adenosylmethionine biosynthetic process [GO:0006556]
P57715,Homoserine O-acetyltransferase (HAT) (EC 2.3.1.31) (Homoserine transacetylase) (HTA),VNG_2420G,homoserine metabolic process [GO:0009092]; methionine biosynthetic process [GO:0009086]
Q9HSA3,Probable L-aspartate decarboxylase (ADC) (EC 4.1.1.11),VNG_0327G,carboxylic acid metabolic process [GO:0019752]; coenzyme A biosynthetic process [GO:0015937]
Q9HN78,Probable lipoyl synthase (EC 2.8.1.8) (Lip-syn) (LS) (Lipoate synthase) (Lipoic acid synthase) (Sulfur insertion protein LipA),VNG_2216G,lipoate biosynthetic process [GO:0009107]; protein lipoylation [GO:0009249]
Q9HSC3,Archaeal Lon protease (EC 3.4.21.-) (ATP-dependent protease La homolog),VNG_0303G,"protein catabolic process [GO:0030163]; regulation of transcription, DNA-templated [GO:0006355]"
Q9HPW5,Histidinol dehydrogenase (HDH) (EC 1.1.1.23),VNG_1444G,histidine biosynthetic process [GO:0000105]
Q9HN23,Phosphoribosyl-AMP cyclohydrolase (PRA-CH) (EC 3.5.4.19),VNG_2284G,histidine biosynthetic process [GO:0000105]
Q9HR52,Imidazole glycerol phosphate synthase subunit HisF (EC 4.3.2.10) (IGP synthase cyclase subunit) (IGP synthase subunit HisF) (ImGP synthase subunit HisF) (IGPS subunit HisF),VNG_0862G,histidine biosynthetic process [GO:0000105]
Q9HRT1,HGPRTase-like protein (EC 2.4.2.-),VNG_0559G,purine ribonucleoside salvage [GO:0006166]
Q9HNI6,Imidazole glycerol phosphate synthase subunit HisH (EC 4.3.2.10) (IGP synthase glutaminase subunit) (EC 3.5.1.2) (IGP synthase subunit HisH) (ImGP synthase subunit HisH) (IGPS subunit HisH),VNG_2087G,glutamine metabolic process [GO:0006541]; histidine biosynthetic process [GO:0000105]
Q9HN13,Imidazoleglycerol-phosphate dehydratase (IGPD) (EC 4.2.1.19),VNG_2295G,histidine biosynthetic process [GO:0000105]
Q9HN14,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase (EC 5.3.1.16) (Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase),VNG_2294G,'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; histidine biosynthetic process [GO:0000105]; tryptophan biosynthetic process [GO:0000162]
Q9HQS0,Histidinol-phosphate aminotransferase (EC 2.6.1.9) (Imidazole acetol-phosphate transaminase),VNG_1033G,histidine biosynthetic process [GO:0000105]
Q9HN53,ATP phosphoribosyltransferase (ATP-PRT) (ATP-PRTase) (EC 2.4.2.17),VNG_2247G,histidine biosynthetic process [GO:0000105]
Q9HMD4,Phosphoribosyl-ATP pyrophosphatase (PRA-PH) (EC 3.6.1.31),VNG_2596G,histidine biosynthetic process [GO:0000105]
Q9HQ21,Signal recognition particle 19 kDa protein (SRP19),VNG_1367G,SRP-dependent cotranslational protein targeting to membrane [GO:0006614]
Q9HPW0,HTH-type sugar sensing transcriptional regulator TrmB,VNG_1451C,
Q9HMN5,Signal recognition particle 54 kDa protein (SRP54),VNG_2459G,SRP-dependent cotranslational protein targeting to membrane [GO:0006614]
P57705,"tRNA (guanine(26)-N(2))-dimethyltransferase (EC 2.1.1.216) (tRNA 2,2-dimethylguanosine-26 methyltransferase) (tRNA(guanine-26,N(2)-N(2)) methyltransferase) (tRNA(m(2,2)G26)dimethyltransferase)",VNG_2088G,tRNA N2-guanine methylation [GO:0002940]
Q9HRC8,tRNA (cytidine(56)-2'-O)-methyltransferase (EC 2.1.1.206) (tRNA ribose 2'-O-methyltransferase aTrm56),VNG_0755C,tRNA nucleoside ribose methylation [GO:0002128]
Q9HRA5,30S ribosomal protein S3Ae (Ribosomal protein S1e),VNG_0787G,translation [GO:0006412]
P15009,30S ribosomal protein S3 (HHAS3) (HS4),VNG_1697G,DNA repair [GO:0006281]; positive regulation of DNA repair [GO:0045739]; translation [GO:0006412]
Q9HQJ6,30S ribosomal protein S4,VNG_1133G,positive regulation of translational fidelity [GO:0045903]; translation [GO:0006412]
Q9HHY2,Smc-like protein Sph2,VNG_6173C,
P09224,Superoxide dismutase [Mn] 2 (EC 1.15.1.1),VNG_1332G,
Q9HHM7,Smc-like protein Sph1,VNG_6320C,
Q9HR31,Type 2 DNA topoisomerase 6 subunit B (EC 5.99.1.3) (Type II DNA topoisomerase VI subunit B) (TopoVI-B),VNG_0885G,DNA topological change [GO:0006265]; DNA unwinding involved in DNA replication [GO:0006268]
Q9HNA2,Transcription initiation factor IIB 1 (TFIIB 1),VNG_2184G,"DNA-templated transcription, initiation [GO:0006352]; transcription preinitiation complex assembly [GO:0070897]"
Q9HHK5,Transcription initiation factor IIB 3 (TFIIB 3),VNG_6351G,"DNA-templated transcription, initiation [GO:0006352]; transcription preinitiation complex assembly [GO:0070897]"
Q9HNP5,Histidine--tRNA ligase (EC 6.1.1.21) (Histidyl-tRNA synthetase) (HisRS),VNG_2005G,histidyl-tRNA aminoacylation [GO:0006427]
Q9HN97,Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS),VNG_2190G,isoleucyl-tRNA aminoacylation [GO:0006428]
Q9HNN7,Lysine--tRNA ligase (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS),VNG_2017G,lysyl-tRNA aminoacylation [GO:0006430]
Q9HS52,Proline--tRNA ligase (EC 6.1.1.15) (Prolyl-tRNA synthetase) (ProRS),VNG_0403G,prolyl-tRNA aminoacylation [GO:0006433]
Q9HNJ8,Serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase),VNG_2072G,selenocysteine biosynthetic process [GO:0016260]; selenocysteinyl-tRNA(Sec) biosynthetic process [GO:0097056]; seryl-tRNA aminoacylation [GO:0006434]
Q9HPL8,UPF0284 protein VNG_1572C,VNG_1572C,cobalamin biosynthetic process [GO:0009236]
