"query","NOGs","COG_category","HMM_description"
"WP_010902611.1","COG0154@NOG","J","Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in organisms which lack glutaminyl-tRNA synthetase. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu-tRNA(Gln) (By similarity)"
"WP_010902612.1","COG1607@NOG","I","acyl-CoA thioester hydrolase"
"WP_010902613.1","COG1916@NOG","S","TraB family"
"WP_010902614.1","COG1994@NOG","M","Peptidase M50"
"WP_010902615.1","COG0150@NOG","F","Phosphoribosylformylglycinamidine cyclo-ligase"
"WP_010902616.1","COG3620@NOG","K","Transcriptional regulator, XRE family"
"WP_010902617.1","COG1885@NOG","S","UPF0212 protein"
"WP_010902619.1","COG1793@NOG","L","DNA ligase that seals nicks in double-stranded DNA during DNA replication, DNA recombination and DNA repair (By similarity)"
"WP_010902620.1","COG0647@NOG","G","HAD-superfamily hydrolase, subfamily IIA"
"WP_010902621.1","COG2220@NOG","S","Inherit from arCOG: UPF0173 metal-dependent hydrolase"
"WP_010902622.1","COG1697@NOG","L","DNA topoisomerase VI subunit A (EC 5.99.1.3)"
"WP_010902623.1","COG1389@NOG","L","DNA topoisomerase VI subunit B"
"WP_010902625.1","COG0188@NOG","L","DNA gyrase negatively supercoils closed circular double- stranded DNA in an ATP-dependent manner and also catalyzes the interconversion of other topological isomers of double-stranded DNA rings, including catenanes and knotted rings (By similarity)"
"WP_010902626.1","COG2524@NOG","K","Transcriptional regulator"
"WP_010902627.1","COG1252@NOG","C","FAD-dependent pyridine nucleotide-disulfide oxidoreductase"
"WP_010902629.1","COG2320@NOG","S","Pfam:UPF0157"
"WP_010902630.1","COG2820@NOG","F","Uridine phosphorylase"
"WP_010902631.1","COG0295@NOG","F","cytidine deaminase"
"WP_010902632.1","COG1079@NOG","S","transport system permease protein"
"WP_010902633.1","COG4603@NOG","S","Sugar ABC transporter permease"
"WP_010902634.1","COG3845@NOG","V","ABC transporter"
"WP_010902635.1","COG1744@NOG","S","ABC transporter"
"WP_010902636.1","COG1109@NOG","G","phosphomannomutase"
"WP_010902637.1","0YPY2@NOG",NA,NA
"WP_010902639.1","COG0591@NOG","E","SSS sodium solute transporter superfamily protein"
"WP_010902640.1","0YKD6@NOG",NA,NA
"WP_010902641.1","0ZF84@NOG","S","DNA binding"
"WP_010902642.1","0YA1I@NOG",NA,NA
"WP_010902643.1","0YFMQ@NOG","P","Inherit from NOG: Extracellular solute-binding protein, family 5"
"WP_010902644.1","COG3844@NOG","E","Catalyzes the cleavage of L-kynurenine (L-Kyn) and L-3- hydroxykynurenine (L-3OHKyn) into anthranilic acid (AA) and 3- hydroxyanthranilic acid (3-OHAA), respectively (By similarity)"
"WP_010902645.1","COG0642@NOG COG2202@NOG","T","His Kinase A (phospho-acceptor) domain"
"WP_010902647.1","COG0463@NOG","M","glycosyl transferase family 2"
"WP_010902648.1","11NA7@NOG",NA,NA
"WP_010902649.1","COG3842@NOG","E","ABC transporter"
"WP_010902650.1","COG1178@NOG","P","binding-protein-dependent transport systems inner membrane component"
"WP_010902651.1","COG1840@NOG","P","substrate-binding protein"
"WP_010902654.1","10ZRI@NOG",NA,NA
"WP_010902655.1","COG0515@NOG","T","Serine threonine protein kinase"
"WP_010902656.1","COG2141@NOG","C","Luciferase-like monooxygenase"
"WP_010902657.1","COG0183@NOG","I","C-acyltransferase (EC"
"WP_010902658.1","COG1545@NOG","S","DUF35 OB-fold domain"
"WP_010902659.1","COG1902@NOG","C","flavin oxidoreductase"
"WP_010902661.1","COG0778@NOG","C","Nitroreductase family"
"WP_010902663.1","COG1012@NOG","C","Aldehyde dehydrogenase"
"WP_010902664.1","COG0428@NOG","P","Zinc iron permease"
"WP_010902665.1","COG1042@NOG","C","CoA-binding domain protein"
"WP_010902666.1","COG0857@NOG","C","DRTGG domain protein"
"WP_010902667.1","COG0835@NOG","N","Chemotaxis protein CheW"
"WP_010902668.1","COG0640@NOG","K","Inherit from arCOG: regulator"
"WP_010902669.1","110GX@NOG",NA,NA
"WP_010902670.1","COG0455@NOG","D","Cell division ATPase MinD"
"WP_010902671.1","COG1955@NOG","N","flagellar assembly protein J"
"WP_010902672.1","COG0630@NOG","N","type II secretion system protein"
"WP_010902673.1","COG2874@NOG","T","Flagella-related protein H"
"WP_010902674.1","COG3354@NOG","N","K07330 archaeal flagellar protein FlaG"
"WP_010902675.1","COG3353@NOG","N","archaeal flagellar protein"
"WP_010902676.1","COG3351@NOG COG3352@NOG","N","flagella"
"WP_010902677.1","COG3351@NOG","N","fla cluster protein"
"WP_010902678.1","COG0840@NOG COG2202@NOG","N","transducer"
"WP_010902679.1","1102H@NOG",NA,NA
"WP_010902680.1","COG1681@NOG","N","Flagellin"
"WP_010902684.1","COG2469@NOG","K","Chemotaxis signal transduction system protein F from archaea"
"WP_010902685.1","COG2469@NOG","K","Chemotaxis signal transduction system protein F from archaea"
"WP_010902687.1","COG1871@NOG","N","Probably deamidates glutamine residues to glutamate on methyl-accepting chemotaxis receptors (MCPs), playing an important role in chemotaxis (By similarity)"
"WP_010902688.1","COG1776@NOG","N","CheC, inhibitor of MCP methylation"
"WP_010902689.1","COG1776@NOG","N","CheC, inhibitor of MCP methylation"
"WP_010902690.1","COG0643@NOG","N","CheA signal transduction histidine kinase"
"WP_010902691.1","COG2201@NOG","N","catalyzes the demethylation of specific methylglutamate residues introduced into the chemoreceptors (methyl-accepting chemotaxis proteins) by CheR (By similarity)"
"WP_010902692.1","COG0784@NOG","T","response regulator receiver protein"
"WP_010902693.1","COG0835@NOG","N","chemotaxis protein"
"WP_010902694.1","11162@NOG",NA,NA
"WP_010902695.1","125Q4@NOG",NA,NA
"WP_010902696.1","COG0436@NOG","E","Aminotransferase class I and II"
"WP_010902697.1","COG1873@NOG","S","PRC-barrel domain protein"
"WP_010902698.1","COG0618@NOG COG1226@NOG","P","domain protein"
"WP_010902699.1","111T3@NOG",NA,NA
"WP_010902700.1","111C3@NOG",NA,NA
"WP_010902701.1","110AR@NOG",NA,NA
"WP_010902703.1","COG0582@NOG","L","Integrase"
"WP_010902706.1","0ZBGB@NOG",NA,NA
"WP_010902707.1","110AQ@NOG",NA,NA
"WP_010902708.1","110ND@NOG",NA,NA
"WP_010902709.1","COG3413@NOG","K","bacterio-opsin activator-like protein"
"WP_010902710.1","COG0365@NOG","I","Acetate CoA ligase"
"WP_010902711.1","COG0667@NOG","C","Oxidoreductase"
"WP_010902712.1","0ZAMA@NOG",NA,NA
"WP_010902713.1","COG3205@NOG","S","Predicted membrane protein (DUF2061)"
"WP_010902715.1","0YEFP@NOG",NA,NA
"WP_010902716.1","0YXDF@NOG",NA,NA
"WP_010902717.1","110JN@NOG",NA,NA
"WP_010902718.1","1105A@NOG",NA,NA
"WP_010902719.1","COG1681@NOG","N","Flagellin"
"WP_010902721.1","COG2429@NOG","F","Catalyzes the formation of 2-amino-5-formylamino-6- ribofuranosylamino-4(3H)-pyrimidinone ribonucleotide monophosphate and inorganic phosphate from GTP. Also has an independent pyrophosphate phosphohydrolase activity (By similarity)"
"WP_010902722.1","COG0695@NOG","O","Glutaredoxin"
"WP_010902723.1","COG0840@NOG","N","methyl-accepting chemotaxis sensory transducer with Pas Pac sensor"
"WP_010902725.1","0YZ29@NOG",NA,NA
"WP_010902726.1","COG0438@NOG","M","Glycosyl transferase"
"WP_010902728.1","COG0558@NOG","I","CDP-alcohol phosphatidyltransferase"
"WP_010902729.1","COG2429@NOG","F","Catalyzes the formation of 2-amino-5-formylamino-6- ribofuranosylamino-4(3H)-pyrimidinone ribonucleotide monophosphate and inorganic phosphate from GTP. Also has an independent pyrophosphate phosphohydrolase activity (By similarity)"
"WP_010902730.1","COG1063@NOG","E","alcohol dehydrogenase"
"WP_010902731.1","COG0720@NOG","H","6-pyruvoyltetrahydropterin synthase"
"WP_010902732.1","11NDM@NOG",NA,NA
"WP_010902733.1","0YNWV@NOG",NA,NA
"WP_010902734.1","COG0149@NOG","G","triosephosphate isomerase (EC 5.3.1.1)"
"WP_010902735.1","COG1813@NOG","K","Transcriptional regulator, XRE family"
"WP_010902736.1","COG0558@NOG","I","CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase"
"WP_010902737.1","COG1936@NOG","F","nucleotide kinase"
"WP_010902739.1","0YUDQ@NOG",NA,NA
"WP_010902740.1","COG2303@NOG","E","Oxidoreductase"
"WP_010902741.1","0YQV1@NOG",NA,NA
"WP_010902743.1","COG2220@NOG","S","UPF0173 metal-dependent hydrolase"
"WP_010902746.1","0YNTT@NOG",NA,NA
"WP_010902748.1","0YVWX@NOG",NA,NA
"WP_010902749.1","COG1004@NOG","M","ec 1.1.1.22"
"WP_010902750.1","COG3269@NOG","S","Inherit from COG: deoxyribonuclease rho motif-related tram"
"WP_010902751.1","11X8B@NOG",NA,NA
"WP_010902752.1","COG0463@NOG","M","glycosyl transferase family 2"
"WP_010902753.1","COG2244@NOG","M","Polysaccharide biosynthesis protein"
"WP_010902754.1","COG1209@NOG","M","glucose-1-phosphate thymidylyltransferase"
"WP_010902755.1","0YM5U@NOG",NA,NA
"WP_010902756.1","COG3119@NOG","P","Sulfatase"
"WP_010902757.1","10ZVZ@NOG",NA,NA
"WP_010902758.1","COG0438@NOG","M","Glycosyl transferases group 1"
"WP_010902759.1","COG0500@NOG","Q","methyltransferase, fkbm family"
"WP_010902760.1","COG0463@NOG","M","Glycosyl transferase family 2"
"WP_010902761.1","0YM5U@NOG",NA,NA
"WP_010902762.1","0YGV9@NOG",NA,NA
"WP_010902763.1","COG0500@NOG","Q","FkbM family methyltransferase"
"WP_010902764.1","COG0463@NOG","M","Glycosyl transferase family 2"
"WP_010902766.1","COG1287@NOG","S","oligosaccharyl transferase"
"WP_010902767.1","COG2035@NOG","S","Domain of unknown function (DUF368)"
"WP_010902768.1","COG0578@NOG","C","Glycerol-3-phosphate dehydrogenase"
"WP_010902769.1","COG1522@NOG","K","transcription repressor CinR"
"WP_010902770.1","COG0318@NOG","H","O-succinylbenzoic acid--CoA ligase"
"WP_010902772.1","COG1575@NOG","H","14-dihydroxy-2-naphthoate octaprenyltransferase"
"WP_010902773.1","COG1292@NOG","P","BCCT family transporter"
"WP_010902774.1","COG0447@NOG","H","Naphthoate synthase"
"WP_010902775.1","COG1165@NOG","H","Catalyzes the thiamine diphosphate-dependent decarboxylation of 2-oxoglutarate and the subsequent addition of the resulting succinic semialdehyde-thiamine pyrophosphate anion to isochorismate to yield 2-succinyl-5-enolpyruvyl-6-hydroxy-3- cyclohexene-1-carboxylate (SEPHCHC) (By similarity)"
"WP_010902776.1","COG1169@NOG","H","Isochorismate synthase"
"WP_010902777.1","COG2041@NOG","S","Oxidoreductase molybdopterin binding"
"WP_010902778.1","0YSMU@NOG","K","Surface glycoprotein"
"WP_010902779.1","COG1745@NOG","S","Uncharacterised protein family UPF0058"
"WP_010902780.1","11QGQ@NOG","K","Inherit from COG: Histidine kinase"
"WP_010902782.1","COG0104@NOG","F","Plays an important role in the de novo pathway of purine nucleotide biosynthesis"
"WP_010902783.1","COG2835@NOG","S","UPF0434 protein"
"WP_010902784.1","0XTYR@NOG","H","Inherit from NOG: cobalamin (vitamin b12) biosynthesis cbix protein"
"WP_010902785.1","COG2138@NOG","H","cobalamin (vitamin B12) biosynthesis CbiX protein"
"WP_010902786.1","COG2834@NOG","M","Inherit from arCOG: outer membrane lipoprotein-sorting protein-like protein"
"WP_010902789.1","COG0215@NOG","J","Cysteinyl-tRNA synthetase"
"WP_010902790.1","COG3403@NOG","S","YqcI/YcgG family"
"WP_010902791.1","COG1335@NOG","Q","Isochorismatase"
"WP_010902792.1","COG1784@NOG","S","Tripartite tricarboxylate transporter TctA family"
"WP_010902793.1","COG2058@NOG","J","Forms part of the ribosomal stalk, playing a central role in the interaction of the ribosome with GTP-bound translation factors (By similarity)"
"WP_010902794.1","COG0244@NOG","J","Ribosomal protein P0 is the functional equivalent of E.coli protein L10 (By similarity)"
"WP_010902795.1","COG0081@NOG","J","Binds directly to 23S rRNA. Probably involved in E site tRNA release (By similarity)"
"WP_010902796.1","COG0080@NOG","J","This protein binds directly to 23S ribosomal RNA (By similarity)"
"WP_010902797.1","110TT@NOG",NA,NA
"WP_010902798.1","COG1163@NOG","S","GTP-binding protein"
"WP_010902799.1","110TJ@NOG",NA,NA
"WP_010902800.1","COG0346@NOG","E","glyoxalase bleomycin resistance protein dioxygenase"
"WP_010902801.1","COG1720@NOG","S","Uncharacterised protein family UPF0066"
"WP_010902803.1","COG2520@NOG","J","K15429 tRNA (guanine37-N1)-methyltransferase EC 2.1.1.228"
"WP_010902804.1","0Z9NQ@NOG",NA,NA
"WP_010902805.1","COG4276@NOG","S","Cyclase dehydrase"
"WP_010902806.1","COG0436@NOG","E","Aminotransferase"
"WP_010902807.1","COG1522@NOG","K","AsnC family transcriptional regulator"
"WP_010902808.1","COG1013@NOG","C","pyruvate ferredoxin flavodoxin oxidoreductase, beta subunit"
"WP_010902810.1","0Z0R2@NOG",NA,NA
"WP_010902811.1","COG0489@NOG","D","VirC1 protein"
"WP_010902812.1","COG0099@NOG","J","Located at the top of the head of the 30S subunit, it contacts several helices of the 16S rRNA. In the 70S ribosome it contacts the 23S rRNA (bridge B1a) and protein L5 of the 50S subunit (bridge B1b), connecting the 2 subunits"
"WP_010902813.1","COG0522@NOG","J","One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the body of the 30S subunit (By similarity)"
"WP_010902814.1","COG0100@NOG","J","Located on the platform of the 30S subunit (By similarity)"
"WP_010902815.1","COG0202@NOG","K","DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)"
"WP_010902816.1","COG1727@NOG","J","50S ribosomal protein L18e"
"WP_010902817.1","COG0102@NOG","J","This protein is one of the early assembly proteins of the 50S ribosomal subunit, although it is not seen to bind rRNA by itself. It is important during the early stages of 50S assembly (By similarity)"
"WP_010902818.1","COG0103@NOG","J","30S ribosomal protein S9"
"WP_010902819.1","COG1644@NOG","K","DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)"
"WP_010902820.1","COG1758@NOG","K","DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates (By similarity)"
"WP_010902821.1","COG0148@NOG","G","Catalyzes the reversible conversion of 2- phosphoglycerate into phosphoenolpyruvate. It is essential for the degradation of carbohydrates via glycolysis (By similarity)"
"WP_010902822.1","COG0052@NOG","J","30S ribosomal protein S2"
"WP_010902823.1","11MDF@NOG",NA,NA
"WP_010902824.1","COG1577@NOG","I","mevalonate kinase"
"WP_010902825.1","COG1608@NOG","I","aspartate glutamate uridylate kinase"
"WP_010902826.1","COG0595@NOG","J","beta-lactamase domain protein"
"WP_010902827.1","COG0142@NOG","H","diphosphate synthase"
"WP_010902828.1","10ZRG@NOG",NA,NA
"WP_010902829.1","COG0008@NOG","J","Catalyzes the attachment of glutamate to tRNA(Glu) in a two-step reaction glutamate is first activated by ATP to form Glu-AMP and then transferred to the acceptor end of tRNA(Glu) (By similarity)"
"WP_010902830.1","0ZGUT@NOG","S","Protein of unknown function (DUF456)"
"WP_010902832.1","COG1358@NOG","J","Multifunctional RNA-binding protein that recognizes the K-turn motif in ribosomal RNA, box H ACA, box C D and box C' D' sRNAs (By similarity)"
"WP_010902833.1","COG2053@NOG","J","30S ribosomal protein S28e"
"WP_010902834.1","COG2075@NOG","J","50S ribosomal protein L24e"
"WP_010902835.1","COG0105@NOG","F","Major role in the synthesis of nucleoside triphosphates other than ATP. The ATP gamma phosphate is transferred to the NDP beta phosphate via a ping-pong mechanism, using a phosphorylated active-site intermediate"
"WP_010902836.1","COG0620@NOG","E","Cobalamin-independent synthase MetE domain protein"
"WP_010902837.1","COG2890@NOG","Q","methylase"
"WP_010902838.1","COG0668@NOG","M","mechanosensitive ion channel"
"WP_010902839.1","COG0030@NOG","J","Specifically dimethylates two adjacent adenosines in the loop of a conserved hairpin near the 3'-end of 16S rRNA in the 30S particle. May play a critical role in biogenesis of 30S subunits (By similarity)"
"WP_010902840.1","COG1491@NOG","J","Protein of unknown function (DUF655)"
"WP_010902841.1","COG1460@NOG","K","RNA polymerase"
"WP_010902842.1","COG2139@NOG","J","50S ribosomal protein L21e"
"WP_010902843.1","COG0626@NOG","E","cystathionine"
"WP_010902845.1","COG2888@NOG","J","zn-ribbon RNA-binding protein"
"WP_010902846.1","COG0642@NOG COG2202@NOG COG2203@NOG","T","Histidine kinase"
"WP_010902847.1","COG1498@NOG","J","Pre-mRNA processing ribonucleoprotein, binding domain protein"
"WP_010902848.1","COG1889@NOG","J","Involved in pre-rRNA and tRNA processing. Utilizes the methyl donor S-adenosyl-L-methionine to catalyze the site-specific 2'-hydroxyl methylation of ribose moieties in rRNA and tRNA. Site specificity is provided by a guide RNA that base pairs with the substrate. Methylation occurs at a characteristic distance from the sequence involved in base pairing with the guide RNA (By similarity)"
"WP_010902849.1","111BB@NOG",NA,NA
"WP_010902851.1","COG0225@NOG","O","Has an important function as a repair enzyme for proteins that have been inactivated by oxidation. Catalyzes the reversible oxidation-reduction of methionine sulfoxide in proteins to methionine (By similarity)"
"WP_010902852.1","COG1681@NOG","N","K07325 archaeal flagellin FlaB"
"WP_010902853.1","COG3467@NOG","S","Pyridoxamine 5'-phosphate oxidase"
"WP_010902854.1","COG0535@NOG","S","Radical SAM domain protein"
"WP_010902855.1","0Z32U@NOG","Q","Phenylacetic acid degradation B"
"WP_010902856.1","COG0535@NOG","S","Radical SAM domain protein"
"WP_010902857.1","COG2132@NOG","Q","Multicopper oxidase type"
"WP_010902858.1","COG3794@NOG","C","Halocyanin"
"WP_010902860.1","COG0605@NOG","P","radicals which are normally produced within the cells and which are toxic to biological systems"
"WP_010902861.1","COG1960@NOG","I","Acyl-coA dehydrogenase"
"WP_010902862.1","COG0642@NOG","T","Histidine kinase"
"WP_010902863.1","110SA@NOG",NA,NA
"WP_010902865.1","COG1225@NOG","O","alkyl hydroperoxide reductase Thiol specific antioxidant Mal allergen"
"WP_010902866.1","COG0644@NOG","C","oxidoreductase"
"WP_010902868.1","COG0235@NOG","G","Class II aldolase adducin family protein"
"WP_010902869.1","COG1011@NOG","S","HAD-superfamily hydrolase, subfamily IA, variant 1"
"WP_010902870.1","COG0334@NOG","E","glutamate dehydrogenase"
"WP_010902871.1","COG0402@NOG","F","N-ethylammeline chlorohydrolase"
"WP_010902872.1","COG3413@NOG","K","HTH DNA binding domain"
"WP_010902873.1","COG2987@NOG","E","urocanate hydratase (EC 4.2.1.49)"
"WP_010902874.1","COG0010@NOG","E","Arginase family"
"WP_010902875.1","COG1228@NOG","E","Imidazolone-5-propionate hydrolase"
"WP_010902878.1","10ZXY@NOG",NA,NA
"WP_010902879.1","COG0454@NOG","K","GCN5-related N-acetyltransferase"
"WP_010902880.1","COG0126@NOG","G","phosphoglycerate kinase (EC 2.7.2.3)"
"WP_010902881.1","COG0517@NOG","I","protein with cbs domains"
"WP_010902883.1","0YPJ3@NOG",NA,NA
"WP_010902884.1","COG1474@NOG","L","Involved in regulation of DNA replication (By similarity)"
"WP_010902885.1","0YFQM@NOG",NA,NA
"WP_010902887.1","COG1573@NOG","L","uracil-DNA glycosylase superfamily"
"WP_010902889.1","COG0082@NOG","E","chorismate synthase (EC 4.2.3.5)"
"WP_010902891.1","COG0006@NOG","E","peptidase M24"
"WP_010902892.1","COG0642@NOG","T","HATPase_c"
"WP_010902893.1","COG0287@NOG","E","prephenate dehydrogenase"
"WP_010902894.1","0Y12Y@NOG","Q","Methyltransferase type 12"
"WP_010902895.1","COG1522@NOG","K","transcriptional regulator, AsnC family"
"WP_010902898.1","COG0531@NOG COG0589@NOG","E","amino acid"
"WP_010902899.1","COG0496@NOG","F","Nucleotidase that shows phosphatase activity on nucleoside 5'-monophosphates (By similarity)"
"WP_010902901.1","COG1685@NOG","E","Shikimate kinase (EC 2.7.1.71)"
"WP_010902902.1","0YJ9D@NOG",NA,NA
"WP_010902903.1","COG1131@NOG","V","ABC transporter"
"WP_010902904.1","0Z9N9@NOG","V","Inherit from arCOG: ABC-2 type transporter"
"WP_010902905.1","110WX@NOG",NA,NA
"WP_010902906.1","COG1201@NOG","L","DEAD H associated domain protein"
"WP_010902907.1","COG1407@NOG","S","Metallophosphoesterase"
"WP_010902908.1","COG3390@NOG","S","Inherit from arCOG: Nucleic acid binding OB-fold tRNA helicase-type"
"WP_010902910.1","COG1985@NOG","H","5-amino-6-(5-phosphoribosylamino)uracil reductase"
"WP_010902911.1","0YYCZ@NOG",NA,NA
"WP_010902912.1","COG0492@NOG","O","Thioredoxin reductase"
"WP_010902913.1","COG1849@NOG","S","Protein of unknown function (DUF357)"
"WP_010902914.1","0Z4MG@NOG",NA,NA
"WP_010902915.1","COG1601@NOG","J","eIF-2 functions in the early steps of protein synthesis by forming a ternary complex with GTP and initiator tRNA (By similarity)"
"WP_010902916.1","COG1745@NOG","S","Uncharacterised protein family UPF0058"
"WP_010902917.1","COG1885@NOG","S","UPF0212 protein"
"WP_010902918.1","COG0122@NOG","L","8-oxoguanine DNA glycosylase"
"WP_010902919.1","110CJ@NOG",NA,NA
"WP_010902920.1","11120@NOG",NA,NA
"WP_010902921.1","129N7@NOG","S","Inherit from NOG: Phosphodiesterase, mj0936 family"
"WP_010902923.1","COG0315@NOG","H","Together with MoaA, is involved in the conversion of 5'- GTP to cyclic pyranopterin monophosphate (cPMP or molybdopterin precursor Z) (By similarity)"
"WP_010902924.1","COG2262@NOG","S","GTPase that associates with the 50S ribosomal subunit and may have a role during protein synthesis or ribosome biogenesis (By similarity)"
"WP_010902925.1","COG1500@NOG","J","RNA-associated protein"
"WP_010902926.1","COG1369@NOG","J","Part of ribonuclease P, a protein complex that generates mature tRNA molecules by cleaving their 5'-ends (By similarity)"
"WP_010902927.1","1254C@NOG","Q","Methyltransferase type 11"
"WP_010902929.1","COG0569@NOG","P","TRK potassium uptake system protein"
"WP_010902930.1","110FX@NOG",NA,NA
"WP_010902931.1","COG0168@NOG","P","TRK potassium uptake system protein"
"WP_010902932.1","COG0569@NOG COG1522@NOG","K","AsnC family transcriptional regulator"
"WP_010902933.1","COG1325@NOG","J","Pfam:DUF54"
"WP_010902934.1","0ZB3G@NOG",NA,NA
"WP_010902935.1","11K0E@NOG",NA,NA
"WP_010902937.1","COG1047@NOG","O","peptidyl-prolyl cis-trans isomerase"
"WP_010902938.1","11057@NOG",NA,NA
"WP_010902939.1","COG1437@NOG","F","adenylyl cyclase CyaB"
"WP_010902940.1","COG1812@NOG","E","Catalyzes the formation of S-adenosylmethionine from methionine and ATP (By similarity)"
"WP_010902941.1","COG0301@NOG","H","Catalyzes the ATP-dependent transfer of a sulfur to tRNA to produce 4-thiouridine in position 8 of tRNAs, which functions as a near-UV photosensor. Also catalyzes the transfer of sulfur to the sulfur carrier protein ThiS, forming ThiS-thiocarboxylate. This is a step in the synthesis of thiazole, in the thiamine biosynthesis pathway. The sulfur is donated as persulfide by IscS (By similarity)"
"WP_010902943.1","COG0031@NOG","E","Cysteine synthase"
"WP_010902944.1","COG0526@NOG","O","Inherit from arCOG: Thioredoxin"
"WP_010902946.1","COG0151@NOG","F","Phosphoribosylglycinamide synthetase"
"WP_010902947.1","COG1053@NOG","C","Succinate dehydrogenase or fumarate reductase, flavoprotein subunit"
"WP_010902948.1","COG0479@NOG","C","succinate dehydrogenase and fumarate reductase iron-sulfur protein"
"WP_010902949.1","0Y5DW@NOG","C","Succinate dehydrogenase, subunit D"
"WP_010902951.1","COG0122@NOG","L","HhH-GPD family"
"WP_010902952.1","COG1024@NOG COG1250@NOG","I","3-hydroxyacyl-CoA dehydrogenase"
"WP_010902953.1","1241W@NOG",NA,NA
"WP_010902956.1","10ZSM@NOG",NA,NA
"WP_010902958.1","11Z4M@NOG","K","Inherit from arCOG: Thrombospondin type 3 repeat-containing protein"
"WP_010902959.1","COG3291@NOG","G","PbH1"
"WP_010902960.1","COG2246@NOG","S","GtrA family"
"WP_010902963.1","COG0491@NOG","S","beta-lactamase domain protein"
"WP_010902964.1","0YWSE@NOG",NA,NA
"WP_010902965.1","0YMDJ@NOG",NA,NA
"WP_010902966.1","COG0605@NOG","P","radicals which are normally produced within the cells and which are toxic to biological systems"
"WP_010902968.1","COG2050@NOG","Q","Thioesterase superfamily protein"
"WP_010902969.1","COG3119@NOG","P","sulfatase"
"WP_010902970.1","COG0318@NOG","I","AMP-dependent synthetase and ligase"
"WP_010902971.1","COG0491@NOG","S","beta-lactamase domain protein"
"WP_010902972.1","COG1028@NOG","I","Short-chain dehydrogenase reductase SDR"
"WP_010902973.1","COG2141@NOG","C","Reductase"
"WP_010902974.1","COG1634@NOG","S","Catalyzes the transfer of pyrophosphate from ATP to 6- hydroxymethyl-7,8-dihydropterin (6-HMD), leading to 6- hydroxymethyl-7,8-dihydropterin diphosphate (6-HMDP) (By similarity)"
"WP_010902976.1","0YGF7@NOG",NA,NA
"WP_010902978.1","COG2030@NOG","I","MaoC domain protein dehydratase"
"WP_010902979.1","COG0697@NOG","G","EamA-like transporter family"
"WP_010902980.1","COG1522@NOG","K","regulator"
"WP_010902981.1","COG2511@NOG","J","Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in organisms which lack glutaminyl-tRNA synthetase. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu-tRNA(Gln). The gatDE system is specific for glutamate and does not act on aspartate (By similarity)"
"WP_010902982.1","COG3428@NOG","S","membrane-flanked domain protein"
"WP_010902983.1","COG3402@NOG","S","membrane-flanked domain protein"
"WP_010902984.1","COG0114@NOG","C","fumarate hydratase, class II"
"WP_010902985.1","COG0271@NOG","T","BolA family"
"WP_010902986.1","COG0258@NOG","L","Structure-specific nuclease with 5'-flap endonuclease and 5'-3' exonuclease activities involved in DNA replication and repair. During DNA replication, cleaves the 5'-overhanging flap structure that is generated by displacement synthesis when DNA polymerase encounters the 5'-end of a downstream Okazaki fragment. Binds the unpaired 3'-DNA end and kinks the DNA to facilitate 5' cleavage specificity. Cleaves one nucleotide into the double- stranded DNA from the junction in flap DNA, leaving a nick for ligation. Also involved in the base excision repair (BER) pathway. Acts as a genome stabilization factor that prevents flaps from equilibrating into"
"WP_010902988.1","0YUBI@NOG","S","Protein of unknown function (DUF3054)"
"WP_010902989.1","COG2423@NOG","E","Ornithine cyclodeaminase (EC 4.3.1.12)"
"WP_010902990.1","COG3389@NOG","S","PSN"
"WP_010902991.1","COG3277@NOG","J","H ACA RNA-protein complex component Gar1"
"WP_010902992.1","COG1400@NOG","U","Involved in targeting and insertion of nascent membrane proteins into the cytoplasmic membrane. Binds directly to 7S RNA and mediates binding of the 54 kDa subunit of the SRP (By similarity)"
"WP_010902993.1","COG0614@NOG","P","periplasmic binding protein"
"WP_010902994.1","COG0609@NOG","P","Corrinoid ABC transporter permease"
"WP_010902995.1","COG1120@NOG","P","ABC transporter"
"WP_010902996.1","10ZXU@NOG","E","Inherit from arCOG: domain protein"
"WP_010902997.1","COG0642@NOG COG2202@NOG","T","His Kinase A (phospho-acceptor) domain"
"WP_010902998.1","COG0642@NOG","T","Histidine kinase"
"WP_010903000.1","COG1522@NOG","K","regulator"
"WP_010903001.1","COG0483@NOG","G","inositol-1(Or 4)-monophosphatase fructose-1,6-bisphosphatase"
"WP_010903002.1","111KK@NOG",NA,NA
"WP_010903005.1","COG1199@NOG","K","Helicase"
"WP_010903006.1","10ZYA@NOG",NA,NA
"WP_010903007.1","COG0110@NOG","S","Galactoside O-acetyltransferase 3"
"WP_010903009.1","COG0668@NOG","M","mechanosensitive ion channel"
