"query","NOGs","COG_category","HMM_description"
"NP_009936.1","COG1584@NOG","S","GPR FUN34 family protein"
"NP_009937.2","COG0842@NOG COG1131@NOG","Q","ABC-2 type transporter"
"NP_009938.2","COG0126@NOG","G","Phosphoglycerate kinase"
"NP_009940.2","COG1796@NOG","L","DNA Polymerase"
"NP_009941.2","11Z2Y@NOG",NA,NA
"NP_009942.2","1268U@NOG","S","Uncharacterised conserved protein (DUF2373)"
"NP_009943.2","0XT2T@NOG","T","Frag1/DRAM/Sfk1 family"
"NP_009944.2","COG5641@NOG","K","Transcription factor"
"NP_009946.1","COG0524@NOG","G","pfkB family carbohydrate kinase"
"NP_009947.1","COG0819@NOG","K","TENA/THI-4/PQQC family"
"NP_009948.1","COG1958@NOG","O","LSM domain"
"NP_009949.1","118K2@NOG",NA,NA
"NP_009950.1","COG5524@NOG","P","Bac_rhodopsin"
"NP_009952.2","0XSE0@NOG","G","Sugar (and other) transporter"
"NP_009953.1","COG0017@NOG","J","tRNA synthetases class II (D, K and N)"
"NP_009955.2","COG1524@NOG","S","Type I phosphodiesterase / nucleotide pyrophosphatase"
"NP_009956.2","COG1100@NOG","U","ADP-ribosylation factor family"
"NP_009957.1","0XSQ8@NOG","G","Major Facilitator Superfamily"
"NP_009958.2","COG0629@NOG","L","Single-stranded DNA-binding protein"
"NP_009959.2","0ZUVK@NOG","S","Pfam:SAFF"
"NP_009960.2","COG0100@NOG","J","ribosomal protein S14"
"NP_009961.2","0XNQC@NOG","U","Beige/BEACH domain"
"NP_009962.2","0ZZUU@NOG","B","Myb-like DNA-binding domain"
"NP_009963.1","0XRWT@NOG","I","fatty acid elongase"
"NP_009964.2","COG2123@NOG","J","3' exoribonuclease family, domain 1"
"NP_009965.2","COG0524@NOG","G","Ribokinase"
"NP_009966.2","COG0471@NOG COG5408@NOG","P","Citrate transporter"
"NP_009967.2","0XR96@NOG","T","RasGEFN"
"NP_009971.1","0XS52@NOG","K","transcription initiation factor TFIID subunit 2"
"NP_009972.1","11DTT@NOG",NA,NA
"NP_009973.1","COG5237@NOG","S","Per1-like"
"NP_009974.1","COG1404@NOG","O","Subtilase family"
"NP_009975.1","COG0335@NOG","J","mitochondrial 54S ribosomal protein IMG1"
"NP_009976.1","COG0500@NOG","Q","Methyltransferase involved in Williams-Beuren syndrome"
"NP_009978.1","COG5056@NOG","I","O-acyltransferase"
"NP_009980.1","COG0666@NOG","S","Ankyrin repeat"
"NP_009981.1","COG5531@NOG","B","Inherit from KOG: SWI SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member"
"NP_009982.1","COG0498@NOG","E","Threonine synthase"
"NP_009983.1","0YBUH@NOG","E","Essential protein which may be involved in threonine biosynthesis"
"NP_009984.1","0XP2P@NOG","A","Periodic tryptophan protein 2"
"NP_009985.1","COG1739@NOG","S","Protein that inhibits activation of Gcn2p, an eIF2 alpha subunit protein kinase"
"NP_009986.1","COG0457@NOG","S","Inherit from KOG: tetratricopeptide repeat"
"NP_009987.2","0XPC6@NOG","S","Domain of unknown function (DUF2427)"
"NP_009990.1","COG5132@NOG","A","bud site selection protein"
"NP_009991.2","COG5025@NOG","K","Forkhead transcription factor"
"NP_009992.1","COG5432@NOG","L","E3 RING-finger protein, member of the UBC2 RAD6 epistasis group. Associates to the E2 ubiquitin conjugating enzyme UBC2 RAD6 to form the UBC2-RAD18 ubiquitin ligase complex involved in postreplicative repair (PRR) of damaged DNA"
"NP_009993.1","0XRQK@NOG","U","Guanine nucleotide-exchange factor (GEF) required for the formation or budding of transport vesicles from the ER. This function involves the cytoplasmic domain of the protein, which is thought to interact with the small GTP-binding protein SAR1. Required for autophagy"
"NP_009994.2","COG5153@NOG","I","Lipase which is essential for lysis of subvacuolar cytoplasm to vacuole targeted bodies and intravacuolar autophagic bodies. Involved in the lysis of intravacuolar multivesicular body (MVB) vesicles. The intravacuolar membrane disintegration by ATG15 is critical to life span extension (By similarity)"
"NP_009995.1","0Z0G4@NOG","O","Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD"
"NP_009996.2","11N34@NOG","J","mitochondrial 54S ribosomal protein IMG2"
"NP_009997.2","0XP3K@NOG","S","ribosome assembly protein 4"
"NP_009998.2","0XQZE@NOG","T","kinase kinase kinase"
"NP_009999.2","COG0363@NOG","G","tRNA export from nucleus"
"NP_010000.1","0XQSD@NOG","E","CTNS"
"NP_010001.1","11ABD@NOG","S","Pfam:PI31_Prot_Reg"
"NP_010002.3","0YS37@NOG","S","DNA topoisomerase 2-associated protein PAT1"
"NP_010003.2","COG0631@NOG","T","Protein phosphatase 2C"
"NP_010004.1","0XPQK@NOG","K","Component of the SRB8-11 complex. The SRB8-11 complex is a regulatory module of the Mediator complex which is itself involved in regulation of basal and activated RNA polymerase II- dependent transcription. The SRB8-11 complex may be involved in the transcriptional repression of a subset of genes regulated by Mediator. It may inhibit the association of the Mediator complex with RNA polymerase II to form the holoenzyme complex"
"NP_010005.1","117DT@NOG",NA,NA
"NP_010006.1","COG0526@NOG","O","Thioredoxin"
"NP_010007.1","0XP3K@NOG","K","glucose repression regulatory protein TUP1"
"NP_010009.1","0Y8W2@NOG","S","Chromosome segregation protein Csm1/Pcs1"
"NP_010011.1","1081U@NOG","D","LYAR-type C2HC zinc finger"
"NP_010012.1","0XRVX@NOG","Z","ADF"
"NP_010013.2","113PP@NOG",NA,NA
"NP_010014.1","11J9K@NOG","S","Eukaryotic protein of unknown function (DUF866)"
"NP_010015.3","0XPWX@NOG","T","microtubule associated serine threonine kinase"
"NP_010016.2","COG0249@NOG","L","Component of the post-replicative DNA mismatch repair system (MMR). Heterodimerizes with MSH2 to form MutS beta, which binds to DNA mismatches thereby initiating DNA repair. MSH3 provides substrate-binding and substrate-specificity to the complex. When bound, the MutS beta heterodimer bends the DNA helix and shields approximately 20 base pairs. Acts mainly to repair insertion-deletion loops (IDLs) from 2 to 13 nucleotides in size, but can also repair base-base and single insertion-deletion mismatches that occur during replication. After mismatch binding, forms a ternary complex with the MutL alpha heterodimer, which is thought to be responsible for directing the downstream MMR events, including strand discrimination, excision, and resynthesis. ATP binding and hydrolysis play a pivotal role in mismatch repair functions (By similarity)"
"NP_010017.2","COG5103@NOG","K","CCR4-Not complex component, Not1"
"NP_010018.1","COG5035@NOG","D, K, T","Cell division control protein 50"
"NP_010019.1","COG2365@NOG","V","Tyrosine phosphatase family"
"NP_010020.1","0XPMQ@NOG","K","Mating type proteins are sequence specific DNA-binding proteins that act as master switches in yeast differentiation by controlling gene expression in a cell type-specific fashion"
"NP_010021.1","0Y2GC@NOG","K","HMR mating-type cassette a1 protein"
"NP_010022.1","0ZVN7@NOG","P","Sugar (and other) transporter"
"NP_010023.1","0Y3W5@NOG","U","Functions as a sorting receptor in the Golgi compartment required for the intracellular sorting and delivery of soluble vacuolar proteins, like carboxypeptidase Y (CPY) and proteinase A. Executes multiple rounds of sorting by cycling between the late Golgi and a prevacuolar endosome-like compartment"
"NP_010024.1","0Y3W5@NOG","U","Functions as a sorting receptor in the Golgi compartment required for the intracellular sorting and delivery of soluble vacuolar proteins, like carboxypeptidase Y (CPY) and proteinase A. Executes multiple rounds of sorting by cycling between the late Golgi and a prevacuolar endosome-like compartment"
"NP_010025.1","0Y3W5@NOG","U","Functions as a sorting receptor in the Golgi compartment required for the intracellular sorting and delivery of soluble vacuolar proteins, like carboxypeptidase Y (CPY) and proteinase A. Executes multiple rounds of sorting by cycling between the late Golgi and a prevacuolar endosome-like compartment"
"NP_010026.1","COG0604@NOG","C","zinc ion binding"
"NP_010029.1","0YXX3@NOG","O","Member of the seripauperin multigene family encoded mainly in subtelomeric regions"
"NP_010030.1","COG1064@NOG","Q","NADPH-dependent medium chain alcohol dehydrogenase with broad substrate specificity"
"NP_010031.1","0YDWX@NOG","K","Fungal Zn(2)-Cys(6) binuclear cluster domain"
"NP_010032.1","COG0667@NOG","C","Potassium voltage-gated channel, shaker-related subfamily, beta member"
"NP_010033.1","11BGS@NOG","U","conserved protein"
"NP_010034.1","0XNQK@NOG","P","High-affinity uptake of maltose and maltotriose. Also transports alpha-methylglucoside, glucose and turanose but not melezitose or trehalose"
"NP_010035.1","COG1063@NOG","Q","L-iditol 2-dehydrogenase activity"
"NP_010036.1","0XNQK@NOG","A","transporter"
"NP_010037.1","COG0715@NOG","H","Proposed biosynthetic enzyme involved in pyrimidine biosynthesis pathway above the hydroxymethyl-pyrimidine precursor leading to the thiamine moiety"
"NP_010038.1","COG0667@NOG","C","aryl-alcohol dehydrogenase (NAD+) activity"
"NP_010041.2","0YVI5@NOG","T","LIM domain"
"NP_010042.2","0ZQIY@NOG","Z","Septation initiation"
"NP_010043.1","COG0402@NOG","F","Amidohydrolase family"
"NP_010044.2","0XSXM@NOG","I","Altered inheritance of mitochondria protein 6"
"NP_010045.1","COG0647@NOG","P","haloacid dehalogenase-like hydrolase"
"NP_010046.1","COG2198@NOG","T","Phosphorelay intermediate protein"
"NP_010047.1","COG5210@NOG","U","Rab GTPase activator activity"
"NP_010048.1","0XY4J@NOG",NA,NA
"NP_010050.1","0XR8V@NOG","U","establishment of protein localization"
"NP_010051.1","COG5599@NOG","T","PTPc"
"NP_010052.1","COG0443@NOG","J","May aid in the passage of the nascent polypeptide chain through the ribosome channel into the cytosol. Such an interaction could be crucial for continuous transport of the polypeptide"
"NP_010054.1","COG1372@NOG","L","Hom_end-associated Hint"
"NP_010055.1","COG5347@NOG","U","ADP-ribosylation factor GTPase-activating protein"
"NP_010056.1","COG5019@NOG","D","Septin"
"NP_010057.1","0XTAE@NOG","A","regulation of cell size"
"NP_010059.1","11RMX@NOG","S","Integral membrane protein localized to mitochondria (untagged protein)"
"NP_010061.1","11AZX@NOG","S","Cell division control protein 13"
"NP_010062.1","COG1490@NOG","J","Hydrolyzes D-tyrosyl-tRNA(Tyr) into D-tyrosine and free tRNA(Tyr). Could be a defense mechanism against a harmful effect of D-tyrosine (By similarity)"
"NP_010063.1","11C47@NOG","S","Membrane-associating domain"
"NP_010064.1","COG5596@NOG","U","Essential core component of the TIM22 complex, a complex that mediates the import and insertion of multi-pass transmembrane proteins into the mitochondrial inner membrane. In the TIM22 complex, it constitutes the voltage-activated and signal-gated channel. Forms a twin-pore translocase that uses the membrane potential as external driving force in 2 voltage-dependent steps (By similarity)"
"NP_010065.2","COG1310@NOG","O","Catalytic Component of the COP9 signalosome (CSN) complex that acts as an regulator of the ubiquitin (Ubl) conjugation pathway by mediating the deneddylation of the cullin subunit of SCF-type E3 ubiquitin-protein ligase complexes (By similarity)"
"NP_010066.1","COG2902@NOG","E","Bacterial NAD-glutamate dehydrogenase"
"NP_010067.1","0XQ0D@NOG","T","protein serine/threonine kinase activity"
"NP_010068.1","COG0724@NOG","A","nucleolar protein 6"
"NP_010069.1","11MN1@NOG","U","ER membrane protein SH3"
"NP_010070.1","1159B@NOG",NA,NA
"NP_010071.1","COG0531@NOG","P","Amino acid permease"
"NP_010072.1","COG0724@NOG","A","Involved in the first step of pre-mRNA splicing. Required for cell growth and cell cycle control. Plays a role in the levels of the U1, U4, U5 and U6 snRNAs and the maintenance of the U4 U6 snRNA complex. May provide the link between the nineteen complex NTC spliceosome protein complex and the spliceosome through the U6 snRNA. Associates predominantly with U6 snRNAs in assembled active spliceosomes. Binds directly to the internal stem-loop (ISL) domain of the U6 snRNA and to the pre- mRNA intron near the 5' splice site during the activation and catalytic phases of the spliceosome cycle"
"NP_010073.2","COG1358@NOG","A","Ribosomal protein L7Ae/L30e/S12e/Gadd45 family"
"NP_010074.1","0XT57@NOG","A","GLE1-like protein"
"NP_010075.1","COG0530@NOG","P","Sodium/calcium exchanger protein"
"NP_010076.1","COG0181@NOG","H","Tetrapolymerization of the monopyrrole PBG into the hydroxymethylbilane pre-uroporphyrinogen in several discrete steps"
"NP_010077.1","0XPKH@NOG","U","reticulon 3"
"NP_010078.1","COG0790@NOG","M, O, T","SEL1"
"NP_010079.1","COG0244@NOG","J","mitochondrial 54S ribosomal protein YmL11"
"NP_010080.1","COG0220@NOG","J","Catalyzes the formation of N(7)-methylguanine at position 46 (m7G46) in tRNA (By similarity)"
"NP_010081.2","COG0350@NOG","L","Involved in the cellular defense against the biological effects of O6-methylguanine (O6-MeG) in DNA. Repairs alkylated guanine in DNA by stoichiometrically transferring the alkyl group at the O-6 position to a cysteine residue in the enzyme. This is a suicide reaction the enzyme is irreversibly inactivated. Also repairs O-4-methylthymine"
"NP_010082.1","0XNQK@NOG","G","Sugar (and other) transporter"
"NP_010083.1","0Y240@NOG","C","Mitochondrial carrier protein"
"NP_010086.2","0XQ1D@NOG","U","Component of the coat protein complex II (COPII) which promotes the formation of transport vesicles from the endoplasmic reticulum (ER). The coat has two main functions, the physical deformation of the endoplasmic reticulum membrane into vesicles and the selection of cargo molecules"
"NP_010087.1","0XNQK@NOG","G","Sugar (and other) transporter"
"NP_010088.1","COG0020@NOG","I","Inherit from ascNOG: di-trans,poly-cis-decaprenylcistransferase activity"
"NP_010089.1","COG1100@NOG","U","GTP-binding protein involved in protein trafficking"
"NP_010090.1","COG0255@NOG","J","ribosomal protein L35"
"NP_010091.2","COG5113@NOG","O","Ubiquitin elongating factor core"
"NP_010092.2","0ZICF@NOG","A","R3H domain"
"NP_010093.1","COG0639@NOG","D","Serine threonine-protein phosphatase"
"NP_010095.1","117E0@NOG",NA,NA
"NP_010096.1","COG1155@NOG COG1372@NOG","C","Vacuolar membrane ATPase subunit a"
"NP_010098.1","11G7K@NOG","S","Pfam:DUF2343"
"NP_010099.1","COG0119@NOG","E","homocitrate synthase"
"NP_010100.1","0Y6GH@NOG","Z","negative regulation of nucleotide metabolic process"
"NP_010101.1","11BK5@NOG",NA,NA
"NP_010102.1","11TTK@NOG","D","regulation of establishment or maintenance of cell polarity"
"NP_010103.1","COG0277@NOG","C","FAD linked oxidases, C-terminal domain"
"NP_010104.1","COG1739@NOG","S","Uncharacterized protein family UPF0029"
"NP_010105.1","118PG@NOG",NA,NA
"NP_010106.1","COG5082@NOG","A","involved in a post- transcriptional quality control mechanism limiting inappropriate expression of genetic information. Polyadenylation is required for the degradative activity of the exosome on several of its nuclear RNA substrates like cryptic transcripts generated by RNA polymerase II and III, or hypomethylated pre-tRNAi-Met. Both complexes polyadenylate RNA processing and degradation intermediates of snRNAs, snoRNAs and mRNAs that accumulate in strains lacking a functional exosome"
"NP_010107.1","COG0277@NOG","C","D-lactate dehydrogenase"
"NP_010108.1","128I8@NOG","S","Protein of unknown function (DUF3602)"
"NP_010110.1","COG0067@NOG COG0069@NOG COG0070@NOG COG0493@NOG","E","Glutamate synthase"
"NP_010111.1","0ZXZ3@NOG","K","Fungal Zn(2)-Cys(6) binuclear cluster domain"
"NP_010112.1","119SB@NOG",NA,NA
"NP_010113.1","COG1062@NOG","Q","ethanol oxidation"
"NP_010114.1","0YNCK@NOG","S","Zn-finger in Ran binding protein and others"
"NP_010115.1","COG1936@NOG","F","Inherit from saccNOG: K14535 transcription initiation factor TFIID subunit 9 adenylate kinase EC 2.7.4.3"
"NP_010116.1","COG5601@NOG","K","NOT2 / NOT3 / NOT5 family"
"NP_010117.1","COG1793@NOG","L","DNA ligase"
"NP_010120.1","0XSM0@NOG","Z","actin cortical patch assembly"
"NP_010121.1","0XRAZ@NOG","A","checkpoint recovery, probably through the regulation of the translational status of a subset of mRNAs. May also have a role in translation and mRNA nuclear export (By similarity)"
"NP_010122.1","0XQ5A@NOG","T","Protein tyrosine kinase"
"NP_010124.1","0Y6FV@NOG",NA,NA
"NP_010125.1","0XRID@NOG","S","WD repeat-containing protein"
"NP_010126.1","COG5024@NOG","D","Essential for the control of the cell cycle at the G2 M (mitosis) transition. Interacts with the CDC2 protein kinase to form MPF. G2 M cyclins accumulate steadily during G2 and are abruptly destroyed at mitosis"
"NP_010127.1","COG0249@NOG","L","MUTSac"
"NP_010128.1","0XSPX@NOG","B","Pfam:Sas10_Utp3_C"
"NP_010131.1","0XPDH@NOG","K","RNA polymerase III RPC4"
"NP_010132.1","0XQBE@NOG","U","Involved in autophagy and cytoplasm to vacuole transport (Cvt) vesicle formation. Plays a key role in the organization of the preautophagosomal structure phagophore assembly site (PAS), the nucleating site for formation of the sequestering vesicle. Cycles between the PAS and the cytoplasmic vesicle pool and may participate in supplying membrane for the growing autophagosome"
"NP_010133.1","0XNWY@NOG","J","Involved in nucleolar processing of pre-18S ribosomal RNA. Has a role in the nuclear export of 40S pre-ribosomal subunit to the cytoplasm"
"NP_010134.1","COG5071@NOG","O","26S proteasome regulatory subunit"
"NP_010135.1","0Y8WT@NOG","T, Z","endocytosis"
"NP_010136.1","0XPZS@NOG","U","Coatomer (COPI) alpha subunit C-terminus"
"NP_010137.2","COG1893@NOG","H","Catalyzes the NADPH-dependent reduction of ketopantoate into pantoic acid (By similarity)"
"NP_010138.1","COG0459@NOG","O","T-complex protein 1 subunit delta"
"NP_010139.1","COG0558@NOG","I","Cardiolipin synthase"
"NP_010140.1","COG0340@NOG COG4285@NOG","H","Biotin-protein ligase, N terminal"
"NP_010141.1","COG0086@NOG","K","DNA-directed RNA polymerase"
"NP_010142.2","115Q2@NOG","S","Centromere protein Scm3"
"NP_010143.1","0XNQK@NOG","P","Sugar (and other) transporter"
"NP_010144.1","COG1100@NOG","U","GTP-binding protein involved in protein trafficking"
"NP_010145.1","COG0255@NOG","J","ribosomal protein L35"
"NP_010146.1","11K44@NOG","T","RHO protein GDP dissociation inhibitor"
"NP_010147.1","COG0639@NOG","D","Serine threonine-protein phosphatase"
"NP_010149.1","11NER@NOG","S","Inherit from ascNOG: Conserved hypothetical protein"
"NP_010150.1","COG5647@NOG","D","CULLIN"
"NP_010151.1","COG0119@NOG","E","Homocitrate synthase isozyme, catalyzes the condensation of acetyl-CoA and alpha-ketoglutarate"
"NP_010152.1","0Y6GH@NOG","Z","negative regulation of nucleotide metabolic process"
"NP_010153.1","COG2058@NOG","J","60S acidic ribosomal protein P1"
"NP_010154.1","11C2N@NOG",NA,NA
"NP_010155.1","COG0387@NOG","P","Sodium/calcium exchanger protein"
"NP_010156.2","11TTK@NOG","D","regulation of establishment or maintenance of cell polarity"
"NP_010157.1","COG0464@NOG","O","CDC48_2"
"NP_010158.1","COG0537@NOG","T","HIT domain"
"NP_010159.1","COG0656@NOG","S","Aldo/keto reductase family"
"NP_010160.1","COG0401@NOG","S","Pfam:UPF0057"
"NP_010161.1","0XQQ0@NOG","O","ubiquitin carboxyl-terminal hydrolase"
"NP_010162.1","113E5@NOG",NA,NA
"NP_010163.1","COG1965@NOG","P","Frataxin-like domain"
"NP_010164.1","0XRMK@NOG","C","Mitochondrial carrier required for the biosynthesis of heme, possibly by facilitating 5-aminolevulinate (ALA) production. May act by importing glycine into mitochondria or by exchanging glycine for ALA across the mitochondrial inner membrane (By similarity)"
"NP_010166.1","COG5279@NOG","D","SH3"
"NP_010167.1","0XRUG@NOG","U, Y","Nuclear pore complex"
"NP_010168.4","11M5W@NOG","U","Protein of unknown function (DUF1762)"
"NP_010169.1","COG1028@NOG","Q","short chain dehydrogenase"
"NP_010170.1","COG5391@NOG","U","Required for cytoplasm to vacuole transport (Cvt), pexophagy and mitophagy. Also involved in endoplasmic reticulum- specific autophagic process and is essential for the survival of cells subjected to severe ER stress. Functions in protein retrieval from the endocytic pathway"
"NP_010171.1","COG0566@NOG","A","SpoU rRNA Methylase family"
"NP_010172.1","COG2123@NOG","J","3' exoribonuclease family, domain 1"
"NP_010173.1","0ZABY@NOG",NA,NA
"NP_010174.1","11F38@NOG","S","serine esterase"
"NP_010175.1","0XQDH@NOG","D","S_TKc"
"NP_010176.1","11I5J@NOG",NA,NA
"NP_010177.1","0ZZ6J@NOG","K","Homeobox domain"
"NP_010178.1","COG5125@NOG","S","Pfam:Nse4"
"NP_010179.1","COG0533@NOG","O","Glycoprotease family"
"NP_010180.1","COG4284@NOG","M","UTP--glucose-1-phosphate uridylyltransferase"
"NP_010181.2","COG0417@NOG","L","DNA Polymerase"
"NP_010182.1","0YA63@NOG","D","FHA domain"
"NP_010183.1","COG0003@NOG","P","ATPase required for the post-translational delivery of tail-anchored (TA) proteins to the endoplasmic reticulum. Recognizes and selectively binds the transmembrane domain of TA proteins in the cytosol. This complex then targets to the endoplasmic reticulum by membrane-bound receptors, where the tail- anchored protein is released for insertion. This process is regulated by ATP binding and hydrolysis. ATP binding drives the homodimer towards the closed dimer state, facilitating recognition of newly synthesized TA membrane proteins. ATP hydrolysis is required for insertion. Subsequently, the homodimer reverts towards the open dimer state, lowering its affinity for the membrane-bound receptor, and returning it to the cytosol to initiate a new round of targeting (By similarity)"
"NP_010184.1","119S8@NOG",NA,NA
"NP_010185.1","11GW4@NOG","A","Inherit from saccNOG: K12848 U4 U6.U5 tri-snRNP component SNU23"
"NP_010186.1","COG5159@NOG","O","PAM"
"NP_010188.1","COG1928@NOG","O","MIR domain"
"NP_010190.1","COG1928@NOG","O","Dolichyl-phosphate-mannose--protein mannosyltransferase"
"NP_010191.1","11PSF@NOG","U","Signal recognition particle 14kD protein"
"NP_010192.1","0XSFS@NOG","O","UAS"
"NP_010193.1","COG5029@NOG","O","Prenyltransferase and squalene oxidase repeat"
"NP_010194.1","1243Z@NOG","U","Member of a perinuclear network that controls recombination at multiple loci to maintain genome stability. Required for rDNA repeat stability (By similarity)"
"NP_010195.1","11NXJ@NOG","D","Pfam:MPPN"
"NP_010196.1","COG5200@NOG","A","LUC7 N_terminus"
"NP_010197.1","COG0412@NOG","G","Dienelactone hydrolase family"
"NP_010198.1","COG1252@NOG","C","Nadh dehydrogenase"
"NP_010199.1","COG0513@NOG","A","ATP-binding RNA helicase involved in transcription elongation and required for the export of mRNA out of the nucleus. SUB2 plays also a role in pre-mRNA splicing and spliceosome assembly. May be involved in rDNA and telomeric silencing, and maintenance of genome integrity (By similarity)"
"NP_010200.1","COG0103@NOG","J","ribosomal protein S16"
"NP_010201.1","COG4352@NOG","J","60S ribosomal protein L13"
"NP_010202.1","COG2058@NOG","J","60S acidic ribosomal protein P1"
"NP_010203.1","COG3961@NOG","H","Thiamine pyrophosphate enzyme, C-terminal TPP binding domain"
"NP_010204.1","COG0515@NOG","T","protein kinase gsk3"
"NP_010205.1","COG0039@NOG","C","Malate dehydrogenase"
"NP_010206.1","0XNSX@NOG","U","Vacuolar sorting protein 39 domain 1"
"NP_010207.1","0XPVP@NOG","S","Histone deacetylation protein Rxt3"
"NP_010208.1","COG2097@NOG","J","ribosomal protein L31"
"NP_010209.1","0Y5C6@NOG","B","E3 ubiquitin-protein ligase that mediates monoubiquitination of histone H2B to form H2BK123ub1. H2BK123ub1 gives a specific tag for epigenetic transcriptional activation and is also a prerequisite for H3K4me and H3K79me formation (By similarity)"
"NP_010210.1","11B0K@NOG","S","Protein of unknown function (DUF1765)"
"NP_010211.1","COG5374@NOG","U","B-cell receptor-associated protein 31-like"
"NP_010213.1","COG5076@NOG","K","transcription"
"NP_010216.1","0XXJD@NOG","C","This small integral protein plays a role in holoenzyme assembly or stability (By similarity)"
"NP_010217.1","COG0538@NOG","C","Isocitrate dehydrogenase NADP"
"NP_010218.2","11QGU@NOG","U","Pex19 protein family"
"NP_010219.1","COG5078@NOG","O","Ubiquitin-conjugating enzyme"
"NP_010220.1","10X0F@NOG","S","Inherit from ascNOG: ribosomal large subunit biogenesis"
"NP_010222.1","COG0199@NOG","J","ribosomal protein S29"
"NP_010223.1","COG5177@NOG","S","AARP2CN (NUC121) domain"
"NP_010224.1","COG5055@NOG","L","Involved in the repair of double-strand breaks in DNA during vegetative growth via recombination and single-strand annealing. Anneals complementary single-stranded DNA (By similarity)"
"NP_010225.1","0XRCG@NOG","U","Uso1 / p115 like vesicle tethering protein, head region"
"NP_010226.1","COG2365@NOG","I","Inherit from ascNOG: Conserved hypothetical protein"
"NP_010227.1","COG0666@NOG","K","Binds to MCB elements (Mlu I cell cycle box) found in the promoter of most DNA synthesis genes. Transcriptional activation by MBF has an important role in the transition from G1 to S phase. It may have a dual role in that it behaves as an activator of transcription at the G1-S boundary and as a repressor during other stages of the cell cycle"
"NP_010228.1","COG1208@NOG","M","Involved in cell wall synthesis where it is required for glycosylation. Involved in cell cycle progression through cell- size checkpoint"
"NP_010229.1","11JW2@NOG","P","establishment of localization"
"NP_010230.1","113E0@NOG",NA,NA
"NP_010231.1","COG0204@NOG","I","Acyltransferase"
"NP_010232.1","COG5193@NOG","A","LA"
"NP_010234.1","11Y4V@NOG","G","cell wall biogenesis"
"NP_010235.1","COG5048@NOG","K","sequence-specific DNA binding"
"NP_010236.1","COG0639@NOG","D, T","serine threonine-protein phosphatase"
"NP_010237.1","11SSC@NOG","U","Catalyzes the intermembrane transfer of phosphatidylglycerol and phosphatidylinositol (By similarity)"
"NP_010238.1","123HR@NOG","J","mitochondrial 37S ribosomal protein YmS-T"
"NP_010239.1","COG0175@NOG","H","(FAD) synthetase"
"NP_010240.1","0XZ35@NOG",NA,NA
"NP_010241.1","COG5246@NOG","A","ZnF_U1"
"NP_010242.1","COG0846@NOG","B","NAD-dependent deacetylase. Heterochromatin component that silences transcription at silent mating loci, telomeres and the ribosomal DNA, and that also suppresses recombination in the rDNA and extends replicative life span. It acts as a NAD-dependent histone deacetylase, which deacetylates 'Lys-9' and 'Lys-14' of Histone H3 and 'Lys-16' of Histone H4 (By similarity)"
"NP_010244.1","0XR7D@NOG","B","Inherit from saccNOG: TPR"
"NP_010245.2","0YXX3@NOG","O","Member of the seripauperin multigene family encoded mainly in subtelomeric regions"
"NP_010247.1","0ZKF4@NOG","S","Flo11 domain"
"NP_010248.1","COG0564@NOG","A","Pseudouridine synthase"
"NP_010249.1","11STA@NOG","T","Plasma membrane G protein coupled receptor (GPCR) that interacts with the heterotrimeric G protein"
"NP_010251.1","COG0482@NOG","J","tRNA methyl transferase"
"NP_010253.2","0XQE5@NOG","J","ATP-binding RNA helicase involved in the biogenesis of 60S ribosomal subunits and is required for the normal formation of 25S and 5.8S rRNAs (By similarity)"
"NP_010254.1","COG5188@NOG","A","Domain of unknown function (DUF3449)"
"NP_010255.1","COG5277@NOG","Z","ACTIN"
"NP_010256.2","0XRRQ@NOG","D","Checkpoint protein kinase"
"NP_010257.1","1180R@NOG",NA,NA
"NP_010259.1","0XQ0D@NOG","T","STYKc"
"NP_010260.1","11FS8@NOG","S","acid phosphatase"
"NP_010262.1","COG0240@NOG","C","Glycerol-3-phosphate dehydrogenase"
"NP_010263.1","COG0588@NOG","G","phosphoglycerate mutase"
"NP_010264.3","0XS04@NOG","K","ZnF_C2H2"
"NP_010265.1","0XP9E@NOG","I","1-phosphatidylinositol binding"
"NP_010266.1","11JPD@NOG","U","EMP24_GP25L"
"NP_010267.3","0YKCM@NOG","D","Cell division control protein 7"
"NP_010269.1","0XR2S@NOG","I","3-oxo-5-alpha-steroid 4-dehydrogenase"
"NP_010270.1","COG1889@NOG","A","Involved in pre-rRNA processing. Utilizes the methyl donor S-adenosyl-L-methionine to catalyze the site-specific 2'- hydroxyl methylation of ribose moieties in pre-ribosomal RNA. Site specificity is provided by a guide RNA that base pairs with the substrate. Methylation occurs at a characteristic distance from the sequence involved in base pairing with the guide RNA"
"NP_010271.3","0YH0Y@NOG",NA,NA
"NP_010272.1","11AWE@NOG",NA,NA
"NP_010274.1","COG0695@NOG","O","glutathione-disulfide reductase activity"
"NP_010276.3","COG5194@NOG","D","RING"
"NP_010277.1","COG1222@NOG","O","Protein of unknown function (DUF815)"
"NP_010278.3","COG0631@NOG","T","PP2C_SIG"
