locus_tag,cluster,acc,COG_category,probability,HMM_description,NOGs
YER110C,induced,NP_011035.1,U,0.9999976571970102,Importin-beta N-terminal domain,0XP2Z@NOG
YER117W,induced,NA,S,0.00725198931733243,Function unknown,NA
YER121W,repressed,NA,S,0.9998184782267798,Function unknown,NA
YER124C,induced,NP_011050.3,S,0.00725198931733243,Involved in cell wall metabolism and required for the separation of the mother and daughter cells,11MWJ@NOG
YER126C,induced,NP_011052.1,J,NA,Involved in the biogenesis of the 60S ribosomal subunit. May play a part in the quality control of pre-60S particles,COG2007@NOG
YER127W,induced,NP_011053.1,A,0.9999981037358701,U3 small nucleolar ribonucleoprotein protein LCP5,11F0Z@NOG
YER131W,induced,NP_011057.1,J,NA,ribosomal protein S26,COG4830@NOG
YER150W,repressed,NP_011077.1,S,0.9998184782267798,Function unknown,0YX6C@NOG
YER158C,repressed,NP_011085.1,S,0.9998184782267798,Function unknown,0Y6M1@NOG
YER162C,repressed,NP_011089.4,L,NA,BHD_1,COG5535@NOG
YER188W,repressed,NA,S,0.9998184782267798,Function unknown,NA
YFL014W,repressed,NP_116640.1,O,0.9699133011869505,Heat shock protein 9/12,0Y0AR@NOG
YFL016C,repressed,NP_116638.1,O,0.9699133011869505,DnaJ central domain,COG0484@NOG
YFL026W,induced,NP_116627.2,T,0.6001982973281375,Pheromone alpha factor receptor,11SKF@NOG
YFL045C,induced,NP_116609.1,G,2.0609048813476683e-12,phosphomannomutase,COG0561@NOG
YFL051C,repressed,NP_116576.1,S,0.9998184782267798,"Cell wall protein that participates directly in adhesive cell-cell interactions during yeast flocculation, a reversible, asexual and Ca(2 )-dependent process in which cells adhere to form aggregates (flocs) consisting of thousands of cells. The lectin- like protein sticks out of the cell wall of flocculent cells and selectively binds mannose residues in the cell walls of adjacent cells",0YWND@NOG
YFL052W,repressed,NP_116603.1,K,0.9998363375969888,Maltose fermentation regulatory protein,0XT8T@NOG
YFL053W,repressed,NP_116602.1,G,0.9563292098449211,Dak2,COG2376@NOG
YFL056C,repressed,NA,S,0.9998184782267798,Function unknown,NA
YFR001W,induced,NP_116656.1,J,NA,Required for efficient assembly and nuclear export of the 60S ribosomal subunit,11ISQ@NOG
YFR009W,induced,NP_116664.1,"E, J",NA,ABC transporter,COG0488@NOG
YFR015C,repressed,NP_116670.1,G,0.9563292098449211,glycogen (starch) synthase activity,COG0438@NOG
YFR030W,repressed,NP_116686.3,E,2.4936491944344962e-6,FAD binding domain,COG0369@NOG COG0674@NOG
YFR031C-A,induced,NA,S,0.00725198931733243,Function unknown,NA
YFR053C,repressed,NP_116711.3,G,0.9563292098449211,K00844 hexokinase EC 2.7.1.1,COG5026@NOG
YGL008C,induced,NP_011507.1,P,0.08084512295836578,The plasma membrane ATPase of plants and fungi is a hydrogen ion pump. The proton gradient it generates drives the active transport of nutrients by H( )-symport. The resulting external acidification and or internal alkinization may mediate growth responses,COG0474@NOG
YGL029W,induced,NP_011486.1,S,0.00725198931733243,Involved in nucleolar integrity and required for processing of the pre-rRNA for the 60S ribosome subunit,0ZM47@NOG
YGL030W,induced,NA,S,0.00725198931733243,Function unknown,NA
YGL031C,induced,NP_011484.1,J,NA,60S ribosomal protein L24,COG2075@NOG
YGL037C,repressed,NP_011478.3,H,0.4737229769854949,nicotinamidase EC 3.5.1.19,COG1335@NOG
YGL055W,induced,NP_011460.3,I,0.030881299766512903,Fatty acid desaturase,COG1398@NOG COG5274@NOG
YGL062W,repressed,NP_011453.1,C,0.9953301413152312,"Catalyzes a 2-step reaction, involving the ATP-dependent carboxylation of the covalently attached biotin in the first step and the transfer of the carboxyl group to pyruvate in the second (By similarity)",COG1038@NOG
YGL076C,induced,NA,S,0.00725198931733243,Function unknown,NA
YGL078C,induced,NP_011437.3,J,NA,"ATP-dependent RNA helicase required for 60S ribosomal subunit synthesis. Involved in efficient pre-rRNA processing, predominantly at site A3, which is necessary for the normal formation of 25S and 5.8S rRNAs (By similarity)",COG0513@NOG
YGL096W,repressed,NP_011419.1,K,0.9998363375969888,sequence-specific DNA binding transcription factor activity,0XPMQ@NOG
YGL099W,induced,NP_011416.3,S,0.00725198931733243,Ferrous iron transport protein B,COG1161@NOG
YGL102C,induced,NA,S,0.00725198931733243,Function unknown,NA
YGL103W,induced,NA,S,0.00725198931733243,Function unknown,NA
YGL111W,induced,NP_011404.1,J,NA,Involved in the biogenesis of the 60S ribosomal subunit (By similarity),0YGGD@NOG
YGL120C,induced,NP_011395.1,A,0.9999981037358701,Pfam:DUF1605,COG1643@NOG
YGL121C,repressed,NP_011394.1,S,0.9998184782267798,Function unknown,11D7V@NOG
YGL123W,induced,NP_011392.1,J,NA,40S ribosomal protein S2,COG0098@NOG
YGL135W,induced,NP_011380.3,J,NA,ribosomal protein,COG0081@NOG
YGL147C,induced,NP_011368.3,J,NA,ribosomal protein L9,COG0097@NOG
YGL148W,induced,NP_011367.1,E,8.622285680355961e-4,Chorismate synthase,COG0082@NOG
YGL156W,repressed,NP_011359.1,G,0.9563292098449211,Glycosyl hydrolases family 38 C-terminal domain,COG0383@NOG
YGL157W,induced,NP_011358.3,V,0.16539544034636147,carbonyl reductase (NADPH) activity,COG0451@NOG
YGL158W,induced,NP_011357.1,T,0.6001982973281375,calcium-dependent protein kinase,0XRMJ@NOG
YGL171W,induced,NP_011344.1,J,NA,"ATP-dependent RNA helicase involved in 40S ribosomal subunit biogenesis. Required for the processing and cleavage of 35S pre-rRNA at sites A0, A1, and A2, leading to mature 18S rRNA",0XQS8@NOG
YGL177W,repressed,NA,S,0.9998184782267798,Function unknown,NA
YGL180W,repressed,NP_011335.1,H,0.4737229769854949,"Serine threonine protein kinase probably involved in the cytoplasm to vacuole transport (Cvt) and in autophagy, where it may be required for the formation of autophagosomes (By similarity)",0XR01@NOG
YGL184C,repressed,NP_011331.3,E,2.4936491944344962e-6,cystathionine beta-lyase,COG0626@NOG
YGL187C,repressed,NP_011328.1,C,0.9953301413152312,cytochrome C oxidase,11XEM@NOG
YGL191W,repressed,NP_011324.1,C,0.9953301413152312,Cytochrome c oxidase polypeptide VIa,1253X@NOG
YGL192W,repressed,NP_011323.3,A,7.092379914420967e-7,MT-A70,COG4725@NOG
YGL202W,induced,NP_011313.1,E,8.622285680355961e-4,Aromatic amino acid aminotransferase,COG1167@NOG
YGL205W,repressed,NP_011310.1,I,0.8468598308460155,Acyl-coenzyme A oxidase,COG1960@NOG
YGL208W,repressed,NP_011307.1,G,0.9563292098449211,Snf1 kinase complex beta-subunit Gal83,0XRB3@NOG
YGL234W,induced,NP_011280.1,F,0.4153807069687917,"Phosphoribosylglycinamide synthetase, C domain",COG0150@NOG COG0151@NOG
YGL245W,induced,NP_011269.2,J,NA,"tRNA synthetases class I (E and Q), anti-codon binding domain",COG0008@NOG
YGL248W,repressed,NP_011266.1,F,5.919773634257787e-7,cAMP phosphodiesterases class-II,COG5212@NOG
YGL255W,induced,NP_011259.1,P,0.08084512295836578,"K14709 solute carrier family 39 (zinc transporter), member 1 2 3",11GP2@NOG
YGL259W,repressed,NP_011255.1,O,0.9699133011869505,aspartic,0XNV7@NOG
YGL262W,repressed,NP_011252.1,S,0.9998184782267798,Function unknown,117F4@NOG
YGR008C,repressed,NP_011522.1,S,0.9998184782267798,Hyaluronan / mRNA binding family,1265Y@NOG
YGR019W,repressed,NP_011533.3,E,2.4936491944344962e-6,Aminotransferase class-III,COG0160@NOG
YGR027C,induced,NP_011541.1,J,NA,ribosomal protein S25,COG4901@NOG
YGR034W,induced,NA,S,0.00725198931733243,Function unknown,NA
YGR043C,repressed,NP_011557.1,G,0.9563292098449211,Transaldolase is important for the balance of metabolites in the pentose-phosphate pathway (By similarity),COG0176@NOG
YGR052W,repressed,NP_011566.1,T,0.9989297194930686,STYKc,COG0515@NOG
YGR053C,repressed,NP_011567.3,S,0.9998184782267798,Function unknown,12CVP@NOG
YGR061C,induced,NP_011575.1,F,0.4153807069687917,"AIR synthase related protein, N-terminal domain",COG0046@NOG COG0047@NOG
YGR066C,repressed,NP_011580.3,U,0.9999999999997884,vesicle-mediated transport protein Vid24,COG5073@NOG
YGR079W,induced,NP_011593.1,S,0.00725198931733243,Function unknown,119S7@NOG
YGR085C,induced,NP_011599.1,J,NA,ribosomal protein L11,COG0094@NOG
YGR088W,repressed,NP_011602.2,P,0.7063766671645022,Occurs in almost all aerobically respiring organisms and serves to protect cells from the toxic effects of hydrogen peroxide (By similarity),COG0753@NOG
YGR094W,induced,NP_011608.1,J,NA,Anticodon-binding domain of tRNA,COG0525@NOG
YGR110W,repressed,NP_011625.3,I,0.8468598308460155,alpha/beta hydrolase fold,COG0596@NOG
YGR118W,induced,NA,S,0.00725198931733243,Function unknown,NA
YGR123C,induced,NP_011639.3,T,0.6001982973281375,Serine threonine-protein phosphatase,COG0639@NOG
YGR124W,induced,NP_011640.1,E,8.622285680355961e-4,Asparagine synthetase,COG0367@NOG
YGR128C,induced,NP_011644.3,A,0.9999981037358701,U3 small nucleolar RNA-associated protein 8,0XWZK@NOG
YGR138C,induced,NP_011654.1,G,2.0609048813476683e-12,Polyamine transport protein specific for spermine,COG0477@NOG
YGR142W,repressed,NP_011658.3,S,0.9998184782267798,Function unknown,11DUS@NOG
YGR144W,repressed,NP_011660.1,H,0.4737229769854949,"Involved in biosynthesis of the thiamine precursor thiazole. Catalyzes the conversion of NAD and glycine to adenosine diphosphate 5-(2-hydroxyethyl)-4-methylthiazole-2-carboxylic acid (ADT), an adenylated thiazole intermediate. The reaction includes an iron-dependent sulfide transfer from a conserved cysteine residue of the protein to a thiazole intermediate. The enzyme can only undergo a single turnover, which suggests it is a suicide enzyme. May have additional roles in adaptation to various stress conditions and in DNA damage tolerance (By similarity)",COG1635@NOG
YGR145W,induced,NP_011661.2,S,0.00725198931733243,NUC153 domain,0XQ2D@NOG
YGR146C,repressed,NA,S,0.9998184782267798,Function unknown,NA
YGR148C,induced,NP_011664.3,J,NA,ribosomal protein L24,COG2075@NOG
YGR159C,induced,NP_011675.1,A,0.9999981037358701,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",11MZ2@NOG
YGR160W,induced,NA,S,0.00725198931733243,Function unknown,NA
YGR161C,repressed,NP_011677.3,S,0.9998184782267798,Function unknown,117D8@NOG
YGR162W,induced,NP_011678.3,J,NA,Eukaryotic translation initiation factor 4G1,0ZVHN@NOG
YGR177C,induced,NP_011693.1,S,0.00725198931733243,Alcohol acetyltransferase,0YB6U@NOG
YGR183C,repressed,NA,S,0.9998184782267798,Function unknown,NA
YGR185C,induced,NP_011701.3,J,NA,tRNA synthetases class I (W and Y),COG0162@NOG
YGR187C,induced,NP_011703.3,S,0.00725198931733243,Domain of unknown function (DUF383),0YNU7@NOG
YGR194C,repressed,NP_011710.3,G,0.9563292098449211,"FGGY family of carbohydrate kinases, C-terminal domain",COG1070@NOG
YGR201C,repressed,NP_011717.4,O,0.9699133011869505,glutathione Stransferase,COG0625@NOG
YGR209C,repressed,NP_011725.3,O,0.9699133011869505,Thioredoxin,COG0526@NOG
YGR214W,induced,NA,S,0.00725198931733243,Function unknown,NA
YGR225W,repressed,NA,S,0.9998184782267798,Function unknown,NA
YGR234W,induced,NP_011750.1,C,5.613709551068091e-19,Globin,COG1017@NOG COG1018@NOG
YGR236C,repressed,NP_011752.4,S,0.9998184782267798,Function unknown,11DT1@NOG
YGR243W,repressed,NP_011759.1,S,0.9998184782267798,pyruvate transmembrane transporter activity,11UER@NOG
YGR244C,repressed,NP_011760.3,C,0.9953301413152312,ATP-grasp domain,COG0045@NOG
YGR245C,induced,NP_011761.3,"D, Z",NA,NUC130/3NT domain,0XPHI@NOG
YGR248W,repressed,NP_011764.3,G,0.9563292098449211,6-phosphogluconolactonase activity,COG0363@NOG
YGR249W,induced,NP_011765.1,K,0.9998779793190825,HSF,COG5169@NOG
YGR250C,repressed,NP_011766.3,A,7.092379914420967e-7,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",0XQBV@NOG
YGR256W,repressed,NP_011772.3,G,0.9563292098449211,"Catalyzes the oxidative decarboxylation of 6- phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH (By similarity)",COG0362@NOG
YGR264C,induced,NP_011780.3,J,NA,MetRS-N binding domain,COG0143@NOG
YGR265W,induced,NA,S,0.00725198931733243,Function unknown,NA
YGR272C,induced,NA,S,0.00725198931733243,Function unknown,NA
YGR280C,induced,NP_011796.1,A,0.9999981037358701,"Involved in rRNA-processing at A0, A1 and A2 sites and regulates negatively telomerase (By similarity)",11IXK@NOG
YGR285C,induced,NP_011801.1,O,0.1672306973643994,DnaJ domain,COG5269@NOG
YGR289C,repressed,NP_011805.3,G,0.9563292098449211,Sugar (and other) transporter,0XNQK@NOG
YGR290W,repressed,NA,S,0.9998184782267798,Function unknown,NA
YHL001W,induced,NA,S,0.00725198931733243,Function unknown,NA
YHL011C,induced,NP_011852.1,F,0.4153807069687917,Ribose-phosphate pyrophosphokinase,COG0462@NOG
YHL015W,induced,NP_011848.1,J,NA,40S ribosomal protein S20,COG0051@NOG
YHL016C,repressed,NP_011847.1,P,0.7063766671645022,Plasma membrane transporter for both urea and polyamines,COG0591@NOG
YHL021C,repressed,NP_011842.1,I,0.8468598308460155,"Taurine catabolism dioxygenase TauD, TfdA family",COG2175@NOG
YHL024W,repressed,NP_011839.1,S,0.9998184782267798,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)",11FJ3@NOG
YHL032C,repressed,NP_011831.1,G,0.9563292098449211,Glycerol kinase,COG0554@NOG
YHL033C,induced,NP_011830.1,J,NA,ribosomal protein L8,COG1358@NOG
YHL047C,induced,NP_011816.2,P,0.08084512295836578,Sugar (and other) transporter,0ZYHG@NOG
YHR010W,induced,NA,S,0.00725198931733243,Function unknown,NA
YHR019C,induced,NP_011883.1,J,NA,"tRNA synthetases class II (D, K and N)",COG0017@NOG
YHR020W,induced,NP_011884.1,J,NA,ProRS-C_1,COG0442@NOG
YHR021C,induced,NA,S,0.00725198931733243,Function unknown,NA
YHR029C,repressed,NP_011894.1,S,0.9998184782267798,Phenazine biosynthesis-like protein,COG0384@NOG
YHR033W,repressed,NP_011898.1,E,2.4936491944344962e-6,"Aldehyde dehydrogenase 18 family, member A1",COG0263@NOG
YHR052W,induced,NP_011919.1,S,0.00725198931733243,Inherit from saccNOG: proteasome-interacting protein,11W39@NOG
YHR053C,repressed,NP_011922.1,O,0.9699133011869505,metallothionein,0Z9YK@NOG
YHR055C,repressed,NP_011920.1,O,0.9699133011869505,metallothionein,0Z9YK@NOG
YHR064C,induced,NP_011931.2,O,0.1672306973643994,MreB/Mbl protein,COG0443@NOG
YHR065C,induced,NP_011932.2,A,0.9999981037358701,Required for pre-ribosomal RNA processing. Involved in the maturation of the 35S-pre-rRNA and to its cleavage to mature 18S rRNA (By similarity),0XQU7@NOG
YHR066W,induced,NP_011933.1,J,NA,"ribosome biogenesis, protein",0XRP7@NOG
YHR068W,induced,NP_011935.1,E,8.622285680355961e-4,Catalyzes the NAD-dependent oxidative cleavage of spermidine and the subsequent transfer of the butylamine moiety of spermidine to the epsilon-amino group of a specific lysine residue of the eIF-5A precursor protein to form the intermediate deoxyhypusine residue,COG1899@NOG
YHR087W,repressed,NP_011955.1,S,0.9998184782267798,Shwachman-Bodian-Diamond syndrome (SBDS) protein,0Y0JW@NOG
YHR088W,induced,NP_011956.1,J,NA,Brix,COG2136@NOG
YHR089C,induced,NP_011957.1,J,NA,"Required for ribosome biogenesis. Part of a complex which catalyzes pseudouridylation of rRNA. This involves the isomerization of uridine such that the ribose is subsequently attached to C5, instead of the normal N1. Pseudouridine ( psi ) residues may serve to stabilize the conformation of rRNAs",COG3277@NOG
YHR094C,induced,NP_011962.1,G,2.0609048813476683e-12,glucose transporter of the major facilitator superfamily,0XNQK@NOG
YHR096C,repressed,NP_011964.1,G,0.9563292098449211,glucose transporter of the major facilitator superfamily,0XNQK@NOG
YHR097C,repressed,NA,S,0.9998184782267798,Function unknown,NA
YHR104W,repressed,NP_011972.1,C,0.9953301413152312,D-xylose catabolic process,COG0656@NOG
YHR128W,induced,NP_011996.2,F,0.4153807069687917,Uracil phosphoribosyltransferase,COG0035@NOG
YHR137W,repressed,NP_012005.1,E,2.4936491944344962e-6,Aminotransferase class I and II,COG1167@NOG
YHR138C,repressed,NP_012006.1,S,0.9998184782267798,Function unknown,113DJ@NOG
YHR139C,repressed,NP_012007.1,E,2.4936491944344962e-6,cell wall assembly,COG0252@NOG
YHR140W,repressed,NP_012009.1,W,NA,FAR-17a/AIG1-like protein,11HQA@NOG
YHR141C,induced,NA,S,0.00725198931733243,Function unknown,NA
YHR143W,induced,NP_012012.1,G,2.0609048813476683e-12,"Involved in pseudohyphal growth, cell wall metabolism and required for the separation of the mother and daughter cells",11CMR@NOG
YHR148W,induced,NP_012018.1,A,0.9999981037358701,U3 small nucleolar ribonucleoprotein protein IMP3,COG0522@NOG
YHR160C,repressed,NP_012030.1,U,0.9999999999997884,Involved in peroxisome biogenesis and the import of peroxisomal matrix proteins,11DTN@NOG
YHR169W,induced,NP_012039.1,J,NA,"ATP-binding RNA helicase involved in 40S ribosomal subunit biogenesis and is required for the normal formation of 18S rRNAs through pre-rRNA processing at A0, A1 and A2 sites. Required for vegetative growth (By similarity)",0XPYC@NOG
YHR170W,induced,NP_012040.1,J,NA,60S ribosomal export protein NMD3,COG1499@NOG
YHR179W,induced,NP_012049.1,C,5.613709551068091e-19,pentaerythritol trinitrate reductase activity,COG1902@NOG
YHR196W,induced,NP_012066.1,A,0.9999981037358701,U3 small nucleolar RNA-associated protein 9,0YI38@NOG
YHR197W,induced,NP_012067.4,A,0.9999981037358701,Component of the RIX1 complex required for processing of ITS2 sequences from 35S pre-rRNA (By similarity),0ZXR3@NOG
YHR203C,induced,NA,S,0.00725198931733243,Function unknown,NA
YHR208W,induced,NP_012078.3,E,8.622285680355961e-4,Branched-chain-amino-acid aminotransferase,COG0115@NOG
YHR209W,repressed,NP_012079.1,S,0.9998184782267798,Methyltransferase domain,11IQH@NOG
YHR215W,induced,NP_012087.1,S,0.00725198931733243,"One of three repressible acid phosphatases, a glycoprotein that is transported to the cell surface",11FS8@NOG
YHR216W,induced,NP_012088.3,F,0.4153807069687917,"Catalyzes the conversion of inosine 5'-phosphate (IMP) to xanthosine 5'-phosphate (XMP), the first committed and rate- limiting step in the de novo synthesis of guanine nucleotides, and therefore plays an important role in the regulation of cell growth (By similarity)",COG0516@NOG COG0517@NOG
YIL015W,induced,NP_012249.1,O,0.1672306973643994,Eukaryotic aspartyl protease,0XNV7@NOG
YIL018W,induced,NA,S,0.00725198931733243,Function unknown,NA
YIL019W,induced,NP_012245.1,S,0.00725198931733243,Function unknown,0XU26@NOG
YIL024C,repressed,NP_012240.3,S,0.9998184782267798,Function unknown,1180X@NOG
YIL045W,repressed,NP_012219.3,"O, T",NA,Putative phosphatase regulatory subunit,11FT1@NOG
YIL047C,induced,NP_012217.3,U,0.9999976571970102,EXS family,COG5408@NOG COG5409@NOG
YIL052C,induced,NA,S,0.00725198931733243,Function unknown,NA
YIL053W,induced,NP_012211.2,H,0.6067317397428283,glycerol-1-phosphatase activity,COG0637@NOG
YIL057C,repressed,NP_012207.3,T,0.9989297194930686,"Involved in the control of energetic metabolism and significantly contribute to cell fitness, especially under respiratory growth conditions (By similarity)",11YS8@NOG
YIL078W,induced,NP_116578.3,J,NA,Threonyl and Alanyl tRNA synthetase second additional domain,COG0441@NOG
YIL087C,repressed,NP_012179.3,S,0.9998184782267798,Protein of unknown function (DUF2416),125MA@NOG
YIL097W,repressed,NP_012169.1,S,0.9998184782267798,"Involved in the proteasome-dependent degradation of fructose-1,6-bisphosphatase",0XPGU@NOG
YIL099W,repressed,NP_012167.3,G,0.9563292098449211,Glycosyl hydrolases family 15,COG3387@NOG
YIL101C,repressed,NP_012165.1,K,0.9998363375969888,Inherit from NOG: APSES transcription factor Xbp1,11TMM@NOG
YIL107C,repressed,NP_012159.1,G,0.9563292098449211,6-phosphofructo-2-kinase,COG0406@NOG
YIL111W,repressed,NA,S,0.9998184782267798,Function unknown,NA
YIL113W,repressed,NP_012153.1,V,0.21202668993329285,phosphatase,COG2453@NOG
YIL117C,induced,NP_012149.1,U,0.9999976571970102,Vacuolar membrane protein,11691@NOG
YIL119C,repressed,NP_012147.3,S,0.9998184782267798,Function unknown,11EEX@NOG
YIL127C,induced,NP_012139.1,K,0.9998779793190825,"Involved in ribosome biogenesis, probably through modulation of rDNA transcription (By similarity)",0YXSB@NOG
YIL133C,induced,NA,S,0.00725198931733243,Function unknown,NA
YIL136W,repressed,NP_012130.1,S,0.9998184782267798,Function unknown,118NA@NOG
YIL146C,repressed,NP_012120.1,M,NA,Mitophagy-specific receptor that recruits the autophagic machinery to mitochondria and regulates selective degradation of mitochondria. Mitophagy contributes to regulate mitochondrial quantity and quality by eliminating the mitochondria to a basal level to fulfill cellular energy requirements and preventing excess ROS production. Recruits ATG11 to the surface of mitochondria. Promotes also autophagy-dependent peroxisome degradation (By similarity),117FG@NOG
YIL155C,repressed,NP_012111.1,C,0.9953301413152312,FAD binding domain,COG0578@NOG
YIL160C,repressed,NP_012106.1,I,0.8468598308460155,"Thiolase, N-terminal domain",COG0183@NOG
YIR012W,induced,NP_012277.1,S,0.00725198931733243,ribosome assembly protein SQT1,0XR6A@NOG
YIR016W,repressed,NA,S,0.9998184782267798,Function unknown,NA
YIR017C,repressed,NP_012282.3,K,0.9998363375969888,Basic region leucine zipper,1169X@NOG
YIR026C,induced,NP_012292.3,V,0.16539544034636147,DSPc,COG2453@NOG
YIR027C,repressed,NP_012293.3,F,5.919773634257787e-7,allantoinase EC 3.5.2.5,COG0044@NOG
YIR028W,repressed,NP_012294.3,P,0.7063766671645022,nucleobase:cation symporter activity,COG1953@NOG
YIR029W,repressed,NP_012295.1,F,5.919773634257787e-7,Allantoicase repeat,COG4266@NOG
YIR030C,repressed,NP_012296.1,E,2.4936491944344962e-6,Asp/Glu/Hydantoin racemase,COG4126@NOG
YIR031C,repressed,NP_012297.3,C,0.9953301413152312,Malate synthase,COG2225@NOG
YIR032C,repressed,NP_012298.1,F,5.919773634257787e-7,Ureidoglycolate hydrolase,COG3194@NOG
YIR038C,repressed,NP_012304.1,O,0.9699133011869505,"Glutathione S-transferase, N-terminal domain",COG0625@NOG
YIR039C,repressed,NP_012305.3,O,0.9699133011869505,aspartic,0XNV7@NOG
YJL034W,induced,NP_012500.3,O,0.1672306973643994,Probably plays a role in facilitating the assembly of multimeric protein complexes inside the ER,COG0443@NOG
YJL045W,repressed,NP_012490.1,C,0.9953301413152312,subunit of succinate dehydrogenase,COG1053@NOG
YJL048C,repressed,NP_012487.1,O,0.9699133011869505,UBX domain protein,11HH6@NOG
YJL057C,repressed,NP_012478.3,T,0.9989297194930686,STYKc,0XRMJ@NOG
YJL066C,repressed,NP_012469.3,S,0.9998184782267798,Function unknown,0YHRE@NOG
YJL069C,induced,NP_012466.1,A,0.9999981037358701,U3 small nucleolar RNA-associated protein 18,0YBWP@NOG
YJL079C,repressed,NP_012456.1,S,0.9998184782267798,sterol transport,COG2340@NOG
YJL080C,induced,NP_012455.1,I,0.030881299766512903,KH domain,0XQFV@NOG
YJL088W,repressed,NP_012447.1,E,2.4936491944344962e-6,"Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain",COG0078@NOG
YJL103C,repressed,NP_012432.1,K,0.9998363375969888,Transcription factor which regulates nonfermentable carbon utilization (By similarity),0YFX5@NOG
YJL107C,induced,NP_012428.1,S,0.00725198931733243,Membrane,COG2966@NOG
YJL109C,induced,NP_012426.1,J,NA,U3 small nucleolar RNA-associated protein 10,0XNQQ@NOG
YJL116C,repressed,NP_012419.1,S,0.9998184782267798,organelle organization,11GRE@NOG
YJL122W,induced,NP_012413.1,J,NA,Involved in proper assembly of pre-ribosomal particles during the biogenesis of the 60S ribosomal subunit. Accompanies the pre-60S particles to the cytoplasm (By similarity),1280E@NOG
YJL136C,induced,NA,S,0.00725198931733243,Function unknown,NA
YJL138C,induced,NP_012397.1,J,NA,"ATP-dependent RNA helicase which is a subunit of the eIF4F complex involved in cap recognition and is required for mRNA binding to ribosome. In the current model of translation initiation, eIF4A unwinds RNA secondary structures in the 5'-UTR of mRNAs which is necessary to allow efficient binding of the small ribosomal subunit, and subsequent scanning for the initiator codon (By similarity)",COG0513@NOG
YJL141C,repressed,NP_012394.1,T,0.9989297194930686,S_TKc,0XPET@NOG
YJL142C,repressed,NA,S,0.9998184782267798,Function unknown,NA
YJL144W,repressed,NA,S,0.9998184782267798,Function unknown,NA
YJL148W,induced,NP_012387.1,K,0.9998779793190825,DNA-directed RNA polymerase I subunit RPA34.5,0Y5MH@NOG
YJL153C,repressed,NP_012382.2,I,0.8468598308460155,inositol-3-phosphate synthase activity,COG1260@NOG
YJL155C,repressed,NP_012380.1,G,0.9563292098449211,6-phosphofructo-2-kinase,COG0406@NOG
YJL157C,induced,NP_012378.1,O,0.1672306973643994,RING,0Y91H@NOG
YJL158C,induced,NP_012377.1,S,0.00725198931733243,Yeast PIR protein repeat,11W61@NOG
YJL161W,repressed,NP_012374.1,S,0.9998184782267798,Function unknown,11961@NOG
YJL163C,repressed,NP_012372.1,G,0.9563292098449211,Major Facilitator Superfamily,0ZVCA@NOG
YJL164C,repressed,NP_012371.2,T,0.9989297194930686,protein kinase A signaling cascade,0XPQQ@NOG
YJL166W,repressed,NP_012369.1,C,0.9953301413152312,"component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is part of the mitochondrial respiratory chain",123BH@NOG
YJL177W,induced,NA,S,0.00725198931733243,Function unknown,NA
YJL185C,repressed,NP_012350.1,S,0.9998184782267798,Function unknown,118KI@NOG
YJL188C,induced,NA,S,0.00725198931733243,Function unknown,NA
YJL189W,induced,NA,S,0.00725198931733243,Function unknown,NA
YJL190C,induced,NP_012345.1,J,NA,40S ribosomal protein S22,COG0096@NOG
YJL200C,induced,NP_012335.1,C,5.613709551068091e-19,Aconitase C-terminal domain,COG1048@NOG
YJL212C,induced,NP_012323.1,T,0.6001982973281375,oligopeptide transporter activity,0XNZC@NOG
YJL217W,repressed,NP_012318.1,S,0.9998184782267798,Protein of unknown function (DUF1349),COG3506@NOG
YJR002W,induced,NP_012535.3,A,0.9999981037358701,Mpp10 protein,COG5384@NOG
YJR007W,induced,NP_012540.3,J,NA,Eukaryotic translation initiation factor 2 alpha subunit,COG1093@NOG
YJR008W,repressed,NP_012541.1,S,0.9998184782267798,Memo-like protein,COG1355@NOG
YJR010W,repressed,NP_012543.3,P,0.7063766671645022,"Catalyzes the first intracellular reaction of sulfate assimilation, forming adenosine-5'-phosphosulfate (APS) from inorganic sulfate and ATP. Plays an important role in sulfate activation as a component of the biosynthesis pathway of sulfur- containing amino acids (By similarity)",COG2046@NOG
YJR016C,induced,NP_012550.1,E,8.622285680355961e-4,Dehydratase family,COG0129@NOG
YJR026W,induced,NP_012561.3,K,0.9998779793190825,"Capsid protein (CA) is the structural component of the virus-like particle (VLP), forming the shell that encapsulates the retrotransposons dimeric RNA genome. The particles are assembled from trimer-clustered units and there are holes in the capsid shells that allow for the diffusion of macromolecules. CA has also nucleocapsid-like chaperone activity, promoting primer tRNA(i)-Met annealing to the multipartite primer-binding site (PBS), dimerization of Ty1 RNA and initiation of reverse transcription (By similarity)",COG2801@NOG
